state,biotype,N,frac
Tn,protein_coding,1064,0.774945375091042
Tn,other_ncRNA,212,0.154406409322651
Tn,pseudogene,5,0.00364166059723234
Tn,lncRNA,68,0.0495265841223598
Tn,miRNA,20,0.0145666423889294
Tn,other,4,0.00291332847778587
Teff,protein_coding,345,0.628415300546448
Teff,pseudogene,5,0.00910746812386157
Teff,lncRNA,41,0.0746812386156649
Teff,miRNA,14,0.0255009107468124
Teff,other,2,0.00364298724954463
Teff,other_ncRNA,142,0.258652094717669
Tmem,protein_coding,907,0.787326388888889
Tmem,other_ncRNA,171,0.1484375
Tmem,pseudogene,7,0.00607638888888889
Tmem,lncRNA,48,0.0416666666666667
Tmem,miRNA,14,0.0121527777777778
Tmem,other,5,0.00434027777777778
Tex,protein_coding,203,0.630434782608696
Tex,pseudogene,3,0.0093167701863354
Tex,lncRNA,25,0.077639751552795
Tex,miRNA,10,0.031055900621118
Tex,other,2,0.0062111801242236
Tex,other_ncRNA,79,0.245341614906832
