"cluster","n_cells","top_signature","second_signature","projectils_majority","projectils_frac","top_markers","suggested_name","qc_flag"
"0",15257,"Proliferation","Treg","Tfh_Effector",0.3,"Pif1, Ube2c, Sapcd2, Arhgef39, Gas2l3, Fam83d","Proliferating (cell cycle)",""
"1",12030,"Treg","Naive_mem","Tcmp",0.31,"Ung, Zmynd19, Tarbp1, Dtl, Alkbh2, Rapgef5","Treg (Foxp3+)",""
"2",10640,"Proliferation","Treg","INFI_stimulated",0.29,"Mxd3, Neil3, Esco2, Ccng2, E2f7, Iqgap3","Proliferating (cell cycle)",""
"3",10206,"Treg","ISR_stress","Tfh_Effector",0.38,"Ccne2, Mybl2, Nsg1, Dscc1, Pask, Brca1","Treg (Foxp3+)",""
"4",8544,"Treg","IFN_ISG","INFI_stimulated",0.44,"Spata48, 4732440D04Rik, Cdkl3, Gm47015, ENSMUSG00000121399, Il15ra","Treg (Foxp3+)",""
"5",4297,"Naive_mem","Treg","INFI_stimulated",0.55,"Tcp11l2, Mxd4, Gm15987, Patj, Dzip1, Pik3ip1","Quiescent / memory-like",""
"6",4227,"AP1_early","Treg","Tfh_Effector",0.77,"Egr2, Egr3, Egr1, Nr4a3, Nrgn, Fgf2","Immediate-early activated (AP-1)",""
"7",4171,"Proliferation","Treg","Tcmp",0.33,"Cep89, Ube2c, Zbed3, Arl6ip1, Cdc20, Ccnb1","Proliferating (cell cycle)",""
"8",1495,"Proliferation","ISR_stress","INFI_stimulated",0.46,"Nupr1, Trib3, Atf5, Ddit3, Ifit1, Atf3","Proliferating (cell cycle)",""
"9",1371,"Treg","Th2_helper","Tfh_Effector",0.69,"Maf, Igfbp7, Cpd, Rora, S100a4, Lgals3","Treg (Foxp3+)",""
"10",1023,"Treg","Th2_helper","INFI_stimulated",0.38,"Il24, Epas1, Cyp11a1, Rnf128, Il4, Tent5a","Treg (Foxp3+)",""
"11",595,"AP1_early","IFN_ISG","Tcm",0.37,"Plk2, Arrdc3, Gadd45b, Ppp1r15a, Spata7, H4c16","Immediate-early activated (AP-1)",""
"12",450,"Proliferation","Treg","Tcm",0.48,"Mctp2, Gm11508, Myo10, B4galt5, Arhgap26, Il31ra","Proliferating (cell cycle)","REVIEW (possible doublet/ambient)"
"13",208,"Treg","Naive_mem","Treg",0.86,"Foxp3, Ncam2, Gm17767, Ikzf2, Gnal, Creb5","Treg (Foxp3+)",""
