cluster,n_cells,proposed_state,merged_group,action,projectils_majority,projectils_frac,top_markers
0,15257,Proliferating effector (G2/M),Proliferating,keep,Tfh_Effector,0.3,"Pif1, Ube2c, Sapcd2, Arhgef39, Gas2l3, Fam83d"
1,12030,Proliferating effector (S-phase),Proliferating,keep,Tcmp,0.31,"Ung, Zmynd19, Tarbp1, Dtl, Alkbh2, Rapgef5"
2,10640,"Proliferating effector (S/G2, histone)",Proliferating,keep,INFI_stimulated,0.29,"Mxd3, Neil3, Esco2, Ccng2, E2f7, Iqgap3"
3,10206,"Proliferating effector (S-phase, early)",Proliferating,keep,Tfh_Effector,0.38,"Ccne2, Mybl2, Nsg1, Dscc1, Pask, Brca1"
4,8544,IFN-responsive (Iigp1+) [provisional],IFN-responsive,keep,INFI_stimulated,0.44,"Spata48, 4732440D04Rik, Cdkl3, Gm47015, ENSMUSG00000121399, Il15ra"
5,4297,Quiescent / naive-memory (Tcf7+),Quiescent/memory,keep,INFI_stimulated,0.55,"Tcp11l2, Mxd4, Gm15987, Patj, Dzip1, Pik3ip1"
6,4227,Activated effector - Th1/AP-1 (Ifng+),Activated effector,keep,Tfh_Effector,0.77,"Egr2, Egr3, Egr1, Nr4a3, Nrgn, Fgf2"
7,4171,Proliferating effector (G2/M),Proliferating,keep,Tcmp,0.33,"Cep89, Ube2c, Zbed3, Arl6ip1, Cdc20, Ccnb1"
8,1495,ISR / metabolic-stress (cycling),ISR/stress,keep,INFI_stimulated,0.46,"Nupr1, Trib3, Atf5, Ddit3, Ifit1, Atf3"
9,1371,Maf+ effector-helper (Th2/Tr1-like),Helper-effector,keep,Tfh_Effector,0.69,"Maf, Igfbp7, Cpd, Rora, S100a4, Lgals3"
10,1023,Th2-like (Il4/Gata3+),Helper-effector,keep,INFI_stimulated,0.38,"Il24, Epas1, Cyp11a1, Rnf128, Il4, Tent5a"
11,595,Immediate-early / AP-1 (stress-response),Immediate-early,keep,Tcm,0.37,"Plk2, Arrdc3, Gadd45b, Ppp1r15a, Spata7, H4c16"
12,450,EXCLUDE - low-quality / ambient,EXCLUDE,exclude,Tcm,0.48,"Mctp2, Gm11508, Myo10, B4galt5, Arhgap26, Il31ra"
13,208,Treg (Foxp3+),Treg,keep,Treg,0.86,"Foxp3, Ncam2, Gm17767, Ikzf2, Gnal, Creb5"
