"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",179
"EV-rep2","EV","rep2",291
"miR29a-rep1","miR29a","rep1",201
"miR29a-rep2","miR29a","rep2",355
"Scr-rep1","Scr","rep1",196
"Scr-rep2","Scr","rep2",325
