"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9"
"Xkr4",0.00495282655328607,0.00439080731557647,0.00422844125371238,0.00449970839585681,0.00538597148943466,0.00394778302314135,0.00273690148046726,0.00316194986684084,0.0032049271024259,0.0024875825497371
"Gm37381",0.000513380149561459,0.000467994709081527,0.000545795012848312,0.000415735903975678,0.000647526034415182,0.000701773574959346,0.000748351172976887,0.00155909533646312,0,0.00132719954790275
"Rp1",0.000253058761393586,0,0,0.000159904936900192,0,0,0,0.000318130654096349,0.000674228953454402,0
"Mrpl15",1.27641291200885,1.65197252000272,1.28208657376823,1.37051606958153,1.60057591569755,1.67032815703744,1.69735002150929,1.0592181323013,1.37805421631443,0.969131055773365
"A930006A01Rik",0.000774864347634926,0,0.000346060753459384,0.000142901626055939,0.00150291807908292,0.000602589096253776,0.00038589805036587,0,0.000928241146327083,0.003949846863555
"Lypla1",0.613813010261758,0.56514147101295,0.576328875459292,0.539921568089048,0.517199761885555,0.537105632940502,0.569888602806497,0.623748322594636,0.535443549976306,0.657534660572918
"Tcea1",1.72706330048752,2.09278384197263,1.78927158072882,1.79202128528781,2.19872487607909,2.78093714137347,3.18562234782313,1.70903340649936,1.47208372901369,1.47830153356913
"Rgs20",0.0009825219690832,0.00113579046559748,0.00110978154434914,0.00142385225063945,0.00106012732967876,0.00135707558549851,0.00115855351242382,0.00115246597253252,0.000294695892404879,0.00488947860345024
"Atp6v1h",0.544189665781141,0.508341782161221,0.395035684655634,0.377756015241537,0.444653191089479,0.399355557695116,0.548305767467306,0.455568956281748,0.538563713412193,0.653367132880668
"4732440D04Rik",0.0890843571519624,0.0398746833993165,0.0438218349101229,0.0515425163468106,0.121522447186467,0.0437398198881951,0.091455136447668,0.059229566581347,0.0537605168701981,0.162998568791
"Rb1cc1",0.591161359658965,0.356849270739666,0.412326548799238,0.375148962823999,0.441761797242266,0.445140295017358,0.555465933833631,0.519574222257667,0.495524713423134,1.11510525000596
"Alkal1",8.39742464757835e-05,8.50964466106596e-05,0,7.96047959405885e-05,0,0.000218935513639135,0,0,0,0
