"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",3026
"EV-rep2","EV","rep2",1590
"miR29a-rep1","miR29a","rep1",2771
"miR29a-rep2","miR29a","rep2",1894
"Scr-rep1","Scr","rep1",3293
"Scr-rep2","Scr","rep2",2852
