"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13"
"Id3",0.7265,0.4253,0.0856,0.3445,0.0519,0.2843,0.4234,0.4223,0.4728,0.9282,0.5263,1.2006,0.0668,0.2744
"Tnfrsf9",0.1241,0.1533,3.7895,0.1238,5.3854,0.3197,2.1698,0.1033,0.1285,2.3466,0.3259,0.8248,1.3688,4.0729
"Tnfrsf4",1.4183,1.7357,0.1962,1.2815,0.3331,2.1942,2.3508,1.2614,0.2327,3.3468,2.2901,0.5204,0.3079,0.0785
"Tnfrsf18",2.6031,2.4768,1.1623,1.818,1.4165,3.6124,3.067,1.948,0.3304,4.1302,2.9035,1.2423,0.8271,0.9233
"Cd8b1",0.0517,0.0479,2.6779,0.0469,2.8079,0.1219,0.074,0.0423,0.1455,0.1386,0.0688,0.3723,0.7276,0.0729
"Cd8a",0.1218,0.1369,1.3431,0.1549,1.357,0.2709,0.4697,0.111,0.1534,0.1958,0.182,0.5468,1.0315,0.2686
"Klrg1",0,0,5e-04,1e-04,0.0015,0,0,0,0,0.0021,0,0.0199,0,0.0104
"Cd4",1.5785,1.7813,0.0256,1.995,0.0357,2.9185,2.5626,1.8329,0.0873,2.6502,1.8089,1.1149,1.7942,0.0424
"Lag3",0.0092,0.0088,0.0666,0.0086,0.1203,0.0342,0.1838,0.0063,0.0119,0.0636,0.0378,0.1003,0.0119,0.1413
"Cd27",0.24,0.2317,0.3605,0.2787,0.5622,0.8311,0.509,0.24,0.0323,0.3842,0.2379,0.1822,0.1988,0.2253
"Klrb1c",2e-04,1e-04,0.0015,2e-04,0.0021,8e-04,1e-04,3e-04,3e-04,7e-04,0.0069,0.0028,0,0.0138
"Cd69",0.5999,0.5644,0.726,0.6166,0.8746,0.7492,1.018,0.4326,0.1229,0.4526,1.4691,6.1222,0.6161,0.6528
"Klrd1",0.0137,0.0147,0.5509,0.0206,0.6171,0.0197,0.0281,0.0132,0.0481,0.012,0.0166,0.0687,0.0111,0.6674
"Ncr1",0,0,1e-04,0,2e-04,0,0,0,8e-04,0,0,0,0,0.0065
"Nkg7",0.2848,0.274,9.6766,0.2917,11.1516,0.613,1.634,0.3265,1.0565,0.3005,0.2318,0.262,0.6899,8.2255
