"tentative_state","lineage"
"Activated intermediate CD4","CD4"
"Differentiated activated/effector CD4","CD4"
"Proliferative CD8 effector","CD8"
"IFNg-associated early activated CD4","CD4"
"Non-cycling exhaustion-like CD8","CD8"
"CD4 TCF1hi naive/stem-like progenitor","CD4"
"Transitional progenitor-like CD4","CD4"
"Early activated CD4","CD4"
"Cycling non-T (review)","EXCLUDE"
"Treg","CD4"
"Transitional activated CD4","CD4"
"CX3CR1+KLRG1+ differentiated effector CD4","CD4"
"Intermediate activated CD4","CD4"
"NK-like / innate-like (review)","EXCLUDE"
