"","Eff Cycling","Eff Early","Eff Interm","Memory Prec","SLEC","Tex","Tpex"
"0",0.006,0.634,0.297,0.01,0.021,0.016,0.015
"1",0.001,0.981,0.004,0.014,0,0,0
"2",0.08,0.872,0.012,0.037,0,0,0
"3",0.032,0.82,0.055,0.093,0,0,0
"4",0.001,0.972,0.01,0.016,0,0,0
"5",0.053,0.894,0.013,0.04,0,0,0
"6",0.003,0.792,0.156,0.004,0.005,0.018,0.023
"7",0.024,0.842,0.122,0.012,0,0,0
"8",0,0.509,0.455,0,0.029,0.004,0.004
"9",0,0.216,0.045,0.143,0.023,0.099,0.474
