"","Eff Cycling","Eff Early","Eff Interm","Memory Prec","SLEC","Tex","Tpex"
"0",26,2620,1226,42,88,67,64
"1",4,3742,16,53,0,0,1
"2",303,3306,44,140,0,0,0
"3",115,2952,197,333,0,0,1
"4",3,1969,21,32,0,0,0
"5",67,1136,16,51,0,0,0
"6",2,626,123,3,4,14,18
"7",16,572,83,8,0,0,0
"8",0,266,238,0,15,2,2
"9",0,92,19,61,10,42,202
