"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",9581
"EV-rep2","EV","rep2",12721
"miR29a-rep1","miR29a","rep1",12739
"miR29a-rep2","miR29a","rep2",15590
"Scr-rep1","Scr","rep1",10087
"Scr-rep2","Scr","rep2",13796
