"cluster_a","cluster_b","correlation","n_DE_genes"
"2","5",0.98,787
"2","3",0.98,888
"3","7",0.975,931
"3","5",0.974,1050
"2","7",0.971,1080
"0","6",0.97,1153
"4","7",0.966,1630
"3","4",0.965,905
"1","4",0.965,1050
"1","2",0.963,1431
"2","4",0.957,1506
"1","6",0.953,1722
"0","1",0.951,2487
"1","5",0.95,1550
"1","3",0.948,1082
"4","5",0.948,1509
"5","7",0.948,1939
"0","4",0.94,2008
"0","8",0.938,1364
"4","6",0.936,1334
"5","6",0.929,831
"6","8",0.928,1432
"1","7",0.928,2144
"0","7",0.919,1178
"0","2",0.918,2029
"2","6",0.917,1686
"0","9",0.909,2052
"1","8",0.906,2030
"2","8",0.906,2057
