"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Xcl1",3061.49270936216,2.16395742869033,0.128983414985267,3.2001152112195e-66,3.86957931340662e-62
"Ccr2",5156.31528634038,-1.78979670559681,0.17679831150067,6.861366090752e-26,4.14838193846866e-22
"Havcr2",2146.24958909388,-1.6581796981571,0.168608497127506,1.65055163778878e-24,6.65282346804732e-21
"Gzmc",12384.5071780351,-0.865591605457043,0.095510993187268,2.960371251038e-21,8.94920229188786e-18
"Pik3ap1",2526.60965735296,-0.975635449598919,0.124068306435126,5.91542955026275e-17,1.43058748243554e-13
"Lmna",2866.91003327618,-1.06950088685335,0.147020641119607,4.03217591302005e-15,7.35460317066985e-12
"Tnfrsf11b",991.979396455676,-1.47226516538635,0.20210271110779,4.25754401213107e-15,7.35460317066985e-12
"Spp1",39589.1868502171,-1.79577326841415,0.265486938496687,1.14578205254488e-13,1.63883993691808e-10
"P2rx7",693.78539519743,1.62409947569927,0.238357316597616,1.21977831891024e-13,1.63883993691808e-10
"Ctla2a",52918.7056740369,-0.810479313189341,0.12160577134191,4.34096043158391e-13,5.24908935387126e-10
"Tmem108",1617.81020772474,1.10132439305215,0.169200944851883,7.88040707919923e-13,8.66271658197064e-10
"Kdm5b",4001.54583026397,-0.754184273025665,0.118176350912462,2.4317467925714e-12,2.26189863198257e-09
"Arsb",10918.687020801,-0.606521800116024,0.0957677316617485,2.37346211731422e-12,2.26189863198257e-09
"Art2a",448.249208265526,-1.67653120376196,0.265085601479021,2.65215084383165e-12,2.29070057168659e-09
"Ly6c1",8108.54811174752,-0.609870930236705,0.0987051393852157,6.42245740269722e-12,5.17735699422766e-09
"Gpx8",153.834781483625,-3.31899720640968,0.605866683106488,2.21836573876635e-11,1.67652990707267e-08
"Avil",361.575910117419,-1.73138701740054,0.291854169758771,2.3853075596086e-11,1.69665523592866e-08
"Sh2d1a",8650.67726604785,-0.648245459912645,0.109771332885328,3.59765687131966e-11,2.41682593822207e-08
"Myo10",7228.77031659008,-0.77214364506718,0.130478642861769,4.34500569443999e-11,2.7652530977457e-08
"Cxcr6",3546.85748173683,-0.749632945539376,0.129194148067073,8.17480213459481e-11,4.94248537057602e-08
"Bcl2a1b",4219.79346099914,-0.688267710283442,0.120235675065101,1.13047503923725e-10,6.50938294021751e-08
"Gas7",370.583485004066,-1.55670408252694,0.27640780344618,1.67943543070704e-10,9.23078783095886e-08
"Adam8",4410.32604053542,-0.722841958365967,0.129557646885774,2.77154334971434e-10,1.45710879064112e-07
"Ahnak",12351.37630508,-0.582715600935513,0.104876529651757,2.96242988784007e-10,1.49257092515676e-07
"Tmem254",1976.47250881348,-0.921801603359515,0.166467628989008,3.75806527496227e-10,1.81770101219375e-07
"Mycn",2829.92057850611,-0.834370920848758,0.150732751576086,4.00872614696039e-10,1.86436602188635e-07
"P2rx3",638.833833354769,-1.47068423636622,0.273836681788955,6.89056015139359e-10,3.0859501240982e-07
"Ccnb1ip1",2984.09984492665,0.6926208725128,0.129775725468557,1.00578290687369e-09,4.34354532497024e-07
"Bhlhe40",8948.8335057966,-0.636799306907132,0.120362437168368,1.24111813843103e-09,5.17503466548553e-07
"Elovl6",12033.2322119889,0.659344030004739,0.125069622562945,1.38531094822074e-09,5.58372666196173e-07
"Gm36496",1082.16603219021,-1.0770034313386,0.206322068209563,1.61107747977333e-09,6.28424157594164e-07
"Anxa2",18032.6736257097,-0.593781101150128,0.113384317279343,1.74841436588069e-09,6.60682078507164e-07
"Tmem37",4386.35306939128,-0.741872514881329,0.143808586986042,2.75445023090796e-09,1.00929733915573e-06
"Alcam",6291.03848646744,-0.613157492558909,0.120486252094709,3.75501793197483e-09,1.33546108333646e-06
"Dusp2",3822.14669588004,-0.616562355861221,0.121905602014642,4.41414222696798e-09,1.49804289322492e-06
"Ly6a",46710.3867567746,-0.443797337910161,0.0840588325941904,4.51540123972735e-09,1.49804289322492e-06
