"cluster","n_cells","top_signature","second_signature","projectils_majority","projectils_frac","top_markers","suggested_name","qc_flag"
"0",4133,"Effector_cytotox","Naive_Tcm","Eff Early",0.63,"Mxd4, Havcr2, Il24, Tent5a, Cysltr1, Gm17767","Effector (cytotoxic)",""
"1",3816,"Effector_cytotox","Naive_Tcm","Eff Early",0.98,"Ung, Rapgef5, Ccne2, Cdc6, Dtl, Dna2","Effector (cytotoxic)",""
"2",3793,"Effector_cytotox","Proliferation","Eff Early",0.87,"Esco2, Neil3, E2f7, H2ac24, E2f8, H2ac18","Effector (cytotoxic)",""
"3",3598,"Proliferation","Effector_cytotox","Eff Early",0.82,"Pif1, Fam83d, Tnfaip8l1, Cdc25b, Cenpf, Depdc1b","Proliferating (cell cycle)",""
"4",2025,"Effector_cytotox","ISR_stress","Eff Early",0.97,"Cdc20, Cep89, Cenpa, Nek2, Knstrn, Insig1","Effector (cytotoxic)",""
"5",1270,"Effector_cytotox","ISR_stress","Eff Early",0.89,"Trib3, Cox6a2, Nupr1, Chac1, Angptl6, Slc7a11","Effector (cytotoxic)",""
"6",790,"Effector_cytotox","ISR_stress","Eff Early",0.79,"Nupr1, Slc7a11, Cox6a2, Agap1, Angptl6, Trib3","Effector (cytotoxic)",""
"7",679,"Proliferation","Effector_cytotox","Eff Early",0.84,"Robo3, Gria3, Sulf2, Ak1, 5830418P13Rik, Marcks","Proliferating (cell cycle)","REVIEW (possible doublet/ambient)"
"8",523,"Effector_cytotox","Activation","Eff Early",0.51,"Ccl3, Xcl1, Ccl4, Egr3, Cyp11a1, Il4","Effector (cytotoxic)",""
"9",426,"Naive_Tcm","Effector_cytotox","Tpex",0.47,"Arl5c, Tcp11l2, Ifit1, Ifngas1, Gm26740, Tcf7","Tcf7+ progenitor / stem-like",""
