"group","contrast","n_DE","method"
"08 Cycling non-T review ","EV_vs_Scr",9,"MAST"
"08 Cycling non-T review ","miR29a_vs_EV",38,"MAST"
"08 Cycling non-T review ","miR29a_vs_Scr",14,"MAST"
"09 Treg","EV_vs_Scr",5,"MAST"
"09 Treg","miR29a_vs_EV",61,"MAST"
"09 Treg","miR29a_vs_Scr",44,"MAST"
"10 Transitional activated CD4","EV_vs_Scr",13,"MAST"
"10 Transitional activated CD4","miR29a_vs_EV",116,"MAST"
"10 Transitional activated CD4","miR29a_vs_Scr",104,"MAST"
"11 CX3CR1 KLRG1 differentiated effector CD4","EV_vs_Scr",0,"MAST"
"11 CX3CR1 KLRG1 differentiated effector CD4","miR29a_vs_EV",12,"MAST"
"11 CX3CR1 KLRG1 differentiated effector CD4","miR29a_vs_Scr",2,"MAST"
"12 Intermediate activated CD4","EV_vs_Scr",0,"MAST"
"12 Intermediate activated CD4","miR29a_vs_EV",171,"MAST"
"12 Intermediate activated CD4","miR29a_vs_Scr",97,"MAST"
"13 NK-like innate-like review ","EV_vs_Scr",0,"MAST"
"13 NK-like innate-like review ","miR29a_vs_EV",23,"MAST"
"13 NK-like innate-like review ","miR29a_vs_Scr",27,"MAST"
