"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11"
"Xkr4",0.00416567876778008,0.00427028738943632,0.00301699392254922,0.00430151570177276,0.00456659623342751,0.00477192303988456,0.0048969299203306,0.00475069051312501,0.00401148159688674,0.00713325907358043,0.00399688608024373,0.0127837676831467
"Gm37381",0.000377869453403655,0.000404193687511573,0.000616774643519308,0.000324597786532523,0.000351528370928292,0.000359323188098592,0.000519103581189376,0.000399158400136472,0,0.0145190822594806,0.00192205953441377,0
"Rp1",0.00012350785625963,0.000250960694361508,0.000310089178830913,0.000346654988990769,0.000410655034376875,0,0.000178535887014185,0.000241246389240816,0.000234310125384034,0.00768203225384286,0,0
"Mrpl15",1.17427133888417,1.48219342653953,0.854419500997913,1.48433859478158,1.01862313352743,1.34604213140985,1.3051846848385,1.27927872941485,0.963087292084062,0.423528859981889,1.25303399667132,1.0156296876818
"A930006A01Rik",0.000244463296508569,0.00013681740457396,0.000292760346077644,0.000194964728009638,0.000652853550765034,0.00248137852297302,0.000587758226867804,0.000429292231206474,0,0.0359883312586166,0,0
"Lypla1",0.522884522476662,0.550753067656354,0.569789674415799,0.53971126507355,0.637548612939359,0.539018066480903,0.530297927868303,0.521789176667408,0.583503712855307,0.404315804487743,0.527684873864347,0.987386084922343
"Tcea1",1.73283924442216,2.18997720409602,1.51164450105547,2.04320540493797,1.65043576069968,2.31568704967941,1.88071136870279,2.08215445807899,1.70583994038445,1.33110962248492,1.91984577002259,2.12859134782743
"Rgs20",0.000907354956750805,0.000472583110089333,0.00107789461430351,0.000872877654977258,0.0011218998448375,0.000991824369986053,0.000829893124733078,0.000536105198673144,0.00406223090650148,0.011270281462623,0.00191922275291138,0
"Atp6v1h",0.374726389367353,0.523157682230863,0.342701227067063,0.450020129837109,0.593191487419555,0.489324564967467,0.462512655884432,0.443181439375287,0.424166351386196,0.643735566567987,0.491315646867334,1.46298382084883
"4732440D04Rik",0.0528423280506043,0.0559501104961977,0.068186135623507,0.0514943742472061,0.123440226554969,0.212282291373705,0.0664415639493484,0.0673223581007553,0.0968639424912294,0.328921770762871,0.0886590070535158,0.218808590585238
"Rb1cc1",0.486490386247075,0.570610742118009,0.67038802757236,0.527288298060388,1.13199946779704,0.813588345452297,0.584110607267891,0.533612381784453,0.833729070980867,0.972951018054927,0.71532569124018,0.725325141356946
"Alkal1",9.09577841741578e-05,2.73568276322343e-05,2.62364427379982e-05,0,0,8.2656404929099e-05,5.97074240688747e-05,6.74283435284764e-05,0,0,0,0
"St18",0.00565871939391082,0.00353125331827676,0.0170284777627728,0.00349990232432783,0.0252633045893171,0.00633790180166327,0.0240541658959094,0.00938949643262808,0.00692178407584582,0.0145503101714984,0.00280772487139607,0
"Gm57122",0.00116477143854091,0.00214473743181075,0.00274901269474187,0.00194841973871391,0.00465561737719904,0.00348638821968171,0.00141768116083041,0.00116199531066485,0.00190183297486007,0.0108574646659514,0.00548119135626938,0
"Pcmtd1",0.37776174572825,0.449749681148365,0.523979551967714,0.448596452557051,0.840072793574469,0.421274099185235,0.381221787449195,0.365784033673595,0.568218210102054,0.494848597453385,0.704907088445438,0.904209027123582
"Gm26901",0.0556466075709377,0.0741398450032632,0.0252999543310324,0.0578309927134918,0.0616145347672398,0.0555915899012725,0.036903792382014,0.0570990661665007,0.0242559244792345,0.0197061748455394,0.0371149104461699,0.108666863738165
"Gm30414",0.0136626936969255,0.00490599598740327,0.00634670255652049,0.00529866587891032,0.00855233832520183,0.00783304338949067,0.00188911930493602,0.0107826124425565,0.00140985004162232,0.006054115706516,0.00859386815795831,0
"Sntg1",0.0160514400632359,0.00463227345495372,0.0115367467202618,0.00732388285150928,0.00538391464254587,0.0117862793689768,0.00993219821462187,0.0139538939373746,0.00985243514056343,0.0744383516454205,0.0133903076207465,0.0100577313781104
"Rrs1",0.700957762182696,1.04327399897345,0.259220328580396,0.82918110439622,0.448497640053009,0.893085525441818,0.927470040046999,0.968330423535659,0.585073486654911,1.09615620631977,0.653371299175682,0.643329222953113
"Adhfe1",0.00950078067712302,0.00960313297352427,0.00483154342772194,0.00722214403500766,0.00698722938833588,0.0175916222079001,0.0103898126492039,0.0104522735675326,0.00774552288935564,0.0615493332042529,0.0137720791417867,0.0413583835828107
"2610203C22Rik",0.000117186505703953,0.000177765005121333,0.000204799924487621,0.000362061970771797,0.000242341490427663,0.000875950140925304,0.000452806649808713,0.000249275309473328,0,0.00185259288900745,0,0.00964379672419513
"Mybl1",0.147750913548014,0.0931070324505318,0.446870681697837,0.225617797003365,0.0392307290284284,0.0418393621159035,0.15871907412991,0.0815895847562701,0.183098270565606,0.653818284816191,0.190026720772612,0.2684294917868
"Vcpip1",0.394922704368888,0.421967189203765,0.432444304878458,0.369192850228873,0.629998258853133,0.565256505169319,0.37294490012078,0.42193940959556,0.501255136751205,0.783668030960013,0.604553494427555,0.602648505203816
"1700034P13Rik",0.00298380697497011,0.00262631512860455,0.00238394002513834,0.0021734382385968,0.00354791044547976,0.00639838689147112,0.00307342825950534,0.00214203463335262,0.00126720826369318,0.036423091393899,0.00695225593635532,0.00237661110466785
"Sgk3",0.422919726579944,0.577515936238374,0.355405616981273,0.546342506572972,0.607877435905601,0.397564307399827,0.283568425061202,0.379689347142903,0.226895395132582,0.141585213279922,0.469885544694763,0.516127502234869
"Snhg6",0.481565266765887,0.65364587470557,0.312218390227971,0.533829602388102,0.571509599950764,0.571151151578875,0.579430510624172,0.54778386929403,0.44629285605804,1.33880555998488,1.44552927228605,0.405704431282933
"Mcmdc2",0.00333138285283481,0.00443644791011145,0.00206137862654899,0.00328068906277464,0.00335037491278321,0.00827435597250523,0.00383274029788522,0.00406574016413871,0.00174209778301289,0.0190811488020953,0.0110077186383484,0.0411138712759988
"Tcf24",0.000675649699179712,0.000927833114190196,0.000638166754784722,0.000631152334090043,0.00203913992929602,0.000699413316230211,0.000652751177820557,0.000338346580799853,0.0113256834083836,0,0,0
"Ppp1r42",0.000596988353071737,0.000788162220862227,0.00131766783275065,0.000916459225364832,0.00142139704505276,0.00493890646658182,0.000641512524247318,0.00115632858893249,0.00514754536319029,0.0838305457599388,0.00326785407103887,0
"Gm15818",0,2.31970212649321e-05,3.41291465334565e-05,0.00013444074057896,0,0.000216927284141583,6.53954146827878e-05,0,0.000247042408287976,0.00153248132479946,0,0
"Cops5",0.842312576370935,0.905526529679738,0.823778564070446,0.898481764842244,0.798051327327233,0.965125858680612,0.958514224682288,0.788315337980044,0.719520887640615,0.703376772980549,0.752618941134717,0.74781705950834
"Cspp1",0.692197069045469,0.614332777789127,0.888228388164734,0.748076181328782,0.661476284587076,0.599780875443758,0.671150186491566,0.550765929135872,0.722801503514721,1.1497934746184,0.778743970414996,1.30764829541291
