"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13"
"Xkr4",0.00430421627648351,0.00447194371307627,0.00304715447624952,0.00418279984069837,0.00471694662061153,0.00428943992501077,0.00485954716054052,0.00463429454072762,0.00412631750151175,0.00456448671855822,0.00285598578268926,0.00713325907358043,0.0128974011736635,0
"Gm37381",0.000402685943690766,0.000337974149418855,0.000566960649710974,0.000339949132474999,0.0004084012644323,0.000335893194127637,0.000518243934851944,0.000393703586229068,0.000497409754382175,0,0.00132899303496416,0.0145190822594806,0,0
"Rp1",0.0001316192065888,0.000397481523019323,0.000314927036320192,0.000342680989998811,8.56816972927325e-05,0.000195843223660932,0.000178240227868432,0.000237949567330788,0,0.00026661108358796,0,0.00768203225384286,0,0
"Mrpl15",1.18494443970613,1.42494214563317,0.849211715254948,1.46774267199708,1.33133644393117,0.901184112112022,1.30134024439706,1.27619169214782,1.21964092568543,1.00676735733489,1.08663620494895,0.423528859981889,0.985395446695481,0.737634114050773
"A930006A01Rik",0.000210794575229926,0.000251819638433985,0.000278292802831474,0.000233042192097482,0.00196756036147475,0.000684962716069755,0.000586784887007838,0.000340598744276756,0.000367718601725973,0,0,0.0359883312586166,0,0
"Lypla1",0.521399233127731,0.564684019149319,0.565895080051952,0.546179399146264,0.554264809603481,0.652909980937806,0.529622013461625,0.519303790292568,0.535802552270755,0.565657462489022,0.611030948703576,0.404315804487743,0.954237538186315,0.703460316612059
"Tcea1",1.74067460850282,2.09616557119431,1.50000909945726,1.97315151768239,2.25215389630728,1.5302605401397,1.87232072941321,2.05093058613254,2.37186963549514,1.7365268454858,1.69253339364281,1.33110962248492,2.1099378710968,1.43263275360228
"Rgs20",0.000780728037389156,0.00073887074576338,0.00110820392048748,0.000845850543660423,0.000977683886012014,0.000517764533499106,0.00120101825751903,0.000605396136320548,0.00126210968259411,0.00404094855053794,0.00158636099472168,0.011270281462623,0,0.00383144111228268
"Atp6v1h",0.376641229687099,0.533224486017444,0.338089320629497,0.45325404203597,0.501947916158915,0.634611823783566,0.45685811111785,0.4416953081922,0.406558799578943,0.3997436663525,0.517762927678938,0.643735566567987,1.4759881214786,0.574567063002226
"4732440D04Rik",0.0526005643000797,0.0596735716223927,0.0655451720873873,0.0524531573712285,0.181936479586775,0.152741010296952,0.0651322151845654,0.068557453758246,0.0807071698299821,0.0839037476150103,0.0630572043690314,0.328921770762871,0.220753555834884,0.186796862973188
"Rb1cc1",0.484094810506668,0.612280480991907,0.646640931769464,0.5433982819085,0.826969082919018,1.39369310947256,0.58384663925514,0.530010977425324,0.667411713956422,0.715422364990266,0.705242027906542,0.972951018054927,0.731772475946785,1.60853994357333
"Alkal1",9.69314159328591e-05,2.52737973653077e-05,2.66457706980083e-05,0,5.94479878615769e-05,0,5.96085473315948e-05,6.65068821088832e-05,0,0,0,0,0,0
"St18",0.00575562327192463,0.00352723740076507,0.0148625114972021,0.00556813070116781,0.00739352582024517,0.0432805109828662,0.0237070415993947,0.010101746733771,0.00545018795045647,0.00506213651359629,0.00745795779631238,0.0145503101714984,0,0.00841535499333504
"Gm57122",0.00123729496390137,0.00228648632840254,0.00261327684416585,0.00198590286036804,0.0036373788673921,0.00568252428444511,0.00141533345131401,0.00122748367775994,0.00264129897410669,0.00168395689722608,0.00229566040555476,0.0108574646659514,0,0.00316420449367665
"Pcmtd1",0.375334239534288,0.493200487362241,0.509643784587366,0.456453720837079,0.45219095988944,1.02974994058172,0.384248524408363,0.368391847927018,0.572395986676975,0.473134656387525,0.595795844337888,0.494848597453385,0.925601141552715,1.1380812006503
"Gm26901",0.0574363826703489,0.0737325286538896,0.0238457789477885,0.0573915938527497,0.0591508044429183,0.0602379705753922,0.0365913366276428,0.0583251902529799,0.041734459710116,0.0254775005075612,0.0419294922967539,0.0197061748455394,0.109632791415838,0.0153000301125753
"Gm30414",0.0141059116490915,0.00566474138758994,0.00635724813721364,0.00542913486476683,0.0077330215778478,0.00822277052701081,0.00211401440466447,0.0102530639077119,0.00822883611956528,0.000700034914176276,0.00556805768578778,0.006054115706516,0,0.00595970287305356
"Sntg1",0.0158129410733183,0.00414106537397767,0.0125388057974581,0.00694162866354838,0.0101774317401399,0.0070694016698469,0.00965912593987157,0.0138469558120475,0.0136184434419517,0.0116347399755209,0.00359218285778412,0.0744383516454205,0.0101471334348047,0
"Rrs1",0.718497631173935,0.969815591502052,0.255874371034865,0.822407577941554,0.84268218966473,0.32295103037084,0.920794443201673,0.964831508802371,0.538032825873002,0.612790785425471,0.672838685774803,1.09615620631977,0.63585161097873,0.410580052990692
"Adhfe1",0.00966244064722759,0.00882009162779205,0.00493679301687008,0.0070192621702317,0.0147797405034689,0.00771450109626727,0.010139633299887,0.0102084461904199,0.0101299463076827,0.0067757515400953,0.0102632913485768,0.0615493332042529,0.0417260136591024,0.0145133317355216
"2610203C22Rik",0.000124882702775157,0.000190331960948091,0.000207995111279439,0.000357911348531909,0.000683105654414442,0.000311086614907093,0.000452056792569853,0.000245868766044899,0,0,0,0.00185259288900745,0.00972951936174353,0
"Mybl1",0.142644933739611,0.0853609079870631,0.423663044574301,0.250569331871791,0.0380883744397661,0.0444977283033995,0.161174959828967,0.077986421511029,0.243045679442315,0.2061167016903,0.0759634338541482,0.653818284816191,0.270815531713793,0.0288281854931411
"Vcpip1",0.394417267382298,0.437059109402121,0.431806134859951,0.369300368853305,0.565321705576517,0.717021030349827,0.371898453105039,0.420821152435457,0.490371696628841,0.47150752430249,0.419665399764561,0.783668030960013,0.608005380805628,0.696970725366967
"1700034P13Rik",0.0026935145486158,0.00277409186221126,0.00291288075744776,0.00213822904272147,0.00550781187936893,0.00373103035381451,0.00289456571551909,0.00217147696954679,0.00346775029943923,0.00144189999369902,0.0036618231365494,0.036423091393899,0.00239773653670935,0
"Sgk3",0.42609407095419,0.616399033674591,0.345753827268679,0.556852439024201,0.43507645578435,0.589697485057375,0.285905440628736,0.37968265182226,0.384903117319153,0.166020392360992,0.439513897610694,0.141585213279922,0.510252036935344,0.64872857763456
"Snhg6",0.483015824999562,0.650721977545135,0.31859673072616,0.494665411280731,0.582335378098835,0.536805494708053,0.576812795673494,0.532955096132812,1.02251468002705,0.433765299742394,0.583263514783402,1.33880555998488,0.409310692894336,0.517483971617403
