"clusters","CD4","CD8","gdT","DN"
"0",20310,1158,548,994
"1",20163,1006,475,657
"2",52,15004,235,135
"3",10462,504,255,407
"4",32,5418,100,77
"5",4286,280,60,248
"6",4257,288,32,32
"7",3780,85,67,52
"8",128,389,143,1912
"9",1271,91,115,70
"10",1264,97,32,66
"11",230,141,4,225
"12",123,94,7,278
"13",1,10,374,2
