"clusters","CD8_frac","call"
"0",0.0539407490217999,"CD4"
"1",0.047522320374132,"CD4"
"2",0.996546227417641,"CD8"
"3",0.0459602407441182,"CD4"
"4",0.994128440366972,"CD8"
"5",0.0613228208497591,"CD4"
"6",0.0633663366336634,"CD4"
"7",0.0219922380336352,"CD4"
"8",0.752417794970986,"CD8"
"9",0.0668135095447871,"CD4"
"10",0.0712711241734019,"CD4"
"11",0.380053908355795,"Mixed"
"12",0.433179723502304,"Mixed"
"13",0.909090909090909,"CD8"
