miRNA,programs,prog_genes,n_prog_genes,prog_cov,tex_loading
mmu-miR-466i-5p,memory,"Bach2,Bcl2,Il7r,Lef1,Tcf7",5,613.194359885929,414.905783150385
mmu-miR-15b-5p,memory,"Bcl2,Ccr7,Il7r",3,192.76096640355,25.4298721500515
mmu-miR-142a-3p,memory,"Bach2,Bcl2",2,106.418010264005,66.5003580077307
mmu-miR-142a-5p,effector,Id2,1,43.1701941960211,25.5301406273213
mmu-miR-16-5p,memory,Ccr7,1,42.2991668967834,36.2990464340755
mmu-miR-15a-5p,memory,Ccr7,1,17.7338438819075,6.96009510572892
mmu-miR-466f-3p,memory,Bach2,1,9.48412698412698,107.104023699327
mmu-miR-210-3p,memory,Zfp36l2,1,7.21900805478454,19.6719857223903
mmu-miR-23a-3p,memory,Zfp36l2,1,4.71812938617977,13.4240589154271
mmu-miR-155-5p,memory,S1pr1,1,4.08518457522081,67.477821633821
mmu-miR-92a-3p,memory,Klf2,1,4.06339093178981,84.2512598912741
