"annot_cluster","condition","replicate","n","prop"
"0","EV","rep1",1182,0.262084257206208
"0","EV","rep2",445,0.210103871576959
"0","Scr","rep1",935,0.201856649395509
"0","Scr","rep2",679,0.178731245064491
"0","miR29a","rep1",553,0.152846876727474
"0","miR29a","rep2",339,0.142676767676768
"1","EV","rep1",636,0.141019955654102
"1","EV","rep2",399,0.188385269121813
"1","Scr","rep1",728,0.157167530224525
"1","Scr","rep2",725,0.190839694656489
"1","miR29a","rep1",786,0.217247097844113
"1","miR29a","rep2",542,0.228114478114478
"2","EV","rep1",890,0.197339246119734
"2","EV","rep2",436,0.205854579792257
"2","Scr","rep1",943,0.203583765112263
"2","Scr","rep2",707,0.186101605685707
"2","miR29a","rep1",416,0.114980652294085
"2","miR29a","rep2",401,0.168771043771044
"3","EV","rep1",613,0.135920177383592
"3","EV","rep2",343,0.161945231350331
"3","Scr","rep1",624,0.134715025906736
"3","Scr","rep2",684,0.180047380889708
"3","miR29a","rep1",848,0.234383637368712
"3","miR29a","rep2",486,0.204545454545455
"4","EV","rep1",363,0.0804878048780488
"4","EV","rep2",185,0.0873465533522191
"4","Scr","rep1",419,0.0904576856649396
"4","Scr","rep2",397,0.104501184522243
"4","miR29a","rep1",377,0.104201216141515
"4","miR29a","rep2",284,0.11952861952862
"5","EV","rep1",282,0.0625277161862528
"5","EV","rep2",128,0.0604343720491029
"5","Scr","rep1",344,0.07426597582038
"5","Scr","rep2",204,0.0536983416688602
"5","miR29a","rep1",186,0.0514096185737977
"5","miR29a","rep2",126,0.053030303030303
"6","EV","rep1",188,0.0416851441241685
"6","EV","rep2",52,0.0245514636449481
"6","Scr","rep1",283,0.0610967184801382
"6","Scr","rep2",116,0.0305343511450382
"6","miR29a","rep1",100,0.0276395798783858
"6","miR29a","rep2",51,0.0214646464646465
"7","EV","rep1",143,0.0317073170731707
"7","EV","rep2",54,0.0254957507082153
"7","Scr","rep1",170,0.0367012089810017
"7","Scr","rep2",127,0.0334298499605159
"7","miR29a","rep1",114,0.0315091210613599
"7","miR29a","rep2",71,0.0298821548821549
"8","EV","rep1",153,0.0339246119733925
"8","EV","rep2",33,0.0155807365439093
"8","Scr","rep1",136,0.0293609671848014
"8","Scr","rep2",48,0.0126349039220848
"8","miR29a","rep1",123,0.0339966832504146
"8","miR29a","rep2",30,0.0126262626262626
"9","EV","rep1",60,0.0133037694013304
"9","EV","rep2",43,0.0203021718602455
"9","Scr","rep1",50,0.0107944732297064
"9","Scr","rep2",112,0.0294814424848644
"9","miR29a","rep1",115,0.0317855168601437
"9","miR29a","rep2",46,0.0193602693602694
