"coarse_annot","EV","Scr","miR29a","delta_miR_minus_EV"
"Effector 1",0.958444355110561,0.958864106589272,0.951115633951455,-0.00732872115910632
"Effector 2",0.0247526742586509,0.0209979355534431,0.0233114729383386,-0.0014412013203123
"Stem-like",0.0168029706307879,0.0201379578572854,0.0255728931102065,0.0087699224794186
