"coarse_annot","condition","r_target_vs_resilience","mean_target","mean_resilience"
"Effector 1","EV",-0.10294668404583,0.120751733317393,0.0290022848229283
"Effector 1","miR29a",-0.109087281853805,0.0951894982886718,0.0258933903403663
"Effector 2","EV",-0.100517304987955,0.119352684402005,0.0339245522673733
"Effector 2","miR29a",-0.0430043551844567,0.0723802056649245,0.0289173710934572
"Stem-like","EV",-0.168558604613859,0.114495269634482,0.0353683586122193
"Stem-like","miR29a",-0.23384067714772,0.117581025593961,0.0466476445650724
