"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",212
"EV-rep2","EV","rep2",218
"miR29a-rep1","miR29a","rep1",137
"miR29a-rep2","miR29a","rep2",197
"Scr-rep1","Scr","rep1",299
"Scr-rep2","Scr","rep2",396
