"annot_cluster","n_cells","med_nFeature","med_nCount","med_percentmt","preflagged"
"0",4133,5441,28646,1.79,FALSE
"1",3816,5543.5,29173,1.72,FALSE
"2",3793,6071,36694,1.69,FALSE
"3",3598,6045,37018,1.76,FALSE
"4",2025,5631,30974,1.64,FALSE
"5",1270,5898,35101,1.54,FALSE
"6",790,5397,28586.5,1.45,FALSE
"7",679,6375,41465,1.83,TRUE
"8",523,6003,38499,1.67,FALSE
"9",426,4062.5,14530.5,2.09,FALSE
