"","Eomes_HI","INFI_stimulated","Tcm","Tcmp","Tfh_Effector","Tfh_Memory","Th1_Effector","Th1_Memory","Treg"
"0",0.03,0.282,0.084,0.274,0.302,0.009,0.004,0,0.016
"1",0.014,0.296,0.148,0.311,0.167,0.016,0.003,0.001,0.044
"2",0.012,0.287,0.139,0.258,0.246,0.033,0.004,0,0.021
"3",0.015,0.147,0.171,0.248,0.378,0.026,0.004,0,0.013
"4",0.007,0.435,0.099,0.284,0.162,0.002,0,0,0.012
"5",0.001,0.551,0.111,0.16,0.05,0.044,0,0,0.081
"6",0.024,0.067,0.004,0.015,0.775,0.068,0.035,0,0.014
"7",0.019,0.286,0.091,0.333,0.254,0.009,0.001,0,0.007
"8",0.003,0.462,0.146,0.104,0.208,0.073,0,0,0.003
"9",0.001,0.089,0.006,0.132,0.689,0.019,0.023,0,0.041
"10",0.004,0.376,0.005,0.164,0.333,0.009,0.018,0,0.091
"11",0,0.103,0.368,0.088,0.221,0.147,0,0,0.074
"12",0,0.038,0.481,0.051,0.038,0.304,0,0,0.089
"13",0,0.049,0.007,0,0.056,0.021,0.007,0,0.86
