state,gene,n_miRNAs,total_clusters,total_cov
Tn,Stxbp3,2,2,21.7836312320126
Tn,Rps8,2,2,21.7196594864755
Tn,Itga4,2,2,21.0610844272155
Tn,Smad3,2,3,20.6089340299749
Tn,Runx3,2,3,19.2403131672137
Tn,Prex1,2,4,19.1116067583216
Tn,Cd52,2,2,18.404045849234
Tn,Apbb1ip,2,2,17.9522024978
Tn,Grk6,2,2,16.0048263595072
Tn,Il31ra,2,2,15.9126488467092
Tn,Wdr26,2,3,15.0732357855328
Tn,Dock10,2,3,13.5348560803432
Tn,Gramd3,2,2,9.31023465965771
Tn,Emb,2,2,9.05757575757576
Tn,Ppp2r5c,2,2,8.91685765215177
Tn,Taf1d,1,1,1579.87388994474
Tn,Maml2,1,26,370.945480812656
Tn,Scml4,1,15,347.37307302372
Tn,Runx1,1,20,273.261864410092
Tn,Mrtfa,1,9,214.590963844826
Tn,Cep295,1,3,126.830429409012
Tn,Sertad3,1,3,114.749478545883
Tn,Gnas,1,1,112.173570695513
Tn,Mbp,1,9,104.371342548459
Tn,Skap1,1,10,102.103923168685
Tn,Il21r,1,3,99.8393088997395
Tn,Prkcb,1,9,81.8636693789632
Tn,Cd69,1,2,73.26014994886
Tn,Card11,1,9,72.599921883008
Tn,Lef1,1,9,69.9580474558873
Tn,Fnbp1,1,7,67.047569729389
Tn,Mbnl1,1,10,67.0287971497742
Tn,Nedd9,1,9,65.0635636599421
Tn,Fam49b,1,6,63.5097076515364
Tn,Lnpep,1,2,63.3017476058052
Tn,Themis,1,8,61.7845938236868
Tn,Cacfd1,1,4,61.1651031365386
Tn,Bcl2,1,5,61.1142844378396
Tn,Inpp4b,1,7,59.3328311449144
Tn,Atf7ip,1,3,55.2686358573145
Tn,Marchf7,1,1,53.1818348437649
Tn,Itpkb,1,5,46.1290998659687
Tn,Cd247,1,4,46.0946238956489
Tn,Arf3,1,2,45.835052653495
Tn,Arhgef18,1,6,42.8849396799699
Tn,Miga1,1,4,42.7905797614776
Tn,Ankrd11,1,5,42.6569917381464
Tn,Ltb,1,1,42.410661622272
Tn,Fam160b2,1,4,42.2491511499704
Tn,Nufip2,1,2,42.2195563343351
Tn,Tnik,1,6,38.3573676422456
Tn,Ccdc88c,1,3,37.8134158090112
Tn,Il17ra,1,2,34.8544534265819
Tn,Cyth1,1,5,34.7690132243847
Tn,Hsd11b1,1,3,34.5372226055831
Tn,Inpp5k,1,4,34.0535448105934
Tn,Tpst2,1,3,33.5917481259654
Tn,Ncl,1,1,32.9704118253515
Tn,Ripor2,1,5,32.6330826043965
Tn,Tsc22d4,1,4,32.3779989913472
Tn,Tbc1d1,1,3,32.0174362263847
Tn,Pim1,1,1,31.4665914760287
Tn,Galnt10,1,5,30.8704515301705
Tn,Sema4d,1,4,30.8507044129411
Tn,Fos,1,1,29.2225608037406
Tn,Kmt2c,1,1,28.9767243802214
Tn,Rcsd1,1,3,28.7531765268717
Tn,Prkcq,1,4,28.6309980881899
Tn,Mlxip,1,2,28.2918305383094
Tn,Madd,1,2,27.9752760800376
Tn,Slc38a10,1,1,27.4974387806097
Tn,Zfp871,1,4,27.4806976554389
Tn,mt-Cytb,1,2,27.0587574690612
Tn,Gse1,1,3,26.6020050806448
Tn,Akt3,1,2,26.1251729813888
Tn,Def6,1,2,25.9523974240982
Tn,Taok1,1,2,25.182333289661
Tn,Vsir,1,3,25.0661037157054
Tn,Ldlrad4,1,2,24.7588537370966
Tn,Tbl1xr1,1,2,24.6609867918211
Tn,Jakmip1,1,2,24.3124278412634
Tn,Txnip,1,1,23.7748558734136
Tn,Map4k4,1,3,23.7467228670274
Tn,Zfp36,1,1,23.1987197776119
Tn,Tgfbr2,1,2,23.1835943258252
Tn,Shisa5,1,1,22.9561585443656
Tn,Pcmtd1,1,1,22.9073752009463
Tn,Itpk1,1,3,21.8467568905773
Tn,Elf4,1,2,21.3523691777057
Tn,Rictor,1,2,21.2328807429683
Tn,Arhgef3,1,3,20.6998169961449
Tn,Mtmr3,1,2,20.5030726268395
Tn,Aff3,1,3,20.4719737207237
Tn,Cnot4,1,1,19.8682610993658
Tn,Rraga,1,2,19.6437531885842
Tn,Ccm2,1,3,19.5975131091266
Tn,Gpr132,1,3,19.1374735874472
Tn,Rpl39,1,2,18.7678130200736
Tn,Fli1,1,2,18.5948355851884
Tn,Prkch,1,3,18.5261057093243
Tn,Sntb1,1,2,18.3507349176778
Tn,Spag7,1,2,18.3414769023936
Tn,Rtraf,1,1,18.1054464169431
Tn,Ddx3y,1,1,18.0583967245026
Tn,Spop,1,2,17.9708582548128
Tn,Ipcef1,1,3,17.9096869801445
Tn,Dicer1,1,1,17.8616011761561
Tn,Zdhhc20,1,1,17.7314023695603
Tn,Thada,1,2,17.3825961803888
Tn,Ssh2,1,2,17.0330923473106
Tn,Ash1l,1,2,16.8615066509658
Tn,Trim25,1,2,16.7591241522816
