miRNA,stateA,stateB,nA,nB,shared,jaccard
mmu-miR-150-5p,Tn,Tmem,11,1,0,0
mmu-miR-150-5p,Teff,Tmem,3,1,0,0
mmu-let-7c-5p,Tn,Tmem,2,2,0,0
mmu-miR-30d-5p,Tn,Teff,2,1,0,0
mmu-miR-30d-5p,Tn,Tmem,2,1,0,0
mmu-let-7f-5p,Tn,Teff,2,2,0,0
mmu-miR-30b-5p,Tn,Tmem,1,1,0,0
mmu-miR-30c-5p,Tn,Teff,1,2,0,0
mmu-miR-30c-5p,Tn,Tmem,1,5,0,0
mmu-miR-30c-5p,Tn,Tex,1,2,0,0
mmu-miR-30e-5p,Tn,Teff,1,2,0,0
mmu-miR-30e-5p,Tn,Tmem,1,5,0,0
mmu-miR-30e-5p,Tn,Tex,1,1,0,0
mmu-miR-142a-5p,Tn,Tex,8,2,0,0
mmu-miR-103-3p,Teff,Tex,2,2,0,0
mmu-miR-29a-3p,Tn,Teff,2,2,0,0
mmu-miR-29a-3p,Tn,Tmem,2,2,0,0
mmu-miR-29a-3p,Teff,Tmem,2,2,0,0
mmu-miR-20a-5p,Tn,Teff,1,4,0,0
mmu-miR-20a-5p,Tn,Tmem,1,17,0,0
mmu-miR-20a-5p,Tn,Tex,1,3,0,0
mmu-miR-361-5p,Tn,Tmem,1,1,0,0
mmu-miR-423-3p,Teff,Tex,1,1,0,0
mmu-miR-18a-5p,Teff,Tex,1,2,0,0
mmu-miR-106b-5p,Teff,Tmem,1,6,0,0
mmu-miR-106b-5p,Teff,Tex,1,1,0,0
mmu-miR-17-5p,Tmem,Tex,26,1,1,0.0384615384615385
mmu-miR-210-3p,Tmem,Tex,39,2,2,0.0512820512820513
mmu-miR-16-5p,Tn,Tex,13,2,1,0.0714285714285714
mmu-miR-17-5p,Tn,Tmem,2,26,2,0.0769230769230769
mmu-let-7d-5p,Tn,Tmem,2,24,2,0.0833333333333333
mmu-let-7f-5p,Tn,Tmem,2,11,1,0.0833333333333333
mmu-miR-15a-5p,Tmem,Tex,12,1,1,0.0833333333333333
mmu-miR-16-5p,Tmem,Tex,23,2,2,0.0869565217391304
mmu-miR-16-5p,Teff,Tex,10,2,1,0.0909090909090909
mmu-miR-466i-5p,Tn,Tex,317,36,31,0.0962732919254658
mmu-miR-103-3p,Tn,Tmem,2,8,1,0.111111111111111
mmu-miR-103-3p,Tmem,Tex,8,2,1,0.111111111111111
mmu-miR-23a-3p,Tmem,Tex,17,2,2,0.117647058823529
mmu-miR-92a-3p,Tmem,Tex,63,9,8,0.125
mmu-miR-3473b,Tn,Tmem,6,3,1,0.125
mmu-miR-484,Tn,Tmem,1,8,1,0.125
mmu-miR-671-5p,Teff,Tmem,1,8,1,0.125
mmu-miR-24-3p,Teff,Tmem,6,46,6,0.130434782608696
mmu-miR-155-5p,Tn,Tmem,2,15,2,0.133333333333333
mmu-miR-155-5p,Teff,Tmem,2,15,2,0.133333333333333
mmu-miR-342-3p,Tmem,Tex,7,1,1,0.142857142857143
mmu-let-7b-5p,Tn,Tmem,3,5,1,0.142857142857143
mmu-miR-18a-5p,Teff,Tmem,1,7,1,0.142857142857143
mmu-miR-142a-5p,Tmem,Tex,13,2,2,0.153846153846154
mmu-miR-24-3p,Teff,Tex,6,9,2,0.153846153846154
mmu-miR-466i-5p,Tn,Teff,317,75,54,0.159763313609467
mmu-miR-27a-3p,Tn,Tex,4,3,1,0.166666666666667
mmu-miR-27a-3p,Teff,Tmem,2,12,2,0.166666666666667
mmu-let-7d-5p,Tmem,Tex,24,4,4,0.166666666666667
mmu-miR-150-5p,Tn,Teff,11,3,2,0.166666666666667
mmu-miR-142a-5p,Tn,Tmem,8,13,3,0.166666666666667
mmu-miR-106b-5p,Tmem,Tex,6,1,1,0.166666666666667
mmu-miR-24-3p,Tn,Tmem,9,46,8,0.170212765957447
mmu-miR-92a-3p,Tn,Tmem,12,63,11,0.171875
mmu-miR-92a-3p,Teff,Tmem,11,63,11,0.174603174603175
mmu-miR-20a-5p,Tmem,Tex,17,3,3,0.176470588235294
mmu-miR-466i-5p,Tn,Tmem,317,96,63,0.18
mmu-miR-26a-5p,Tn,Tmem,9,4,2,0.181818181818182
mmu-miR-26b-5p,Tmem,Tex,11,2,2,0.181818181818182
mmu-let-7f-5p,Teff,Tmem,2,11,2,0.181818181818182
mmu-miR-142a-3p,Tmem,Tex,79,16,15,0.1875
mmu-miR-17-5p,Teff,Tmem,5,26,5,0.192307692307692
mmu-miR-142a-3p,Tn,Tmem,50,79,21,0.194444444444444
mmu-miR-24-3p,Tmem,Tex,46,9,9,0.195652173913043
mmu-miR-142a-3p,Tn,Tex,50,16,11,0.2
mmu-miR-342-3p,Teff,Tex,5,1,1,0.2
mmu-let-7d-5p,Tn,Tex,2,4,1,0.2
mmu-miR-30e-5p,Tmem,Tex,5,1,1,0.2
mmu-miR-155-5p,Tn,Tex,2,10,2,0.2
mmu-miR-155-5p,Teff,Tex,2,10,2,0.2
mmu-miR-24-3p,Tn,Tex,9,9,3,0.2
mmu-miR-191-5p,Tn,Tmem,1,5,1,0.2
mmu-miR-17-5p,Teff,Tex,5,1,1,0.2
mmu-miR-147-3p,Teff,Tmem,1,5,1,0.2
mmu-miR-147-3p,Tmem,Tex,5,1,1,0.2
mmu-miR-93-5p,Teff,Tmem,2,4,1,0.2
mmu-miR-142a-3p,Tn,Teff,50,26,13,0.206349206349206
mmu-let-7d-5p,Teff,Tmem,5,24,5,0.208333333333333
mmu-let-7a-5p,Tn,Tmem,6,17,4,0.210526315789474
mmu-miR-26a-5p,Tn,Teff,9,2,2,0.222222222222222
mmu-miR-26a-5p,Tn,Tex,9,2,2,0.222222222222222
mmu-let-7g-5p,Tn,Teff,5,6,2,0.222222222222222
mmu-miR-142a-5p,Tn,Teff,8,3,2,0.222222222222222
mmu-miR-23b-3p,Tmem,Tex,8,3,2,0.222222222222222
mmu-miR-27a-3p,Tn,Tmem,4,12,3,0.230769230769231
mmu-miR-142a-5p,Teff,Tmem,3,13,3,0.230769230769231
mmu-miR-92a-3p,Tn,Tex,12,9,4,0.235294117647059
mmu-miR-15b-5p,Tmem,Tex,17,4,4,0.235294117647059
mmu-let-7a-5p,Teff,Tmem,4,17,4,0.235294117647059
mmu-let-7a-5p,Tmem,Tex,17,4,4,0.235294117647059
mmu-miR-20a-5p,Teff,Tmem,4,17,4,0.235294117647059
mmu-miR-16-5p,Tn,Tmem,13,23,7,0.241379310344828
mmu-miR-15b-5p,Tn,Tex,11,4,3,0.25
mmu-miR-342-3p,Tn,Tex,4,1,1,0.25
mmu-miR-27a-3p,Teff,Tex,2,3,1,0.25
mmu-miR-27a-3p,Tmem,Tex,12,3,3,0.25
mmu-miR-26b-5p,Tn,Tex,8,2,2,0.25
mmu-let-7g-5p,Tn,Tmem,5,10,3,0.25
mmu-miR-15a-5p,Tn,Tmem,3,12,3,0.25
mmu-miR-15a-5p,Teff,Tex,4,1,1,0.25
mmu-miR-142a-5p,Teff,Tex,3,2,1,0.25
mmu-miR-103-3p,Teff,Tmem,2,8,2,0.25
mmu-miR-3473b,Tn,Teff,6,4,2,0.25
mmu-miR-484,Teff,Tmem,2,8,2,0.25
mmu-miR-423-3p,Teff,Tmem,1,4,1,0.25
mmu-miR-423-3p,Tmem,Tex,4,1,1,0.25
mmu-miR-19b-3p,Tmem,Tex,4,1,1,0.25
mmu-miR-466i-5p,Tmem,Tex,96,36,27,0.257142857142857
mmu-miR-466f-3p,Tn,Tex,20,13,7,0.269230769230769
mmu-miR-466f-3p,Tn,Tmem,20,27,10,0.27027027027027
mmu-miR-466i-5p,Teff,Tex,75,36,24,0.275862068965517
mmu-miR-16-5p,Tn,Teff,13,10,5,0.277777777777778
mmu-miR-142a-3p,Teff,Tmem,26,79,23,0.280487804878049
mmu-miR-3473b,Tmem,Tex,3,6,2,0.285714285714286
mmu-miR-18a-5p,Tmem,Tex,7,2,2,0.285714285714286
mmu-miR-27b-3p,Tmem,Tex,7,2,2,0.285714285714286
mmu-miR-15b-5p,Teff,Tex,9,4,3,0.3
mmu-miR-16-5p,Teff,Tmem,10,23,8,0.32
mmu-miR-15b-5p,Tn,Tmem,11,17,7,0.333333333333333
mmu-let-7g-5p,Teff,Tmem,6,10,4,0.333333333333333
mmu-miR-155-5p,Tn,Teff,2,2,1,0.333333333333333
mmu-miR-15a-5p,Tn,Tex,3,1,1,0.333333333333333
mmu-miR-15a-5p,Teff,Tmem,4,12,4,0.333333333333333
mmu-miR-103-3p,Tn,Teff,2,2,1,0.333333333333333
mmu-miR-103-3p,Tn,Tex,2,2,1,0.333333333333333
mmu-miR-3473b,Tn,Tex,6,6,3,0.333333333333333
mmu-miR-690,Tn,Tex,1,3,1,0.333333333333333
mmu-miR-690,Teff,Tmem,2,2,1,0.333333333333333
