"module","gene"
"Combined_NR","Aak1"
"Combined_NR","Abcg1"
"Combined_NR","Abhd4"
"Combined_NR","Abhd5"
"Combined_NR","Abi3"
"Combined_NR","Ablim3"
"Combined_NR","Abracl"
"Combined_NR","Abt1"
"Combined_NR","Acap1"
"Combined_NR","Acap2"
"Combined_NR","Acat3"
"Combined_NR","Acp1"
"Combined_NR","Acp5"
"Combined_NR","Acsl1"
"Combined_NR","Acta2"
"Combined_NR","Actn1"
"Combined_NR","Actn4"
"Combined_NR","Actr1b"
"Combined_NR","Actr2"
"Combined_NR","Actr3"
"Combined_NR","Ada"
"Combined_NR","Adam10"
"Combined_NR","Adam9"
"Combined_NR","Adar"
"Combined_NR","Adcy1"
"Combined_NR","Add1"
"Combined_NR","Add3"
"Combined_NR","Adgre5"
"Combined_NR","Adgrg1"
"Combined_NR","Adh5"
"Combined_NR","Adipor1"
"Combined_NR","Adm"
"Combined_NR","Adrb2"
"Combined_NR","Adrm1"
"Combined_NR","Afap1"
"Combined_NR","Aff4"
"Combined_NR","Afg3l2"
"Combined_NR","Agrn"
"Combined_NR","Ahcy"
"Combined_NR","Ahcyl2"
"Combined_NR","Ahi1"
"Combined_NR","Ahnak"
"Combined_NR","Ahsa1"
"Combined_NR","Aip"
"Combined_NR","Ak2"
"Combined_NR","Akap11"
"Combined_NR","Akap12"
"Combined_NR","Akirin1"
"Combined_NR","Akirin2"
"Combined_NR","Akna"
"Combined_NR","Aldoa"
"Combined_NR","Alox5ap"
"Combined_NR","Amd1"
"Combined_NR","Anapc11"
"Combined_NR","Anapc16"
"Combined_NR","Anapc5"
"Combined_NR","Angptl4"
"Combined_NR","Ankrd10"
"Combined_NR","Ankrd28"
"Combined_NR","Ankrd33b"
"Combined_NR","Ankrd44"
"Combined_NR","Anp32a"
"Combined_NR","Anxa1"
"Combined_NR","Anxa11"
"Combined_NR","Anxa2"
"Combined_NR","Gm21188"
"Combined_NR","Anxa5"
"Combined_NR","Anxa6"
"Combined_NR","Aoah"
"Combined_NR","Ap2b1"
"Combined_NR","Ap2m1"
"Combined_NR","Ap2s1"
"Combined_NR","Apbb1ip"
"Combined_NR","Api5"
"Combined_NR","Aplp1"
"Combined_NR","Aplp2"
"Combined_NR","Apobec3"
"Combined_NR","App"
"Combined_NR","Arap2"
"Combined_NR","Arf5"
"Combined_NR","Arf6"
"Combined_NR","Arhgap15"
"Combined_NR","Arhgap18"
"Combined_NR","Arhgap25"
"Combined_NR","Arhgap30"
"Combined_NR","Arhgap31"
"Combined_NR","Arhgap4"
"Combined_NR","Arhgap9"
"Combined_NR","Arhgdia"
"Combined_NR","Arhgdib"
"Combined_NR","Arhgef1"
"Combined_NR","Arhgef3"
"Combined_NR","Arhgef9"
"Combined_NR","Arid1b"
"Combined_NR","Arid5b"
"Combined_NR","Arih2"
"Combined_NR","Arl2bp"
"Combined_NR","Arl4c"
"Combined_NR","Arl5a"
"Combined_NR","Arl6ip4"
