"module","lineage","cluster","n_cells","mean_score","median_score","mean_z","pct_z_gt0","elevated"
"FOXO_Stress_Autophagy","CD4","Activated intermediate CD4",23010,-0.0206436180874147,-0.0214214872035729,-0.318934994575615,35.4889178617992,FALSE
"FOXO_Stress_Autophagy","CD4","Differentiated activated/effector CD4",22301,-0.00677147645475544,-0.00787287383538615,-0.188138942054783,40.8053450517914,FALSE
"FOXO_Stress_Autophagy","CD4","IFNg-associated early activated CD4",11628,0.0412807890193816,0.0389320954737762,0.264930728449681,59.4599243206054,TRUE
"FOXO_Stress_Autophagy","CD4","CD4 TCF1hi naive/stem-like progenitor",4874,0.0784076722022904,0.0762142679508855,0.614988411777676,69.2244562987279,TRUE
"FOXO_Stress_Autophagy","CD4","Transitional progenitor-like CD4",4609,0.0176064527311613,0.0153675775285907,0.0417128710671002,50.8136255152962,FALSE
"FOXO_Stress_Autophagy","CD4","Early activated CD4",3984,0.00655924129758797,0.00464891418883079,-0.0624478047057439,46.2098393574297,FALSE
"FOXO_Stress_Autophagy","CD4","Treg",1547,0.020624462079616,0.0159479339424516,0.0701687302777279,51.131221719457,FALSE
"FOXO_Stress_Autophagy","CD4","Transitional activated CD4",1459,0.00560857780115252,-0.00046022568507853,-0.0714113112717861,44.7566826593557,FALSE
"FOXO_Stress_Autophagy","CD4","CX3CR1+KLRG1+ differentiated effector CD4",600,0.0594798240380422,0.0453451778896773,0.436523695358633,60.5,TRUE
"FOXO_Stress_Autophagy","CD4","Intermediate activated CD4",502,-0.0445706278014379,-0.052871425112668,-0.544535230075943,33.2669322709163,FALSE
"FOXO_Stress_Autophagy","CD4","ALL",74514,0.00532563297508497,0.00142288788805098,-0.0740791088844993,45.2411627345197,FALSE
"FOXO_Stress_Autophagy","CD8","Proliferative CD8 effector",15426,0.00706514547149327,0.00620500704334603,-0.057677793653893,46.6938934266822,FALSE
"FOXO_Stress_Autophagy","CD8","Non-cycling exhaustion-like CD8",5627,0.0769942452316842,0.0760978402621552,0.6016616542245,74.5157277412476,TRUE
"FOXO_Stress_Autophagy","CD8","ALL",21053,0.0257556429944398,0.0228832758836555,0.118549018354453,54.1300527240773,FALSE
"Mito_Stress_ROS","CD4","Activated intermediate CD4",23010,-0.108281007933937,-0.108325683341492,-0.0852164307423018,46.1581920903955,FALSE
"Mito_Stress_ROS","CD4","Differentiated activated/effector CD4",22301,-0.130740556898848,-0.130899639890625,-0.231075969983993,39.5363436617192,FALSE
"Mito_Stress_ROS","CD4","IFNg-associated early activated CD4",11628,-0.10073941634041,-0.101631415925449,-0.0362389077876128,48.202614379085,FALSE
"Mito_Stress_ROS","CD4","CD4 TCF1hi naive/stem-like progenitor",4874,-0.159191089361612,-0.164742123746771,-0.415842884167485,33.2786212556422,FALSE
"Mito_Stress_ROS","CD4","Transitional progenitor-like CD4",4609,-0.109104493861415,-0.110955168081514,-0.0905644133817417,45.6498155782165,FALSE
"Mito_Stress_ROS","CD4","Early activated CD4",3984,-0.139275484317035,-0.139130883435912,-0.286504535474021,35.6927710843374,FALSE
"Mito_Stress_ROS","CD4","Treg",1547,-0.136028560086023,-0.137981228789726,-0.265417964544747,38.8493859082094,FALSE
"Mito_Stress_ROS","CD4","Transitional activated CD4",1459,-0.00309048696311076,-0.00199815051918539,0.597924666408367,70.2535983550377,TRUE
"Mito_Stress_ROS","CD4","CX3CR1+KLRG1+ differentiated effector CD4",600,0.0332722663412444,0.0311897825478109,0.83407608916485,71.6666666666667,TRUE
"Mito_Stress_ROS","CD4","Intermediate activated CD4",502,-0.241701299410112,-0.312221247983534,-0.951690742876133,23.3067729083665,FALSE
"Mito_Stress_ROS","CD4","ALL",74514,-0.117139577688402,-0.118697566630756,-0.142746833723473,43.4334487478863,FALSE
"Mito_Stress_ROS","CD8","Proliferative CD8 effector",15426,-0.0409939100725584,-0.0424144464950685,0.351767638096516,65.4803578374173,TRUE
"Mito_Stress_ROS","CD8","Non-cycling exhaustion-like CD8",5627,-0.04484132816052,-0.0475279216080558,0.326781266800414,62.9998222854096,TRUE
"Mito_Stress_ROS","CD8","ALL",21053,-0.0420222396018872,-0.0435327626861248,0.345089335180866,64.8173656961003,TRUE
