"human","mouse","support_n","method","set_name","in_object"
"BVES","Bves",12,"babelgene","Fraietta2018_NR",TRUE
"C16orf87","4921524J17Rik",12,"babelgene","Fraietta2018_NR",TRUE
"C17orf58","1810010H24Rik",9,"babelgene","Fraietta2018_NR",TRUE
"C1orf198","2310022B05Rik",12,"babelgene","Fraietta2018_NR",TRUE
"C2orf72","2810459M11Rik",11,"babelgene","Fraietta2018_NR",TRUE
"C3orf52","BC016579",12,"babelgene","Fraietta2018_NR",TRUE
"CA12","Car12",12,"babelgene","Fraietta2018_NR",TRUE
"CA9","Car9",12,"babelgene","Fraietta2018_NR",TRUE
"CABLES1","Cables1",11,"babelgene","Fraietta2018_NR",TRUE
"CAMK1","Camk1",12,"babelgene","Fraietta2018_NR",TRUE
"CAMSAP2","Camsap2",12,"babelgene","Fraietta2018_NR",TRUE
"CAV1","Cav1",11,"babelgene","Fraietta2018_NR",FALSE
"CBX1","Cbx1",12,"babelgene","Fraietta2018_NR",TRUE
"CCDC50","Ccdc50",11,"babelgene","Fraietta2018_NR",TRUE
"CCDC74A","Ccdc74a",6,"babelgene","Fraietta2018_NR",TRUE
"CCDC74B","Ccdc74a",7,"babelgene","Fraietta2018_NR",TRUE
"CCL22","Ccl22",12,"babelgene","Fraietta2018_NR",FALSE
"CCR7","Ccr7",11,"babelgene","Fraietta2018_NR",TRUE
"CD109","Cd109",12,"babelgene","Fraietta2018_NR",TRUE
"CD200","Cd200",12,"babelgene","Fraietta2018_NR",TRUE
"CD22","Cd22",12,"babelgene","Fraietta2018_NR",TRUE
"CD276","Cd276",11,"babelgene","Fraietta2018_NR",TRUE
"CD5","Cd5",12,"babelgene","Fraietta2018_NR",TRUE
"CD80","Cd80",12,"babelgene","Fraietta2018_NR",TRUE
"CDC42BPB","Cdc42bpb",11,"babelgene","Fraietta2018_NR",TRUE
"CDC6","Cdc6",12,"babelgene","Fraietta2018_NR",TRUE
"CDCA5","Cdca5",11,"babelgene","Fraietta2018_NR",TRUE
"CDHR5","Cdhr5",12,"babelgene","Fraietta2018_NR",FALSE
"CDK6","Cdk6",11,"babelgene","Fraietta2018_NR",TRUE
"CDKN1A","Cdkn1a",12,"babelgene","Fraietta2018_NR",TRUE
"CDT1","Cdt1",12,"babelgene","Fraietta2018_NR",TRUE
"CENPI","Cenpi",12,"babelgene","Fraietta2018_NR",TRUE
"CERS6","Cers6",12,"babelgene","Fraietta2018_NR",TRUE
"CFI","Cfi",11,"babelgene","Fraietta2018_NR",TRUE
"CH25H","Ch25h",12,"babelgene","Fraietta2018_NR",TRUE
"CHEK1","Chek1",12,"babelgene","Fraietta2018_NR",TRUE
"CHN1","Chn1",10,"babelgene","Fraietta2018_NR",TRUE
"CHRM4","Chrm4",11,"babelgene","Fraietta2018_NR",TRUE
"CHST2","Chst2",11,"babelgene","Fraietta2018_NR",TRUE
"CKAP2L","Ckap2l",12,"babelgene","Fraietta2018_NR",TRUE
"CLIC4","Clic4",11,"babelgene","Fraietta2018_NR",TRUE
"CLMN","Clmn",12,"babelgene","Fraietta2018_NR",TRUE
"CLPB","Clpb",11,"babelgene","Fraietta2018_NR",TRUE
"CNTROB","Cntrob",12,"babelgene","Fraietta2018_NR",TRUE
"COL3A1","Col3a1",10,"babelgene","Fraietta2018_NR",FALSE
"CORO1C","Coro1c",12,"babelgene","Fraietta2018_NR",TRUE
"CPA5","Cpa5",11,"babelgene","Fraietta2018_NR",FALSE
"CPM","Cpm",12,"babelgene","Fraietta2018_NR",TRUE
"CREG1","Creg1",12,"babelgene","Fraietta2018_NR",TRUE
"CSE1L","Cse1l",12,"babelgene","Fraietta2018_NR",TRUE
"CSRNP1","Csrnp1",12,"babelgene","Fraietta2018_NR",TRUE
"CTNNA1","Ctnna1",12,"babelgene","Fraietta2018_NR",TRUE
"CTNNAL1","Ctnnal1",12,"babelgene","Fraietta2018_NR",TRUE
"CTTN","Cttn",10,"babelgene","Fraietta2018_NR",TRUE
"CXCL13","Cxcl13",12,"babelgene","Fraietta2018_NR",FALSE
