"human","mouse","support_n","method","set_name","in_object"
"HLA-A","H2-Q10",5,"babelgene","Saren2023_R",TRUE
"HLA-C","H2-Q10",4,"babelgene","Saren2023_R",TRUE
"HLA-DMA","H2-DMa",12,"babelgene","Saren2023_R",TRUE
"HLA-DQA1","H2-Aa",9,"babelgene","Saren2023_R",TRUE
"HLA-DRA","H2-Ea",6,"babelgene","Saren2023_R",TRUE
"IFNGR1","Ifngr1",11,"babelgene","Saren2023_R",TRUE
"IL12RB1","Il12rb1",11,"babelgene","Saren2023_R",TRUE
"IL12RB2","Il12rb2",12,"babelgene","Saren2023_R",TRUE
"IL15","Il15",12,"babelgene","Saren2023_R",TRUE
"IL5","Il5",11,"babelgene","Saren2023_R",TRUE
"ITGA4","Itga4",12,"babelgene","Saren2023_R",TRUE
"ITGAM","Itgam",12,"babelgene","Saren2023_R",TRUE
"ITK","Itk",12,"babelgene","Saren2023_R",TRUE
"LAP3","Lap3",12,"babelgene","Saren2023_R",TRUE
"LAT","Lat",12,"babelgene","Saren2023_R",TRUE
"LCK","Lck",12,"babelgene","Saren2023_R",TRUE
"LIF","Lif",12,"babelgene","Saren2023_R",TRUE
"LIPA","Lipa",11,"babelgene","Saren2023_R",TRUE
"LY86","Ly86",12,"babelgene","Saren2023_R",TRUE
"LYN","Lyn",12,"babelgene","Saren2023_R",TRUE
"MCM4","Mcm4",11,"babelgene","Saren2023_R",TRUE
"MKI67","Mki67",11,"babelgene","Saren2023_R",TRUE
"MYC","Myc",11,"babelgene","Saren2023_R",TRUE
"NFATC1","Nfatc1",12,"babelgene","Saren2023_R",TRUE
"NFKB1","Nfkb1",11,"babelgene","Saren2023_R",TRUE
"NINJ2","Ninj2",12,"babelgene","Saren2023_R",TRUE
"OAS1","Oas1a",8,"babelgene","Saren2023_R",TRUE
"PDIA6","Pdia6",12,"babelgene","Saren2023_R",TRUE
"PIK3AP1","Pik3ap1",12,"babelgene","Saren2023_R",TRUE
"POU2F2","Pou2f2",11,"babelgene","Saren2023_R",TRUE
"PTGER4","Ptger4",12,"babelgene","Saren2023_R",TRUE
"PTTG2","Pttg1",7,"babelgene","Saren2023_R",TRUE
"RORA","Rora",12,"babelgene","Saren2023_R",TRUE
"RPN2","Rpn2",11,"babelgene","Saren2023_R",TRUE
"RUNX2","Runx2",11,"babelgene","Saren2023_R",TRUE
"S100A10","S100a10",12,"babelgene","Saren2023_R",TRUE
"SELPLG","Selplg",10,"babelgene","Saren2023_R",TRUE
"TBX21","Tbx21",12,"babelgene","Saren2023_R",TRUE
"TCF4","Tcf4",12,"babelgene","Saren2023_R",TRUE
"TGFBI","Tgfbi",12,"babelgene","Saren2023_R",FALSE
"TK1","Tk1",12,"babelgene","Saren2023_R",TRUE
"TNFRSF1B","Tnfrsf1b",12,"babelgene","Saren2023_R",TRUE
"TNFSF10","Tnfsf10",12,"babelgene","Saren2023_R",TRUE
"TOP2A","Top2a",11,"babelgene","Saren2023_R",TRUE
"TOX","Tox",12,"babelgene","Saren2023_R",TRUE
"UBE2C","Ube2c",12,"babelgene","Saren2023_R",TRUE
"VPS28","Vps28",10,"babelgene","Saren2023_R",TRUE
"FYB","Fyb",NA,"title_case_validated","Saren2023_R",TRUE
"ACAP1","Acap1",12,"babelgene","Shorer2025_NR",TRUE
"ACTA2","Acta2",11,"babelgene","Shorer2025_NR",TRUE
"ADD1","Add1",12,"babelgene","Shorer2025_NR",TRUE
"ADD3","Add3",11,"babelgene","Shorer2025_NR",TRUE
"ADIPOR1","Adipor1",12,"babelgene","Shorer2025_NR",TRUE
"AFF4","Aff4",12,"babelgene","Shorer2025_NR",TRUE
"AKAP11","Akap11",11,"babelgene","Shorer2025_NR",TRUE
"ALDOA","Aldoa",4,"babelgene","Shorer2025_NR",TRUE
"ANKRD10","Ankrd10",11,"babelgene","Shorer2025_NR",TRUE
"ANXA2R","Gm21188",4,"babelgene","Shorer2025_NR",TRUE
"API5","Api5",11,"babelgene","Shorer2025_NR",TRUE
"ARAP2","Arap2",12,"babelgene","Shorer2025_NR",TRUE
"ARF6","Arf6",12,"babelgene","Shorer2025_NR",TRUE
"ARHGAP18","Arhgap18",11,"babelgene","Shorer2025_NR",TRUE
"ARHGAP30","Arhgap30",10,"babelgene","Shorer2025_NR",TRUE
"ARHGEF9","Arhgef9",12,"babelgene","Shorer2025_NR",TRUE
"ARID1B","Arid1b",11,"babelgene","Shorer2025_NR",TRUE
"ARID5B","Arid5b",11,"babelgene","Shorer2025_NR",TRUE
"ARIH2","Arih2",12,"babelgene","Shorer2025_NR",TRUE
"ARL5A","Arl5a",12,"babelgene","Shorer2025_NR",TRUE
"ARL6IP6","Arl6ip6",12,"babelgene","Shorer2025_NR",TRUE
"ARPC2","Arpc2",11,"babelgene","Shorer2025_NR",TRUE
"ARPC4","Arpc4",10,"babelgene","Shorer2025_NR",TRUE
"ARPP19","Arpp19",9,"babelgene","Shorer2025_NR",TRUE
"ASXL2","Asxl2",11,"babelgene","Shorer2025_NR",TRUE
"ATF6B","Atf6b",12,"babelgene","Shorer2025_NR",TRUE
"ATF7IP","Atf7ip",12,"babelgene","Shorer2025_NR",TRUE
"ATG3","Atg3",12,"babelgene","Shorer2025_NR",TRUE
"ATP2B1","Atp2b1",11,"babelgene","Shorer2025_NR",TRUE
"ATP6V0B","Atp6v0b",11,"babelgene","Shorer2025_NR",TRUE
"ATP6V0E2","Atp6v0e2",9,"babelgene","Shorer2025_NR",TRUE
"ATXN2L","Atxn2l",12,"babelgene","Shorer2025_NR",TRUE
"AUP1","Aup1",12,"babelgene","Shorer2025_NR",TRUE
"BAG1","Bag1",10,"babelgene","Shorer2025_NR",TRUE
"BBX","Bbx",12,"babelgene","Shorer2025_NR",TRUE
"BCCIP","Bccip",12,"babelgene","Shorer2025_NR",TRUE
"BCL2","Bcl2",11,"babelgene","Shorer2025_NR",TRUE
"BCL2L11","Bcl2l11",12,"babelgene","Shorer2025_NR",TRUE
"BIRC6","Birc6",11,"babelgene","Shorer2025_NR",TRUE
"BLOC1S2","Bloc1s2",12,"babelgene","Shorer2025_NR",TRUE
"BRD4","Brd4",10,"babelgene","Shorer2025_NR",TRUE
"C6orf62","BC005537",12,"babelgene","Shorer2025_NR",TRUE
"C9orf78","BC005624",11,"babelgene","Shorer2025_NR",TRUE
"CABIN1","Cabin1",10,"babelgene","Shorer2025_NR",TRUE
"CALR","Calr",12,"babelgene","Shorer2025_NR",TRUE
"CAMLG","Caml",12,"babelgene","Shorer2025_NR",TRUE
"CAPZA1","Capza1",11,"babelgene","Shorer2025_NR",TRUE
"CAPZB","Capzb",11,"babelgene","Shorer2025_NR",TRUE
"CASP1","Casp1",11,"babelgene","Shorer2025_NR",TRUE
"CASP3","Casp3",12,"babelgene","Shorer2025_NR",TRUE
"CASP8","Casp8",12,"babelgene","Shorer2025_NR",TRUE
"CCDC107","Ccdc107",12,"babelgene","Shorer2025_NR",TRUE
"CCDC14","Ccdc14",12,"babelgene","Shorer2025_NR",TRUE
"CCDC88C","Ccdc88c",12,"babelgene","Shorer2025_NR",TRUE
"CCNK","Ccnk",12,"babelgene","Shorer2025_NR",TRUE
"CCSER2","Ccser2",11,"babelgene","Shorer2025_NR",TRUE
"CD164","Cd164",12,"babelgene","Shorer2025_NR",TRUE
"CD46","Cd46",12,"babelgene","Shorer2025_NR",TRUE
"CD47","Cd47",12,"babelgene","Shorer2025_NR",TRUE
"CD53","Cd53",10,"babelgene","Shorer2025_NR",TRUE
"CD83","Cd83",12,"babelgene","Shorer2025_NR",TRUE
"CDC37","Cdc37",12,"babelgene","Shorer2025_NR",TRUE
"CDC42SE1","Cdc42se1",12,"babelgene","Shorer2025_NR",TRUE
"CDC42SE2","Cdc42se2",12,"babelgene","Shorer2025_NR",TRUE
"CHD2","Chd2",11,"babelgene","Shorer2025_NR",TRUE
"CHD3","Chd3",11,"babelgene","Shorer2025_NR",TRUE
"CHMP5","Chmp5",12,"babelgene","Shorer2025_NR",TRUE
"CIB1","Cib1",10,"babelgene","Shorer2025_NR",TRUE
"CIR1","Cir1",12,"babelgene","Shorer2025_NR",TRUE
"CISD2","Cisd2",12,"babelgene","Shorer2025_NR",TRUE
"CKAP2","Ckap2",12,"babelgene","Shorer2025_NR",TRUE
"CLTC","Cltc",12,"babelgene","Shorer2025_NR",TRUE
"CMPK1","Cmpk1",12,"babelgene","Shorer2025_NR",TRUE
"CNOT2","Cnot2",12,"babelgene","Shorer2025_NR",TRUE
"COG5","Cog5",11,"babelgene","Shorer2025_NR",TRUE
"COPS2","Cops2",10,"babelgene","Shorer2025_NR",TRUE
"COPS5","Cops5",12,"babelgene","Shorer2025_NR",TRUE
"CPNE1","Cpne1",10,"babelgene","Shorer2025_NR",TRUE
"CPOX","Cpox",10,"babelgene","Shorer2025_NR",TRUE
"CSDE1","Csde1",12,"babelgene","Shorer2025_NR",TRUE
"CSNK1A1","Csnk1a1",10,"babelgene","Shorer2025_NR",TRUE
"CSNK1D","Csnk1d",11,"babelgene","Shorer2025_NR",TRUE
"CSRP1","Csrp1",12,"babelgene","Shorer2025_NR",TRUE
"CST3","Cst3",11,"babelgene","Shorer2025_NR",TRUE
"CTBP1","Ctbp1",12,"babelgene","Shorer2025_NR",TRUE
"CTDSP1","Ctdsp1",12,"babelgene","Shorer2025_NR",TRUE
"CYTH1","Cyth1",12,"babelgene","Shorer2025_NR",TRUE
"DCP2","Dcp2",11,"babelgene","Shorer2025_NR",TRUE
"DDT","Ddt",8,"babelgene","Shorer2025_NR",TRUE
"DDX39A","Ddx39a",12,"babelgene","Shorer2025_NR",TRUE
"DDX5","Ddx5",10,"babelgene","Shorer2025_NR",TRUE
"DERL1","Derl1",12,"babelgene","Shorer2025_NR",TRUE
"DIDO1","Dido1",12,"babelgene","Shorer2025_NR",TRUE
"DIP2A","Dip2a",11,"babelgene","Shorer2025_NR",TRUE
"DNAJC19","Dnajc19",9,"babelgene","Shorer2025_NR",TRUE
"DR1","Dr1",12,"babelgene","Shorer2025_NR",TRUE
"DYNC1H1","Dync1h1",11,"babelgene","Shorer2025_NR",TRUE
"ECH1","Ech1",12,"babelgene","Shorer2025_NR",TRUE
"EIF2S3","Eif2s3x",11,"babelgene","Shorer2025_NR",TRUE
"EIF3A","Eif3a",11,"babelgene","Shorer2025_NR",TRUE
"EIF3D","Eif3d",12,"babelgene","Shorer2025_NR",TRUE
"EIF3E","Eif3e",12,"babelgene","Shorer2025_NR",TRUE
"EIF3L","Eif3l",12,"babelgene","Shorer2025_NR",TRUE
"EIF3M","Eif3m",12,"babelgene","Shorer2025_NR",TRUE
"EIF4B","Eif4b",12,"babelgene","Shorer2025_NR",TRUE
"EIF4G2","Eif4g2",12,"babelgene","Shorer2025_NR",TRUE
"EIF5B","Eif5b",12,"babelgene","Shorer2025_NR",TRUE
"EMB","Emb",11,"babelgene","Shorer2025_NR",TRUE
"ENSA","Ensa",9,"babelgene","Shorer2025_NR",TRUE
"ENY2","Eny2",12,"babelgene","Shorer2025_NR",TRUE
"ERCC5","Ercc5",9,"babelgene","Shorer2025_NR",TRUE
"ETHE1","Ethe1",12,"babelgene","Shorer2025_NR",TRUE
"EWSR1","Ewsr1",11,"babelgene","Shorer2025_NR",TRUE
"F2R","F2r",12,"babelgene","Shorer2025_NR",TRUE
"FAM120A","Fam120a",11,"babelgene","Shorer2025_NR",TRUE
"FAM120B","Fam120b",12,"babelgene","Shorer2025_NR",TRUE
"FAM133B","Fam133b",11,"babelgene","Shorer2025_NR",TRUE
"FAM50A","Fam50a",12,"babelgene","Shorer2025_NR",TRUE
"FBL","Fbl",11,"babelgene","Shorer2025_NR",TRUE
"FBXO44","Fbxo44",10,"babelgene","Shorer2025_NR",TRUE
"FBXO7","Fbxo7",12,"babelgene","Shorer2025_NR",TRUE
"FDX1","Fdx1",12,"babelgene","Shorer2025_NR",TRUE
"FGFR1OP2","Fgfr1op2",12,"babelgene","Shorer2025_NR",TRUE
"FKBP8","Fkbp8",11,"babelgene","Shorer2025_NR",TRUE
"FMNL1","Fmnl1",9,"babelgene","Shorer2025_NR",TRUE
"FOXN3","Foxn3",11,"babelgene","Shorer2025_NR",TRUE
"FUBP1","Fubp1",12,"babelgene","Shorer2025_NR",TRUE
"GALNT1","Galnt1",11,"babelgene","Shorer2025_NR",TRUE
"GHITM","Ghitm",12,"babelgene","Shorer2025_NR",TRUE
"GIMAP6","Gimap6",12,"babelgene","Shorer2025_NR",TRUE
"GLO1","Glo1",12,"babelgene","Shorer2025_NR",TRUE
"GNAI3","Gnai3",11,"babelgene","Shorer2025_NR",TRUE
"GNAS","Gnas",12,"babelgene","Shorer2025_NR",TRUE
"GOLPH3","Golph3",12,"babelgene","Shorer2025_NR",TRUE
"GPATCH8","Gpatch8",12,"babelgene","Shorer2025_NR",TRUE
"GPR68","Gpr68",12,"babelgene","Shorer2025_NR",TRUE
"GSK3B","Gsk3b",12,"babelgene","Shorer2025_NR",TRUE
"GSTK1","Gstk1",12,"babelgene","Shorer2025_NR",TRUE
"GUK1","Guk1",10,"babelgene","Shorer2025_NR",TRUE
"HEG1","Heg1",11,"babelgene","Shorer2025_NR",TRUE
"HERC1","Herc1",11,"babelgene","Shorer2025_NR",TRUE
"HEXIM1","Hexim1",12,"babelgene","Shorer2025_NR",TRUE
"HIGD2A","Higd2a",11,"babelgene","Shorer2025_NR",TRUE
"HNRNPC","Hnrnpc",10,"babelgene","Shorer2025_NR",TRUE
"HNRNPDL","Hnrnpdl",11,"babelgene","Shorer2025_NR",TRUE
"HNRNPH1","Hnrnph1",10,"babelgene","Shorer2025_NR",TRUE
"HNRNPH3","Hnrnph3",12,"babelgene","Shorer2025_NR",TRUE
"HPS3","Hps3",11,"babelgene","Shorer2025_NR",TRUE
"HSD17B11","Hsd17b11",12,"babelgene","Shorer2025_NR",TRUE
"IER3IP1","Ier3ip1",10,"babelgene","Shorer2025_NR",TRUE
"IGF2R","Igf2r",12,"babelgene","Shorer2025_NR",TRUE
"IKZF2","Ikzf2",11,"babelgene","Shorer2025_NR",TRUE
"IL6ST","Il6st",11,"babelgene","Shorer2025_NR",TRUE
"INPP4A","Inpp4a",10,"babelgene","Shorer2025_NR",TRUE
"IRF2BPL","Irf2bpl",11,"babelgene","Shorer2025_NR",TRUE
"IRF3","Irf3",11,"babelgene","Shorer2025_NR",TRUE
"ISG20L2","Isg20l2",12,"babelgene","Shorer2025_NR",TRUE
"KCNAB2","Kcnab2",12,"babelgene","Shorer2025_NR",TRUE
"KDSR","Kdsr",10,"babelgene","Shorer2025_NR",TRUE
"KLF10","Klf10",11,"babelgene","Shorer2025_NR",TRUE
"KLF3","Klf3",12,"babelgene","Shorer2025_NR",TRUE
"KLF9","Klf9",12,"babelgene","Shorer2025_NR",TRUE
"KMT2C","Kmt2c",12,"babelgene","Shorer2025_NR",TRUE
"KMT2E","Kmt2e",11,"babelgene","Shorer2025_NR",TRUE
"KRT10","Krt10",10,"babelgene","Shorer2025_NR",TRUE
"KTN1","Ktn1",11,"babelgene","Shorer2025_NR",TRUE
"LAMTOR4","Lamtor4",11,"babelgene","Shorer2025_NR",TRUE
"LAPTM5","Laptm5",11,"babelgene","Shorer2025_NR",TRUE
"LCP1","Lcp1",12,"babelgene","Shorer2025_NR",TRUE
"LRBA","Lrba",12,"babelgene","Shorer2025_NR",TRUE
"MAN1A2","Man1a2",12,"babelgene","Shorer2025_NR",TRUE
"MANF","Manf",11,"babelgene","Shorer2025_NR",TRUE
"MAP2K3","Map2k3",12,"babelgene","Shorer2025_NR",TRUE
"MAP4","Map4",9,"babelgene","Shorer2025_NR",TRUE
"MAX","Max",12,"babelgene","Shorer2025_NR",TRUE
"MAZ","Maz",11,"babelgene","Shorer2025_NR",TRUE
"MBD6","Mbd6",11,"babelgene","Shorer2025_NR",TRUE
"MBNL1","Mbnl1",11,"babelgene","Shorer2025_NR",TRUE
"MDH2","Mdh2",12,"babelgene","Shorer2025_NR",TRUE
"METAP2","Metap2",12,"babelgene","Shorer2025_NR",TRUE
"METTL9","Mettl9",12,"babelgene","Shorer2025_NR",TRUE
"MGAT1","Mgat1",12,"babelgene","Shorer2025_NR",TRUE
"MIF","Mif",12,"babelgene","Shorer2025_NR",TRUE
"MITD1","Mitd1",11,"babelgene","Shorer2025_NR",TRUE
"MKRN1","Mkrn1",12,"babelgene","Shorer2025_NR",TRUE
"MLF2","Mlf2",12,"babelgene","Shorer2025_NR",TRUE
"MOB1A","Mob1a",12,"babelgene","Shorer2025_NR",TRUE
"MORF4L1","Morf4l1",12,"babelgene","Shorer2025_NR",TRUE
"MPC1","Mpc1",12,"babelgene","Shorer2025_NR",TRUE
"MPC2","Mpc2",12,"babelgene","Shorer2025_NR",TRUE
"MSI2","Msi2",11,"babelgene","Shorer2025_NR",TRUE
"MSN","Msn",12,"babelgene","Shorer2025_NR",TRUE
"MTPN","Mtpn",12,"babelgene","Shorer2025_NR",TRUE
"MYL6","Myl6",11,"babelgene","Shorer2025_NR",TRUE
"NAA10","Naa10",12,"babelgene","Shorer2025_NR",TRUE
"NARF","Narf",12,"babelgene","Shorer2025_NR",TRUE
"NBAS","Nbas",11,"babelgene","Shorer2025_NR",TRUE
"NCOR2","Ncor2",11,"babelgene","Shorer2025_NR",TRUE
"NDUFA13","Ndufa13",11,"babelgene","Shorer2025_NR",TRUE
"NDUFB10","Ndufb10",12,"babelgene","Shorer2025_NR",TRUE
"NDUFB6","Ndufb6",12,"babelgene","Shorer2025_NR",TRUE
"NDUFV1","Ndufv1",12,"babelgene","Shorer2025_NR",TRUE
"NFATC2","Nfatc2",11,"babelgene","Shorer2025_NR",TRUE
"NIPBL","Nipbl",12,"babelgene","Shorer2025_NR",TRUE
"NKTR","Nktr",11,"babelgene","Shorer2025_NR",TRUE
"NLRC5","Nlrc5",11,"babelgene","Shorer2025_NR",TRUE
"NME3","Nme3",11,"babelgene","Shorer2025_NR",TRUE
"NMRK1","Nmrk1",11,"babelgene","Shorer2025_NR",TRUE
"NOP56","Nop56",12,"babelgene","Shorer2025_NR",TRUE
"NT5C3A","Nt5c3",9,"babelgene","Shorer2025_NR",TRUE
"NUDT4","Nudt4",11,"babelgene","Shorer2025_NR",TRUE
"OAT","Oat",12,"babelgene","Shorer2025_NR",TRUE
"ORMDL1","Ormdl1",11,"babelgene","Shorer2025_NR",TRUE
"OSBPL8","Osbpl8",12,"babelgene","Shorer2025_NR",TRUE
"OXLD1","Oxld1",10,"babelgene","Shorer2025_NR",TRUE
"PABPC4","Pabpc4",11,"babelgene","Shorer2025_NR",TRUE
"PAIP2","Paip2",12,"babelgene","Shorer2025_NR",TRUE
"PAM","Pam",11,"babelgene","Shorer2025_NR",TRUE
"PARP9","Parp9",12,"babelgene","Shorer2025_NR",TRUE
"PCED1B","Pced1b",12,"babelgene","Shorer2025_NR",TRUE
"PCID2","Pcid2",12,"babelgene","Shorer2025_NR",TRUE
"PDCL3","Pdcl3",12,"babelgene","Shorer2025_NR",TRUE
"PDE7A","Pde7a",11,"babelgene","Shorer2025_NR",TRUE
"PDIA3","Pdia3",12,"babelgene","Shorer2025_NR",TRUE
"PDS5A","Pds5a",11,"babelgene","Shorer2025_NR",TRUE
"PHB2","Phb2",12,"babelgene","Shorer2025_NR",TRUE
"PHC3","Phc3",11,"babelgene","Shorer2025_NR",TRUE
"PHF11","Phf11a",9,"babelgene","Shorer2025_NR",TRUE
"PHF20","Phf20",12,"babelgene","Shorer2025_NR",TRUE
"PHF20L1","Phf20l1",12,"babelgene","Shorer2025_NR",TRUE
"PIN4","Pin4",11,"babelgene","Shorer2025_NR",TRUE
"PITHD1","Pithd1",12,"babelgene","Shorer2025_NR",TRUE
"PKN1","Pkn1",12,"babelgene","Shorer2025_NR",TRUE
"PLEKHB2","Plekhb2",11,"babelgene","Shorer2025_NR",TRUE
"POLD4","Pold4",11,"babelgene","Shorer2025_NR",TRUE
"POLR3GL","Polr3gl",10,"babelgene","Shorer2025_NR",TRUE
"PPIA","Ppia",10,"babelgene","Shorer2025_NR",TRUE
"PPM1K","Ppm1k",12,"babelgene","Shorer2025_NR",TRUE
"PPM1M","Ppm1m",12,"babelgene","Shorer2025_NR",TRUE
"PPP1CC","Ppp1cc",10,"babelgene","Shorer2025_NR",TRUE
"PPP1R10","Ppp1r10",11,"babelgene","Shorer2025_NR",TRUE
"PPP1R12A","Ppp1r12a",12,"babelgene","Shorer2025_NR",TRUE
"PPP2CA","Ppp2ca",12,"babelgene","Shorer2025_NR",TRUE
"PPP2R2B","Ppp2r2b",11,"babelgene","Shorer2025_NR",TRUE
"PPP5C","Ppp5c",10,"babelgene","Shorer2025_NR",TRUE
"PPP6C","Ppp6c",12,"babelgene","Shorer2025_NR",TRUE
"PPT1","Ppt1",10,"babelgene","Shorer2025_NR",TRUE
"PRKAR2A","Prkar2a",12,"babelgene","Shorer2025_NR",TRUE
"PRPF40A","Prpf40a",12,"babelgene","Shorer2025_NR",TRUE
"PSAP","Psap",12,"babelgene","Shorer2025_NR",TRUE
"PSD4","Psd4",11,"babelgene","Shorer2025_NR",TRUE
"PSMA7","Psma7",12,"babelgene","Shorer2025_NR",TRUE
"PTBP1","Ptbp1",12,"babelgene","Shorer2025_NR",TRUE
"PTDSS1","Ptdss1",12,"babelgene","Shorer2025_NR",TRUE
"PTRHD1","Ptrhd1",11,"babelgene","Shorer2025_NR",TRUE
"R3HDM4","R3hdm4",12,"babelgene","Shorer2025_NR",TRUE
"RAB10","Rab10",12,"babelgene","Shorer2025_NR",TRUE
"RAB18","Rab18",11,"babelgene","Shorer2025_NR",TRUE
"RAB29","Rab29",12,"babelgene","Shorer2025_NR",TRUE
"RAB2A","Rab2a",11,"babelgene","Shorer2025_NR",TRUE
"RAB37","Rab37",12,"babelgene","Shorer2025_NR",TRUE
"RAB5C","Rab5c",11,"babelgene","Shorer2025_NR",TRUE
"RAB6A","Rab6a",11,"babelgene","Shorer2025_NR",TRUE
"RAB8A","Rab8a",11,"babelgene","Shorer2025_NR",TRUE
"RABGGTB","Rabggtb",11,"babelgene","Shorer2025_NR",TRUE
"RAC1","Rac1",11,"babelgene","Shorer2025_NR",TRUE
"RAP1A","Rap1a",12,"babelgene","Shorer2025_NR",TRUE
"RAP1B","Rap1b",11,"babelgene","Shorer2025_NR",TRUE
"RASA1","Rasa1",11,"babelgene","Shorer2025_NR",TRUE
"RBCK1","Rbck1",12,"babelgene","Shorer2025_NR",TRUE
"RBL2","Rbl2",11,"babelgene","Shorer2025_NR",TRUE
"RBM39","Rbm39",11,"babelgene","Shorer2025_NR",TRUE
"RBM4","Rbm4",8,"babelgene","Shorer2025_NR",TRUE
"RBMX","Rbmx",10,"babelgene","Shorer2025_NR",TRUE
"RGS14","Rgs14",11,"babelgene","Shorer2025_NR",TRUE
"RILPL2","Rilpl2",12,"babelgene","Shorer2025_NR",TRUE
"RNASEH2B","Rnaseh2b",12,"babelgene","Shorer2025_NR",TRUE
"RNF10","Rnf10",11,"babelgene","Shorer2025_NR",TRUE
"RNF125","Rnf125",11,"babelgene","Shorer2025_NR",TRUE
"RNF166","Rnf166",11,"babelgene","Shorer2025_NR",TRUE
"RNF7","Rnf7",11,"babelgene","Shorer2025_NR",TRUE
"RNPC3","Rnpc3",12,"babelgene","Shorer2025_NR",TRUE
"RSBN1L","Rsbn1l",11,"babelgene","Shorer2025_NR",TRUE
"RSL1D1","Rsl1d1",11,"babelgene","Shorer2025_NR",TRUE
"RSRP1","Rsrp1",10,"babelgene","Shorer2025_NR",TRUE
"RTN4","Rtn4",12,"babelgene","Shorer2025_NR",TRUE
"RUNX3","Runx3",11,"babelgene","Shorer2025_NR",TRUE
"RWDD1","Rwdd1",12,"babelgene","Shorer2025_NR",TRUE
"SAFB2","Safb2",12,"babelgene","Shorer2025_NR",TRUE
"SAMD3","Samd3",11,"babelgene","Shorer2025_NR",TRUE
"SAMD9L","Samd9l",11,"babelgene","Shorer2025_NR",TRUE
"SAMHD1","Samhd1",12,"babelgene","Shorer2025_NR",TRUE
"SDHB","Sdhb",12,"babelgene","Shorer2025_NR",TRUE
"SDHD","Sdhd",11,"babelgene","Shorer2025_NR",TRUE
"SERBP1","Serbp1",12,"babelgene","Shorer2025_NR",TRUE
"SETX","Setx",12,"babelgene","Shorer2025_NR",TRUE
"SF3A2","Sf3a2",10,"babelgene","Shorer2025_NR",TRUE
"SF3B5","Sf3b5",12,"babelgene","Shorer2025_NR",TRUE
"SH3BP2","Sh3bp2",12,"babelgene","Shorer2025_NR",TRUE
"SKA2","Ska2",12,"babelgene","Shorer2025_NR",TRUE
"SLC20A1","Slc20a1",12,"babelgene","Shorer2025_NR",TRUE
"SMAD7","Smad7",12,"babelgene","Shorer2025_NR",TRUE
"SMAP1","Smap1",12,"babelgene","Shorer2025_NR",TRUE
"SMCHD1","Smchd1",12,"babelgene","Shorer2025_NR",TRUE
"SNRPA","Snrpa",9,"babelgene","Shorer2025_NR",TRUE
"SNRPD2","Snrpd2",11,"babelgene","Shorer2025_NR",TRUE
"SNX3","Snx3",12,"babelgene","Shorer2025_NR",TRUE
"SOD2","Sod2",12,"babelgene","Shorer2025_NR",TRUE
"SORL1","Sorl1",11,"babelgene","Shorer2025_NR",TRUE
"SP100","Sp100",8,"babelgene","Shorer2025_NR",TRUE
"SPN","Spn",12,"babelgene","Shorer2025_NR",TRUE
"SPSB3","Spsb3",10,"babelgene","Shorer2025_NR",TRUE
"SRA1","Sra1",11,"babelgene","Shorer2025_NR",TRUE
"SRM","Srm",11,"babelgene","Shorer2025_NR",TRUE
"SRP19","Srp19",12,"babelgene","Shorer2025_NR",TRUE
"SRRT","Srrt",11,"babelgene","Shorer2025_NR",TRUE
"SRSF1","Srsf1",9,"babelgene","Shorer2025_NR",TRUE
"SRSF10","Srsf10",11,"babelgene","Shorer2025_NR",TRUE
"SRSF4","Srsf4",9,"babelgene","Shorer2025_NR",TRUE
"ST3GAL1","St3gal1",11,"babelgene","Shorer2025_NR",TRUE
"ST8SIA4","St8sia4",12,"babelgene","Shorer2025_NR",TRUE
"STARD7","Stard7",11,"babelgene","Shorer2025_NR",TRUE
"STIM2","Stim2",12,"babelgene","Shorer2025_NR",TRUE
"STMN1","Stmn1",10,"babelgene","Shorer2025_NR",TRUE
"SUCLG2","Suclg2",12,"babelgene","Shorer2025_NR",TRUE
"SUMO3","Sumo3",11,"babelgene","Shorer2025_NR",TRUE
"SUPT20H","Supt20",10,"babelgene","Shorer2025_NR",TRUE
"SYNE1","Syne1",9,"babelgene","Shorer2025_NR",TRUE
"SYT11","Syt11",11,"babelgene","Shorer2025_NR",TRUE
"SZRD1","Szrd1",12,"babelgene","Shorer2025_NR",TRUE
"TADA3","Tada3",12,"babelgene","Shorer2025_NR",TRUE
"TAF7","Taf7",12,"babelgene","Shorer2025_NR",TRUE
"TAOK3","Taok3",12,"babelgene","Shorer2025_NR",TRUE
"TBC1D1","Tbc1d1",11,"babelgene","Shorer2025_NR",TRUE
"TBC1D5","Tbc1d5",11,"babelgene","Shorer2025_NR",TRUE
"TES","Tes",11,"babelgene","Shorer2025_NR",TRUE
"TIA1","Tia1",12,"babelgene","Shorer2025_NR",TRUE
"TKT","Tkt",12,"babelgene","Shorer2025_NR",TRUE
"TM9SF2","Tm9sf2",12,"babelgene","Shorer2025_NR",TRUE
"TMBIM1","Tmbim1",11,"babelgene","Shorer2025_NR",TRUE
"TMED5","Tmed5",12,"babelgene","Shorer2025_NR",TRUE
"TMEM109","Tmem109",12,"babelgene","Shorer2025_NR",TRUE
"TMEM165","Tmem165",12,"babelgene","Shorer2025_NR",TRUE
"TMEM243","Tmem243",10,"babelgene","Shorer2025_NR",TRUE
"TMEM256","Tmem256",12,"babelgene","Shorer2025_NR",TRUE
