"lineage","module","level","group","median_miR29a","median_ctrl","delta","direction","W","p_value","p_adj_BH"
"CD4","score_Fraietta2018_R","OVERALL","miR29a_vs_EV",0.0081423268099447,0.00028239454267473,0.00785993226726997,"up_in_miR29a",378718077,0,0
"CD4","score_Fraietta2018_R","OVERALL","miR29a_vs_Scr",0.0081423268099447,0.00103144181711828,0.00711088499282642,"up_in_miR29a",399971307,5.20503782861297e-283,5.72554161147426e-282
"CD4","score_Fraietta2018_R","Activated intermediate CD4","miR29a_vs_EV",0.00401155345310172,-0.00341713895441027,0.007428692407512,"up_in_miR29a",35293174,1.27193869985569e-112,5.59653027936504e-112
"CD4","score_Fraietta2018_R","Activated intermediate CD4","miR29a_vs_Scr",0.00401155345310172,-0.00203189623811909,0.00604344969122081,"up_in_miR29a",41421773,2.81052695045822e-83,1.03052654850135e-82
"CD4","score_Fraietta2018_R","Differentiated activated/effector CD4","miR29a_vs_EV",0.0107180313801341,0.0033790169927929,0.00733901438734125,"up_in_miR29a",32871607,4.36443577093178e-114,2.40043967401248e-113
"CD4","score_Fraietta2018_R","Differentiated activated/effector CD4","miR29a_vs_Scr",0.0107180313801341,0.00296317177270675,0.0077548596074274,"up_in_miR29a",37976419,2.2779293034798e-129,1.67048148921852e-128
"CD4","score_Fraietta2018_R","IFNg-associated early activated CD4","miR29a_vs_EV",0.0042798553574073,-0.00248897695928985,0.00676883231669714,"up_in_miR29a",9610030,4.14886260652186e-42,1.01416641492757e-41
"CD4","score_Fraietta2018_R","IFNg-associated early activated CD4","miR29a_vs_Scr",0.0042798553574073,-0.00358867603771094,0.00786853139511824,"up_in_miR29a",8402783,2.48053521923747e-50,7.79596783188919e-50
"CD4","score_Fraietta2018_R","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_EV",0.0566110994560894,0.0409454900238834,0.015665609432206,"up_in_miR29a",1848120,3.9814101156311e-50,1.09488778179855e-49
"CD4","score_Fraietta2018_R","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_Scr",0.0566110994560894,0.0455365246861293,0.0110745747699601,"up_in_miR29a",1765422,1.24742621561812e-27,1.96024119597133e-27
"CD4","score_Fraietta2018_R","Transitional progenitor-like CD4","miR29a_vs_EV",-0.00186941584799194,-0.0112445677251565,0.00937515187716456,"up_in_miR29a",1554037,1.07992857235462e-34,2.37584285918016e-34
"CD4","score_Fraietta2018_R","Transitional progenitor-like CD4","miR29a_vs_Scr",-0.00186941584799194,-0.0115899713140361,0.0097205554660442,"up_in_miR29a",1168651,3.67823728656005e-30,6.74343502536009e-30
"CD4","score_Fraietta2018_R","Early activated CD4","miR29a_vs_EV",0.00696160548252914,-0.00224658935655331,0.00920819483908245,"up_in_miR29a",1142505,1.6441834243326e-29,2.78246425656286e-29
"CD4","score_Fraietta2018_R","Early activated CD4","miR29a_vs_Scr",0.00696160548252914,-0.00116293367607978,0.00812453915860892,"up_in_miR29a",1252178,1.81751158676614e-32,3.63502317353228e-32
"CD4","score_Fraietta2018_R","Treg","miR29a_vs_EV",0.0109670161696478,0.00708815172232222,0.00387886444732558,"up_in_miR29a",141901,0.0174604277015496,0.0192064704717046
