"orig.ident","Phase","n","pct"
"EV_rep1","G1",6150,36.2
"EV_rep1","S",3740,22
"EV_rep1","G2M",7117,41.8
"EV_rep2","G1",4632,26.7
"EV_rep2","S",4337,25
"EV_rep2","G2M",8398,48.4
"Scr_rep1","G1",5190,30.1
"Scr_rep1","S",3858,22.4
"Scr_rep1","G2M",8195,47.5
"Scr_rep2","G1",5284,25.8
"Scr_rep2","S",4942,24.1
"Scr_rep2","G2M",10244,50
"miR29a_rep1","G1",5078,26.7
"miR29a_rep1","S",4838,25.4
"miR29a_rep1","G2M",9119,47.9
"miR29a_rep2","G1",4308,20.7
"miR29a_rep2","S",5415,26
"miR29a_rep2","G2M",11069,53.2
