"module","n_input","n_in_data","missing"
"Exhaustion",7,7,""
"FAO",6,6,""
"FOXO_Cell_Cycle_Restraint",3,3,""
"FOXO_Core",3,3,""
"FOXO_Memory_Quiescence",6,6,""
"FOXO_Stress_Autophagy",11,11,""
"G2M_CellCycle",45,45,""
"Glycolysis",8,8,""
"Mito_Biogenesis",5,5,""
"Mito_Dynamics_QC",9,9,""
"Mito_Stress_ROS",7,7,""
"mTOR_MYC_Anabolic",11,11,""
"OXPHOS_ETC",12,10,"Atp5f1a, Atp5f1b"
"Proliferative_Metabolic",8,8,""
"Stem_Memory",9,9,""
"TCA",9,9,""
"miR29a_targets_top100",100,83,"Col3a1, Col5a3, Hrk, Col9a1, Gpr37, Suv420h2, Gm9726, Enho, Cldn1, Pmp22, Wisp1, Pi15, Lox, Slc19a3, Kdelc1, 3110057O12Rik, Stmn2"
"miR29a_targets_score_lt_neg0.2",611,531,"Col3a1, Col5a3, Hrk, Col9a1, Gpr37, Suv420h2, Gm9726, Enho, Cldn1, Pmp22, Wisp1, Pi15, Lox, Slc19a3, Kdelc1, 3110057O12Rik, Stmn2, Pxdn, Tectb, Lep, Tfec, 4931406P16Rik, Olfr701, P2ry4, Fam57b, Nudt11, 1810013L24Rik, Trim63, Crispld1, Gm20721, Adamts16, Gm17296, Ibsp, Bsnd, Fam136b-ps, Fam167a, Lepre1, Mfap5, Cps1, AF529169, Agtr2, Smek2, Znf512b, Ric8, Hnf4g, G6pc, Serpinh1, 5730508B09Rik, Gpr101, Srcrb4d, Gjd2, AI593442, Gm16515, H2afx, Mtss1l, 1810041L15Rik, Suv420h1, Dcx, Fam134c, Zfp191, AU019823, Arhgap36, Hiatl1, Gpr85, Slc6a2, Mstn, En1, March1, Adcyap1r1, Rsc1a1, 4833424O15Rik, Adamts15, Fam126b, Cspg4, Epb4.1l4b, Setd8, Mmp2, Gpr165, Palm2, Prelp"
