"module","level","group","median_miR29a","median_ctrl","delta","W","p_value","p_adj_BH"
"score_miR29a_targets_top100","Treg","miR29a_vs_Scr",0.00600359764341842,0.0170759134628631,-0.0110723158194447,114738,1.81268691755637e-09,2.09156182794966e-09
"score_miR29a_targets_top100","Transitional activated CD4","miR29a_vs_EV",-0.0117576413272099,0.00967331628015886,-0.0214309576073687,43433,3.36107919532203e-21,4.80154170760291e-21
"score_miR29a_targets_top100","Transitional activated CD4","miR29a_vs_Scr",-0.0117576413272099,0.00820691053358871,-0.0199645518607986,71271,5.34296887455368e-24,8.01445331183052e-24
"score_miR29a_targets_top100","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_EV",0.00802542763498865,0.0242488241175638,-0.0162233964825751,21665,0.000156343064388046,0.00016751042613005
"score_miR29a_targets_top100","CX3CR1+KLRG1+ differentiated effector CD4","miR29a_vs_Scr",0.00802542763498865,0.0256543526223043,-0.0176289249873157,13860,0.000164578682247343,0.00017025380922139
"score_miR29a_targets_top100","Intermediate activated CD4","miR29a_vs_EV",0.00340031097444556,0.0393653018273874,-0.0359649908529419,8072,4.92670634010944e-08,5.47411815567715e-08
"score_miR29a_targets_top100","Intermediate activated CD4","miR29a_vs_Scr",0.00340031097444556,0.0203972398660921,-0.0169969288916466,8201,0.0162676695295317,0.0162676695295317
"score_miR29a_targets_top100","NK-like / innate-like (review)","miR29a_vs_EV",-0.0251579312160575,7.95722287152967e-06,-0.025165888438929,3372,1.40476685408274e-13,1.75595856760342e-13
"score_miR29a_targets_top100","NK-like / innate-like (review)","miR29a_vs_Scr",-0.0251579312160575,0.00318824918881197,-0.0283461804048694,3941,5.51047017166172e-16,7.18756978912398e-16
"score_miR29a_targets_score_lt_neg0.2","OVERALL","miR29a_vs_EV",0.0167198637850845,0.0243853531124196,-0.0076654893273351,406832995,0,0
"score_miR29a_targets_score_lt_neg0.2","OVERALL","miR29a_vs_Scr",0.0167198637850845,0.023126880406835,-0.00640701662175054,457914617,0,0
"score_miR29a_targets_score_lt_neg0.2","Activated intermediate CD4","miR29a_vs_EV",0.0150056290357988,0.0217736226049958,-0.00676799356919704,21615329,6.51817963290019e-162,3.25908981645009e-161
"score_miR29a_targets_score_lt_neg0.2","Activated intermediate CD4","miR29a_vs_Scr",0.0150056290357988,0.0210663666615915,-0.00606073762579268,27012363,1.94950778278665e-152,7.31065418544993e-152
"score_miR29a_targets_score_lt_neg0.2","Differentiated activated/effector CD4","miR29a_vs_EV",0.0170640512514948,0.0249324955319128,-0.00786844428041802,19603419,2.55729117996477e-181,1.53437470797886e-180
"score_miR29a_targets_score_lt_neg0.2","Differentiated activated/effector CD4","miR29a_vs_Scr",0.0170640512514948,0.0233216152391167,-0.00625756398762199,24116060,1.2421202046843e-130,4.14040068228098e-130
"score_miR29a_targets_score_lt_neg0.2","Proliferative CD8 effector","miR29a_vs_EV",0.0114053040815742,0.0223755990510267,-0.0109702949694525,6446821,5.9554428044317e-246,5.9554428044317e-245
"score_miR29a_targets_score_lt_neg0.2","Proliferative CD8 effector","miR29a_vs_Scr",0.0114053040815742,0.0206515034443172,-0.00924619936274293,9411389,2.71935560995358e-206,2.03951670746518e-205
"score_miR29a_targets_score_lt_neg0.2","IFNg-associated early activated CD4","miR29a_vs_EV",0.0141619488117903,0.0233178251136382,-0.00915587630184794,5374475,1.31480427347204e-157,5.63487545773733e-157
"score_miR29a_targets_score_lt_neg0.2","IFNg-associated early activated CD4","miR29a_vs_Scr",0.0141619488117903,0.0220163587327219,-0.00785440992093159,4955087,8.17058923181347e-107,2.45117676954404e-106
"score_miR29a_targets_score_lt_neg0.2","Non-cycling exhaustion-like CD8","miR29a_vs_EV",0.0217123407561386,0.0313112192861765,-0.00959887853003792,889015,7.43277469814976e-61,2.02712037222266e-60
"score_miR29a_targets_score_lt_neg0.2","Non-cycling exhaustion-like CD8","miR29a_vs_Scr",0.0217123407561386,0.0287747410994153,-0.00706240034327672,1151967,3.5697884578038e-34,6.69335335838213e-34
"score_miR29a_targets_score_lt_neg0.2","CD4 TCF1hi naive/stem-like progenitor","miR29a_vs_EV",0.0389801980136356,0.0416659349133117,-0.00268573689967602,1296962,4.37223443499949e-06,5.24668132199938e-06
