"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",2647
"EV-rep2","EV","rep2",3871
"miR29a-rep1","miR29a","rep1",3425
"miR29a-rep2","miR29a","rep2",4863
"Scr-rep1","Scr","rep1",3147
"Scr-rep2","Scr","rep2",4348
