"","Treg","Th1","Naive_mem","Proliferation","ISR_stress","AP1_early","IFN_ISG","Th2_helper"
"0",0.0853,-0.0086,-0.0744,0.6947,-0.0201,-0.0075,-0.0016,-0.0155
"1",0.1138,0.0042,0.015,-0.6952,0.0119,-0.0216,0.0056,-0.016
"2",0.1,0.0039,0.0027,0.6134,-0.0352,-0.022,-0.0099,-0.0275
"3",0.0462,-0.0055,-0.0946,-0.0373,0.0064,-0.0278,-0.0296,-0.0212
"4",0.0752,-0.0086,-0.0364,-0.4249,-0.0143,-0.0141,0.0067,-0.0041
"5",0.2667,-0.0164,0.3022,-0.9395,-0.0248,-0.0227,0.0637,-0.007
"6",0.1462,0.0682,-0.1175,-0.0503,0.0192,0.2738,-0.0794,0.0251
"7",0.0448,-0.0087,-0.0899,0.5153,-0.0152,-0.024,-0.0021,-0.0175
"8",0.0921,-7e-04,-0.0479,0.3955,0.3051,-0.0149,0.1642,1e-04
"9",0.344,0.0645,-0.0662,0.0368,-0.0147,-0.0287,-0.0504,0.2649
"10",0.2537,0.0345,-0.0713,-0.7573,-0.0078,-0.0235,-0.0207,0.234
"11",-0.0781,-0.0255,-0.0572,-0.0335,0.0571,0.2505,0.1511,-0.0091
"12",0.1929,-0.0311,-0.0734,0.2385,-0.0388,-0.0033,-0.0619,-0.002
"13",1.2904,-0.0253,0.1655,-0.8316,-0.0412,0.0055,-0.0341,0.0448
