"cluster_a","cluster_b","correlation","n_DE_genes"
"0","2",0.978,1906
"2","8",0.977,1115
"0","7",0.972,499
"0","8",0.971,1226
"1","4",0.97,1391
"3","8",0.967,1526
"2","3",0.965,2120
"4","7",0.959,965
"0","3",0.956,1584
"1","10",0.955,1364
"1","3",0.949,729
"2","7",0.942,2581
"3","7",0.941,1496
"7","8",0.941,1686
"3","6",0.941,1929
"3","4",0.937,2171
"0","9",0.936,1865
"3","9",0.935,2106
"4","10",0.934,1997
"8","9",0.932,1713
"1","5",0.932,3598
"7","9",0.931,1867
"0","6",0.931,2131
"6","9",0.93,2021
"6","7",0.929,1933
"2","9",0.929,2181
"6","8",0.929,2320
"4","6",0.925,2177
"1","7",0.92,995
"0","4",0.919,1576
"2","6",0.919,3363
"4","9",0.917,2587
"5","13",0.916,682
"4","8",0.915,2118
"1","6",0.913,1834
"3","12",0.909,6015
"9","10",0.907,1540
"5","10",0.907,2699
"2","12",0.906,5707
"8","12",0.905,5720
"3","10",0.903,2332
"4","5",0.903,3474
"6","10",0.902,2101
"1","9",0.902,2160
