"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",72
"EV-rep2","EV","rep2",45
"miR29a-rep1","miR29a","rep1",59
"miR29a-rep2","miR29a","rep2",67
"Scr-rep1","Scr","rep1",83
"Scr-rep2","Scr","rep2",61
