"coarse_annot","condition","replicate","set","mean_score","n_cells"
"Effector 1","Scr","rep2","GO: AUTOPHAGY",0.0904978201884808,3639
"Effector 1","Scr","rep2","GO: MITOCHONDRIAL BIOGENESIS",0.122833969299711,3639
"Effector 1","Scr","rep2","GO: MITOPHAGY",0.118956976150337,3639
"Effector 1","Scr","rep2","GO: RIBOSOME BIOGENESIS",0.2582540429082,3639
"Effector 1","Scr","rep2","H: APOPTOSIS",0.0973143758919482,3639
"Effector 1","Scr","rep2","H: FATTY ACID METABOLISM",0.105928324943093,3639
"Effector 1","Scr","rep2","H: GLYCOLYSIS",0.111119350191301,3639
"Effector 1","Scr","rep2","H: HYPOXIA",0.0897422641485686,3639
"Effector 1","Scr","rep2","H: IL2 STAT5 SIGNALING",0.0836203565956073,3639
"Effector 1","Scr","rep2","H: MTORC1 SIGNALING",0.234690583504937,3639
"Effector 1","Scr","rep2","H: MYC TARGETS V1",0.503221052864491,3639
"Effector 1","Scr","rep2","H: MYC TARGETS V2",0.211121265211413,3639
"Effector 1","Scr","rep2","H: OXIDATIVE PHOSPHORYLATION",0.311634839272075,3639
"Effector 1","Scr","rep2","H: REACTIVE OXYGEN SPECIES PATHWAY",0.149776926076228,3639
"Effector 1","Scr","rep2","H: TNFA SIGNALING VIA NFKB",0.0409861640974139,3639
"Effector 1","Scr","rep2","H: UNFOLDED PROTEIN RESPONSE",0.205210299136681,3639
"Effector 1","Scr","rep2","Module1 MetabolicStress Hypoxia",0.119836064317054,3639
"Effector 1","Scr","rep2","Module2 MetabolicResilience OxFitness",0.0305861499951667,3639
"Effector 1","Scr","rep2","Module3A MitoOrganization",0.170403905159805,3639
"Effector 1","Scr","rep2","Module3B Mitophagy Damage",0.129634251731126,3639
"Effector 1","Scr","rep2","Module3 MitoQualityControl",0.158479934040447,3639
"Effector 1","Scr","rep2","Module4 Activation Anabolic",0.337572102397162,3639
"Effector 1","miR29a","rep1","GO: AUTOPHAGY",0.0913747336520032,3380
"Effector 1","miR29a","rep1","GO: MITOCHONDRIAL BIOGENESIS",0.115535518656155,3380
"Effector 1","miR29a","rep1","GO: MITOPHAGY",0.118268529953254,3380
"Effector 1","miR29a","rep1","GO: RIBOSOME BIOGENESIS",0.260446191553316,3380
"Effector 1","miR29a","rep1","H: APOPTOSIS",0.0896702106302338,3380
"Effector 1","miR29a","rep1","H: FATTY ACID METABOLISM",0.100328993235281,3380
"Effector 1","miR29a","rep1","H: GLYCOLYSIS",0.10741748295643,3380
"Effector 1","miR29a","rep1","H: HYPOXIA",0.0882805584932815,3380
"Effector 1","miR29a","rep1","H: IL2 STAT5 SIGNALING",0.0816533015435321,3380
"Effector 1","miR29a","rep1","H: MTORC1 SIGNALING",0.23915291357478,3380
"Effector 1","miR29a","rep1","H: MYC TARGETS V1",0.513911558088051,3380
"Effector 1","miR29a","rep1","H: MYC TARGETS V2",0.212616592339538,3380
"Effector 1","miR29a","rep1","H: OXIDATIVE PHOSPHORYLATION",0.288459104538576,3380
"Effector 1","miR29a","rep1","H: REACTIVE OXYGEN SPECIES PATHWAY",0.140957617151327,3380
"Effector 1","miR29a","rep1","H: TNFA SIGNALING VIA NFKB",0.0380510525220309,3380
"Effector 1","miR29a","rep1","H: UNFOLDED PROTEIN RESPONSE",0.206695749799268,3380
"Effector 1","miR29a","rep1","Module1 MetabolicStress Hypoxia",0.11665277098257,3380
"Effector 1","miR29a","rep1","Module2 MetabolicResilience OxFitness",0.0222678061261424,3380
"Effector 1","miR29a","rep1","Module3A MitoOrganization",0.178555794164418,3380
"Effector 1","miR29a","rep1","Module3B Mitophagy Damage",0.115815146017575,3380
"Effector 1","miR29a","rep1","Module3 MitoQualityControl",0.157953433231888,3380
"Effector 1","miR29a","rep1","Module4 Activation Anabolic",0.334029382810049,3380
"Effector 1","miR29a","rep2","GO: AUTOPHAGY",0.0890252992848094,2300
"Effector 1","miR29a","rep2","GO: MITOCHONDRIAL BIOGENESIS",0.123894074469147,2300
"Effector 1","miR29a","rep2","GO: MITOPHAGY",0.118402187238307,2300
"Effector 1","miR29a","rep2","GO: RIBOSOME BIOGENESIS",0.26153778194177,2300
"Effector 1","miR29a","rep2","H: APOPTOSIS",0.0934283257075552,2300
"Effector 1","miR29a","rep2","H: FATTY ACID METABOLISM",0.105590039458067,2300
"Effector 1","miR29a","rep2","H: GLYCOLYSIS",0.111939058905662,2300
"Effector 1","miR29a","rep2","H: HYPOXIA",0.0884650668940339,2300
