"coarse_annot","set","n_miR29a","n_EV","median_miR29a","median_EV","delta_mean","rank_biserial","p_value","p_adj_BH"
"Effector 2","H: REACTIVE OXYGEN SPECIES PATHWAY",153,186,0.13950582131106,0.15201320340842,-0.011708861664356,-0.26,3.69004864561079e-05,9.36704656193508e-05
"Effector 2","H: IL2 STAT5 SIGNALING",153,186,0.103961914837345,0.1153391959799,-0.01130847221337,-0.259,4.15313417327522e-05,9.78953055129158e-05
"Effector 2","Module4 Activation Anabolic",153,186,0.307212867554662,0.326086956521739,-0.00976681181516054,-0.08,0.206632294992214,0.252550582768262
"Effector 2","Module3 MitoQualityControl",153,186,0.142677583854054,0.15546218487395,-0.00844411640507434,-0.148,0.0187833369977886,0.0302365912647328
"Effector 2","H: UNFOLDED PROTEIN RESPONSE",153,186,0.213190987388356,0.210457098092085,0.0062511178981621,0.129,0.0407783583427027,0.0640802773956756
"Effector 2","Module3A MitoOrganization",153,186,0.176193600679301,0.174640086456444,0.00553229097703067,0.062,0.326255607252964,0.384515537119565
"Effector 2","Module2 MetabolicResilience OxFitness",153,186,0.0269817328640858,0.0330328712681653,-0.00500718117391605,-0.156,0.0134571061811976,0.022895963754725
"Effector 2","GO: MITOCHONDRIAL BIOGENESIS",153,186,0.11609985716748,0.121379583100067,-0.00484058131873581,-0.26,3.88217502328921e-05,9.4897611680403e-05
"Effector 2","H: FATTY ACID METABOLISM",153,186,0.100924412378107,0.103531368017586,-0.00465085827799731,-0.156,0.013529433127792,0.022895963754725
"Effector 2","H: HYPOXIA",153,186,0.0993590418531193,0.104795998947091,-0.00408798405452748,-0.15,0.0177151324565098,0.0292299685532412
"Effector 2","GO: AUTOPHAGY",153,186,0.0955625669007393,0.0992006869542696,-0.0029334847063337,-0.178,0.00471496355484872,0.00915257631235339
"Effector 2","H: GLYCOLYSIS",153,186,0.106430639642011,0.106927480916031,-0.00184927572571029,-0.056,0.371777940567126,0.414811007118842
"Effector 2","H: MTORC1 SIGNALING",153,186,0.245391001810327,0.247137797059987,-0.00168442472244243,-0.024,0.70123591100516,0.734628097243501
"Effector 2","GO: MITOPHAGY",153,186,0.124210641022148,0.125170948320484,-0.00168308564219173,-0.061,0.336511648507264,0.389645066692621
