"coarse_annot","condition","set","mean_score"
"Effector 1","EV","GO_AUTOPHAGY_UCell",0.0926522633939815
"Effector 1","EV","GO_MITOCHONDRIAL_BIOGENESIS_UCell",0.122057383683519
"Effector 1","EV","GO_MITOPHAGY_UCell",0.120474765543472
"Effector 1","EV","GO_RIBOSOME_BIOGENESIS_UCell",0.259003945159628
"Effector 1","EV","HALLMARK_APOPTOSIS_UCell",0.0996402597164849
"Effector 1","EV","HALLMARK_FATTY_ACID_METABOLISM_UCell",0.106210145406512
"Effector 1","EV","HALLMARK_GLYCOLYSIS_UCell",0.111066720508021
"Effector 1","EV","HALLMARK_HYPOXIA_UCell",0.0930962270731485
"Effector 1","EV","HALLMARK_IL2_STAT5_SIGNALING_UCell",0.0891924637176133
"Effector 1","EV","HALLMARK_MTORC1_SIGNALING_UCell",0.246055845451576
"Effector 1","EV","HALLMARK_MYC_TARGETS_V1_UCell",0.509280065987181
"Effector 1","EV","HALLMARK_MYC_TARGETS_V2_UCell",0.209953614310793
"Effector 1","EV","HALLMARK_OXIDATIVE_PHOSPHORYLATION_UCell",0.306427236480474
"Effector 1","EV","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_UCell",0.147463847204237
"Effector 1","EV","HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell",0.0465497108010807
"Effector 1","EV","HALLMARK_UNFOLDED_PROTEIN_RESPONSE_UCell",0.214367230189467
"Effector 1","EV","Module1_MetabolicStress_Hypoxia_UCell",0.136654145495909
"Effector 1","EV","Module2_MetabolicResilience_OxFitness_UCell",0.0290022848229283
"Effector 1","EV","Module3A_MitoOrganization_UCell",0.176604999681223
"Effector 1","EV","Module3B_Mitophagy_Damage_UCell",0.133596422916505
"Effector 1","EV","Module3_MitoQualityControl_UCell",0.164771389616652
"Effector 1","EV","Module4_Activation_Anabolic_UCell",0.354379091349636
"Effector 1","Scr","GO_AUTOPHAGY_UCell",0.0920582723351923
"Effector 1","Scr","GO_MITOCHONDRIAL_BIOGENESIS_UCell",0.121139227646229
"Effector 1","Scr","GO_MITOPHAGY_UCell",0.118972281443355
"Effector 1","Scr","GO_RIBOSOME_BIOGENESIS_UCell",0.260047506573898
"Effector 1","Scr","HALLMARK_APOPTOSIS_UCell",0.0976215886316638
"Effector 1","Scr","HALLMARK_FATTY_ACID_METABOLISM_UCell",0.104801130909907
"Effector 1","Scr","HALLMARK_GLYCOLYSIS_UCell",0.109629785561835
"Effector 1","Scr","HALLMARK_HYPOXIA_UCell",0.0907836297121447
"Effector 1","Scr","HALLMARK_IL2_STAT5_SIGNALING_UCell",0.0851735937769111
"Effector 1","Scr","HALLMARK_MTORC1_SIGNALING_UCell",0.239565522268797
"Effector 1","Scr","HALLMARK_MYC_TARGETS_V1_UCell",0.505998224262691
"Effector 1","Scr","HALLMARK_MYC_TARGETS_V2_UCell",0.211697865526193
"Effector 1","Scr","HALLMARK_OXIDATIVE_PHOSPHORYLATION_UCell",0.303694564349266
"Effector 1","Scr","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_UCell",0.146277452023737
"Effector 1","Scr","HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell",0.04334653673929
"Effector 1","Scr","HALLMARK_UNFOLDED_PROTEIN_RESPONSE_UCell",0.209953727365839
"Effector 1","Scr","Module1_MetabolicStress_Hypoxia_UCell",0.127966926860762
"Effector 1","Scr","Module2_MetabolicResilience_OxFitness_UCell",0.0279886594812565
"Effector 1","Scr","Module3A_MitoOrganization_UCell",0.177463868891007
"Effector 1","Scr","Module3B_Mitophagy_Damage_UCell",0.12803312824079
"Effector 1","Scr","Module3_MitoQualityControl_UCell",0.162481935831276
"Effector 1","Scr","Module4_Activation_Anabolic_UCell",0.348695597775769
"Effector 1","miR29a","GO_AUTOPHAGY_UCell",0.0904233781864142
"Effector 1","miR29a","GO_MITOCHONDRIAL_BIOGENESIS_UCell",0.118920145129726
"Effector 1","miR29a","GO_MITOPHAGY_UCell",0.118322651741215
"Effector 1","miR29a","GO_RIBOSOME_BIOGENESIS_UCell",0.260888208788077
"Effector 1","miR29a","HALLMARK_APOPTOSIS_UCell",0.0911919825805576
"Effector 1","miR29a","HALLMARK_FATTY_ACID_METABOLISM_UCell",0.102459346459297
"Effector 1","miR29a","HALLMARK_GLYCOLYSIS_UCell",0.109248402795028
"Effector 1","miR29a","HALLMARK_HYPOXIA_UCell",0.0883552714020369
"Effector 1","miR29a","HALLMARK_IL2_STAT5_SIGNALING_UCell",0.0818688454783182
"Effector 1","miR29a","HALLMARK_MTORC1_SIGNALING_UCell",0.23813540545498
"Effector 1","miR29a","HALLMARK_MYC_TARGETS_V1_UCell",0.513330305682204
"Effector 1","miR29a","HALLMARK_MYC_TARGETS_V2_UCell",0.2144111815192
"Effector 1","miR29a","HALLMARK_OXIDATIVE_PHOSPHORYLATION_UCell",0.300321249967406
"Effector 1","miR29a","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_UCell",0.145341352563623
"Effector 1","miR29a","HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell",0.0373789900205252
"Effector 1","miR29a","HALLMARK_UNFOLDED_PROTEIN_RESPONSE_UCell",0.20598484099593
"Effector 1","miR29a","Module1_MetabolicStress_Hypoxia_UCell",0.115347995550584
"Effector 1","miR29a","Module2_MetabolicResilience_OxFitness_UCell",0.0258933903403663
"Effector 1","miR29a","Module3A_MitoOrganization_UCell",0.175506553544122
"Effector 1","miR29a","Module3B_Mitophagy_Damage_UCell",0.118677224163696
"Effector 1","miR29a","Module3_MitoQualityControl_UCell",0.157192960848719
"Effector 1","miR29a","Module4_Activation_Anabolic_UCell",0.331558410528514
"Effector 2","EV","GO_AUTOPHAGY_UCell",0.0991198615485922
"Effector 2","EV","GO_MITOCHONDRIAL_BIOGENESIS_UCell",0.121162878279646
"Effector 2","EV","GO_MITOPHAGY_UCell",0.125540585707628
"Effector 2","EV","GO_RIBOSOME_BIOGENESIS_UCell",0.250735881232216
"Effector 2","EV","HALLMARK_APOPTOSIS_UCell",0.107196882168575
"Effector 2","EV","HALLMARK_FATTY_ACID_METABOLISM_UCell",0.104232982551914
"Effector 2","EV","HALLMARK_GLYCOLYSIS_UCell",0.106458151126358
"Effector 2","EV","HALLMARK_HYPOXIA_UCell",0.10500053069993
"Effector 2","EV","HALLMARK_IL2_STAT5_SIGNALING_UCell",0.117323523389443
"Effector 2","EV","HALLMARK_MTORC1_SIGNALING_UCell",0.243441955769517
"Effector 2","EV","HALLMARK_MYC_TARGETS_V1_UCell",0.466215321609464
"Effector 2","EV","HALLMARK_MYC_TARGETS_V2_UCell",0.190333066230797
"Effector 2","EV","HALLMARK_OXIDATIVE_PHOSPHORYLATION_UCell",0.302132905614661
"Effector 2","EV","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_UCell",0.153186826482838
"Effector 2","EV","HALLMARK_TNFA_SIGNALING_VIA_NFKB_UCell",0.0747599699118115
"Effector 2","EV","HALLMARK_UNFOLDED_PROTEIN_RESPONSE_UCell",0.208964932981249
"Effector 2","EV","Module1_MetabolicStress_Hypoxia_UCell",0.150762673390137
"Effector 2","EV","Module2_MetabolicResilience_OxFitness_UCell",0.0339245522673733
"Effector 2","EV","Module3A_MitoOrganization_UCell",0.171404610097293
"Effector 2","EV","Module3B_Mitophagy_Damage_UCell",0.111737078658414
"Effector 2","EV","Module3_MitoQualityControl_UCell",0.153341972760063
"Effector 2","EV","Module4_Activation_Anabolic_UCell",0.321442816723281
"Effector 2","Scr","GO_AUTOPHAGY_UCell",0.0969510442327426
"Effector 2","Scr","GO_MITOCHONDRIAL_BIOGENESIS_UCell",0.120704948951912
"Effector 2","Scr","GO_MITOPHAGY_UCell",0.122740198232537
