"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",1484
"EV-rep2","EV","rep2",528
"miR29a-rep1","miR29a","rep1",847
"miR29a-rep2","miR29a","rep2",482
"Scr-rep1","Scr","rep1",1339
"Scr-rep2","Scr","rep2",947
