"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Database","gene_set"
"mmu-miR-297a","74/1955",0.317297122124622,0.999565600239112,0,0,1.06815424132117,1.22615203872448,"CCDC71L;DOCK4;SLC35B4;BCCIP;TMEM97;FGF2;UNC80;ALCAM;SERP1;LAMP2;SH3BGRL2;EMB;JAK2;SYNPO;GOLGA7;CCDC50;SSR3;DNMT3A;FNDC3B;SLC39A10;PSMA5;GPRIN3;ADAM19;ZEB2;ARL4A;MAF;SCO1;SETBP1;CD8A;WDFY1;ERH;PFDN4;CREB5;PTGER4;FYTTD1;NRN1;TM2D2;EI24;PTGER2;PTGER3;AK2;SELENOF;CXCR6;HSPA13;FSTL4;STX11;FUT4;TM9SF3;ZFP36L1;CHST11;FAM241A;MXI1;SLAMF7;ZSWIM6;MGAT2;NCAM2;GBP2;NTNG2;NDFIP2;EGLN3;FZD5;GOT1;TNFRSF9;CRIM1;FBXO33;ACADSB;TJP1;ERP44;FAM135B;UFM1;CDK6;TG;NR4A3;PIK3AP1","TargetScan_microRNA_2017","DOWN"
"mmu-miR-297b-5p","74/1955",0.317297122124622,0.999565600239112,0,0,1.06815424132117,1.22615203872448,"CCDC71L;DOCK4;SLC35B4;BCCIP;TMEM97;FGF2;UNC80;ALCAM;SERP1;LAMP2;SH3BGRL2;EMB;JAK2;SYNPO;GOLGA7;CCDC50;SSR3;DNMT3A;FNDC3B;SLC39A10;PSMA5;GPRIN3;ADAM19;ZEB2;ARL4A;MAF;SCO1;SETBP1;CD8A;WDFY1;ERH;PFDN4;CREB5;PTGER4;FYTTD1;NRN1;TM2D2;EI24;PTGER2;PTGER3;AK2;SELENOF;CXCR6;HSPA13;FSTL4;STX11;FUT4;TM9SF3;ZFP36L1;CHST11;FAM241A;MXI1;SLAMF7;ZSWIM6;MGAT2;NCAM2;GBP2;NTNG2;NDFIP2;EGLN3;FZD5;GOT1;TNFRSF9;CRIM1;FBXO33;ACADSB;TJP1;ERP44;FAM135B;UFM1;CDK6;TG;NR4A3;PIK3AP1","TargetScan_microRNA_2017","DOWN"
"mmu-miR-297c","74/1955",0.317297122124622,0.999565600239112,0,0,1.06815424132117,1.22615203872448,"CCDC71L;DOCK4;SLC35B4;BCCIP;TMEM97;FGF2;UNC80;ALCAM;SERP1;LAMP2;SH3BGRL2;EMB;JAK2;SYNPO;GOLGA7;CCDC50;SSR3;DNMT3A;FNDC3B;SLC39A10;PSMA5;GPRIN3;ADAM19;ZEB2;ARL4A;MAF;SCO1;SETBP1;CD8A;WDFY1;ERH;PFDN4;CREB5;PTGER4;FYTTD1;NRN1;TM2D2;EI24;PTGER2;PTGER3;AK2;SELENOF;CXCR6;HSPA13;FSTL4;STX11;FUT4;TM9SF3;ZFP36L1;CHST11;FAM241A;MXI1;SLAMF7;ZSWIM6;MGAT2;NCAM2;GBP2;NTNG2;NDFIP2;EGLN3;FZD5;GOT1;TNFRSF9;CRIM1;FBXO33;ACADSB;TJP1;ERP44;FAM135B;UFM1;CDK6;TG;NR4A3;PIK3AP1","TargetScan_microRNA_2017","DOWN"
"hsa-miR-2964a-5p","65/1825",0.532562320458944,0.999565600239112,0,0,0.995738636363636,0.627370459544101,"CSRNP1;DHRS13;SPIN4;CD80;GDE1;NDST1;CNGA1;ARL6IP5;SLC39A7;CHAC1;SYNPO;CCR5;ADAMTS6;CCDC50;ACVR1;NANOS1;GABARAPL1;ENTPD1;JAGN1;STX7;DNMT3A;NAV1;TEX15;FRMD4B;PIGC;TMEM37;RNF128;SETBP1;AHRR;PIGM;KDELR2;SGK1;PPIB;UBA52;ATP6V0C;OPTN;FYTTD1;AGPAT5;LUZP1;PTGER3;AK4;CACNA1E;FSTL4;STX11;APH1A;CHST11;TDG;SH3BP2;STXBP6;PEX19;TNFRSF9;CRIM1;USB1;ACADSB;FOSL2;CDK6;NR4A3;TNFSF4;VMA21;GOLGB1;IL2RB;BHLHE40;MYO1H;F2RL2;TMEM229B","TargetScan_microRNA_2017","DOWN"
"mmu-miR-290-3p","61/1739",0.58281117637693,0.999565600239112,0,0,0.978690774294431,0.528387346731159,"CDKN1A;DOCK4;SLC35B4;ITGB5;MYT1L;SPIN4;CD81;ITGB3;FBXO28;MRPL32;ALCAM;SERP1;LAMP2;TAGAP;TMED2;ITGAV;PIM2;ACVR1;NANOS1;PDCD1LG2;MPEG1;TMEM37;MAF;TRAF4;SETBP1;TMEM33;RPL7L1;IRF1;ASF1A;CHST2;CREB5;CD274;LUZP1;DCUN1D3;AK2;FURIN;HSPA13;LAGE3;RASGRP4;TM9SF3;PLAC8;PRDX3;CHST11;STX6;SSR1;ARNT2;EGR2;EGR3;PEX19;STAT3;ERAP1;KTI12;FBXO33;EHD3;UFM1;CDK6;GPR183;IL2RB;HBP1;F2RL2;ITM2C","TargetScan_microRNA_2017","DOWN"
"mmu-miR-292-3p","61/1739",0.58281117637693,0.999565600239112,0,0,0.978690774294431,0.528387346731159,"CDKN1A;DOCK4;SLC35B4;ITGB5;MYT1L;SPIN4;CD81;ITGB3;FBXO28;MRPL32;ALCAM;SERP1;LAMP2;TAGAP;TMED2;ITGAV;PIM2;ACVR1;NANOS1;PDCD1LG2;MPEG1;TMEM37;MAF;TRAF4;SETBP1;TMEM33;RPL7L1;IRF1;ASF1A;CHST2;CREB5;CD274;LUZP1;DCUN1D3;AK2;FURIN;HSPA13;LAGE3;RASGRP4;TM9SF3;PLAC8;PRDX3;CHST11;STX6;SSR1;ARNT2;EGR2;EGR3;PEX19;STAT3;ERAP1;KTI12;FBXO33;EHD3;UFM1;CDK6;GPR183;IL2RB;HBP1;F2RL2;ITM2C","TargetScan_microRNA_2017","DOWN"
"mmu-miR-293","12/382",0.716623397232918,0.999565600239112,0,0,0.872630810041905,0.290764795743411,"KCNK5;LGALS3;TMEM37;SETBP1;LUZP1;MYT1L;VMA21;RGS16;DOT1L;FHL2;ATP6V0E2;EIF2B1","TargetScan_microRNA_2017","DOWN"
"mmu-miR-299","62/1884",0.775258993953261,0.999565600239112,0,0,0.910015919096696,0.231651941271664,"SLC35B4;SERPINE2;CSF1;ZCCHC18;LRRC32;FGF2;UNC80;NDST1;LAMP2;ITGAV;SYNPO;IFT57;CCDC50;NANOS1;TSPYL1;F2R;DNMT3A;TET2;SLC39A10;FRMD4B;NUDT16L1;ETV6;FAM210B;GPRIN3;ZEB2;BDH1;SETBP1;OPTN;CHST2;KDM7A;CREB5;LUZP1;RRAD;PTGER3;SELENOF;GPR83;UAP1;EFNA5;CACNA1E;FSTL4;RASGRP4;ZFP36L1;FAM241A;MXI1;SLAMF7;MAP6;ZSWIM6;MGAT1;STXBP6;XBP1;GOT1;STAT3;FBXO33;KLF3;NFKB2;CDK6;NR4A3;SELL;HBP1;LAMTOR3;PTPN5;MXD4","TargetScan_microRNA_2017","DOWN"
"mmu-miR-296-5p","57/1760",0.804788099867739,0.999565600239112,0,0,0.894339865104848,0.194229392610691,"CSRNP1;CD82;ITGB3;PEBP1;ZCCHC18;METRNL;IL18BP;TNFSF13B;NDST1;DNMT3B;ARL6IP5;LARGE1;SYNPO;CCR5;KDM6B;TMED9;TSPYL1;TNFRSF18;FBXW9;STX7;NAV1;TIRAP;TRAF4;TMEM33;IRF1;MAPKAPK2;SPNS1;CHMP4B;PIGM;ATP6V0C;CD274;SEMA7A;LUZP1;SAMHD1;CACNA1E;FSTL4;STX11;FUT4;APH1A;FUT7;LMAN2;CHST14;BAK1;SLC19A1;ARNT2;SDF2L1;EGR3;MBOAT2;USB1;FOSL2;CDK6;NR4A3;XPNPEP1;DOLPP1;HBP1;PTPN5;TMEM229B","TargetScan_microRNA_2017","DOWN"
"hsa-miR-296-3p","63/1950",0.82224232286529,0.999565600239112,0,0,0.890882401708818,0.174363620097979,"HIP1;SERPINE2;ITGB3;BCCIP;PLOD2;ICAM1;ABHD13;MYC;DBT;GATAD1;LARGE1;TMED7;ADAMTS6;CCDC50;CCR2;ARRDC4;CD53;KDM6B;GBP5;ENTPD1;BCKDHB;NAV1;MPEG1;GPRIN3;TMEM37;SETBP1;WDFY1;AHRR;NUPR1;ATF5;UBA52;CREB5;TM2D2;FGL2;DOT1L;PTGER3;ISG20L2;AK2;SMIM7;FSTL4;STX11;FUT4;CHST11;SSR1;SLAMF7;GBP4;EGR2;EGR3;PEX19;HSPA5;LIF;MBOAT2;BMP7;SELP;VMA21;OSTC;BCL3;MYO1H;ITM2A;TMEM229B;ITM2C;MXD4;NFKBIB","TargetScan_microRNA_2017","DOWN"
