"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Serpina3g",35.25302792821,-0.00593776358516608,0.0297318836375258,1.61049031016282e-05,0.0768848074071731
"Tex14",140.294294230165,-0.00636704829369219,0.029722370646697,4.88583466483378e-05,0.116624873449582
"Setbp1",46.3816719911877,-0.00502250091683876,0.0297340019356923,0.000159839778273017,0.254358367158462
"Mrpl15",36.8064499691671,-0.000788891233357477,0.0297267632796013,0.594679428209736,0.999972591113313
"Lypla1",30.7723692221685,0.000120290545180289,0.0297302191511942,0.932111225514194,0.999972591113313
"Tcea1",106.828694350004,0.000418650124171109,0.0297071428046009,0.819266055809599,0.999972591113313
"Atp6v1h",46.5081356513898,0.000614379266262765,0.0297216522186737,0.697630596448853,0.999972591113313
"Rb1cc1",72.8728065713065,0.00209077967792007,0.0297141727622848,0.222894177123679,0.999972591113313
"Pcmtd1",33.3569339085133,0.000695504347597841,0.0297299843480026,0.623537232268718,0.999972591113313
"Rrs1",66.8276717120865,0.000487313602103603,0.0297148015733357,0.774954762273833,0.999972591113313
"Mybl1",42.6643141730767,0.000902911493842038,0.0297241658863625,0.556032523502866,0.999972591113313
"Vcpip1",50.8070492569258,-0.000313580193666189,0.0297198451220399,0.846020719960553,0.999972591113313
"Snhg6",95.4578913132533,-0.00185665017144533,0.0297093745466486,0.301238448214139,0.999972591113313
"Cops5",55.4057360886241,-0.000866321402910942,0.0297180640964516,0.598889122892075,0.999972591113313
"Cspp1",72.5415891335217,-0.000557361335059854,0.0297207771777983,0.727183383337735,0.999972591113313
"Arfgef1",89.2192873831909,0.00034806778089861,0.0297112155439331,0.843709060271315,0.999972591113313
"Ncoa2",77.9063589157628,-0.00151621977193035,0.0297135660583169,0.379626490438621,0.999972591113313
"Tram1",85.9716181091867,0.00103826946645191,0.0297132455590238,0.548685401000576,0.999972591113313
"Terf1",61.4897499334054,0.000419189269239048,0.0297167099797101,0.801933753707293,0.999972591113313
"Rpl7",1489.32812478778,0.00158564128427894,0.0296947605265568,0.432813248034305,0.999972591113313
"Ube2w",26.9673855251344,0.00125527428702167,0.0297335347654304,0.34913854636156,0.999972591113313
"Eloc",164.90328491576,0.000983261935263889,0.0297029663833879,0.604468265265975,0.999972591113313
"Mcm3",98.6915047653642,0.0023817019683645,0.0297130494342676,0.16972643207919,0.999972591113313
"Kcnq5",127.190026864207,-0.000496964757782858,0.0297171913172414,0.765007302632357,0.999972591113313
"Smap1",46.7421568114379,-0.000112166600578069,0.029721303039057,0.943683515639219,0.999972591113313
"Phf3",92.3748654456224,0.00100261725725632,0.0297092677181629,0.577041097718382,0.999972591113313
"Prim2",22.8916343352768,0.000140491234821721,0.0297354342957015,0.913813942228331,0.999972591113313
"Zfp451",39.770827178704,0.000367196599221354,0.0297249624825502,0.808884427367937,0.999972591113313
"Ccdc115",33.7182600471859,0.000129159519966946,0.029727721403532,0.929672537393622,0.999972591113313
"Imp4",25.5701391181452,0.00111739018045529,0.0297340742959468,0.400388761118657,0.999972591113313
"Ptpn18",186.546746324227,0.000176263767890642,0.029701530415808,0.926868752563458,0.999972591113313
"Fam168b",44.6020001030861,0.00101313019623175,0.0297245564949222,0.506766529813975,0.999972591113313
"Uggt1",56.7914980862175,0.00170121473703743,0.029718781766209,0.297836994763276,0.999972591113313
"Arid5a",29.2496140658792,-0.00177396141801567,0.0297305604701201,0.206689668957598,0.999972591113313
"Cox5b",168.976303723628,0.00114540423192307,0.0297050526307138,0.539236521763637,0.999972591113313
"Zap70",30.9446942703148,-0.000889798238351368,0.0297296536275922,0.532020377163588,0.999972591113313
"Tmem131",42.6018590052911,0.000178882053980611,0.0297246681029525,0.9065559632218,0.999972591113313
"Mgat4a",21.0581789127061,0.000407980546298687,0.0297371423915159,0.745802391001145,0.999972591113313
"Mitd1",47.1280992945827,-0.00051560219536957,0.0297227948201229,0.740983670474545,0.999972591113313
"Mrpl30",115.266328661733,0.00112993787935813,0.0297097677516311,0.527764169182388,0.999972591113313
"Txndc9",30.0331763077753,-0.000873593843975557,0.0297295436411003,0.540166323456369,0.999972591113313
"Eif5b",158.161189999749,0.000408283619910487,0.0297048316264854,0.827084152654103,0.999972591113313
"Rev1",50.2653524429571,0.00127710791473821,0.0297210693868369,0.422488748042492,0.999972591113313
"Aff3",51.043034435516,-0.000771953424427387,0.0297211929798844,0.627293694523769,0.999972591113313
