"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",75
"EV-rep2","EV","rep2",120
"miR29a-rep1","miR29a","rep1",145
"miR29a-rep2","miR29a","rep2",131
"Scr-rep1","Scr","rep1",52
"Scr-rep2","Scr","rep2",77
