"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",689
"EV-rep2","EV","rep2",734
"miR29a-rep1","miR29a","rep1",1161
"miR29a-rep2","miR29a","rep2",840
"Scr-rep1","Scr","rep1",584
"Scr-rep2","Scr","rep2",866
