miRNA,tau,peak_state,max_norm
mmu-miR-222-3p,1,Tmem,3.3926771628686
mmu-miR-345-5p,1,Tn,3.36299163812937
mmu-miR-669o-5p,1,Tn,6.5371670311033
mmu-miR-326-3p,0.988500103037117,Tmem,8.20947551812265
mmu-miR-677-3p,0.980151166664944,Tex,20.4031815534467
mmu-miR-193a-3p,0.978223884772785,Tmem,4.33539782429749
mmu-miR-365-3p,0.977057530729186,Tex,25.1041810220915
mmu-miR-574-5p,0.969335098510372,Tmem,7.18364020906838
mmu-miR-664-3p,0.954876495773325,Tn,30.1635914269195
mmu-miR-18a-3p,0.947590516883394,Tex,38.8915051865215
mmu-miR-692,0.927148142981109,Tmem,1.72785570500488
mmu-miR-21a-5p,0.919464512715735,Teff,2148.13939876906
mmu-miR-181a-5p,0.918570355854799,Tn,37.2428134421025
mmu-miR-30b-5p,0.916397687823298,Tn,32.2213325581492
mmu-miR-362-3p,0.902525673871649,Teff,6.94743699296156
mmu-miR-210-3p,0.900359093425169,Tmem,400.335111597498
mmu-miR-98-5p,0.882345179344624,Tmem,8.91149591407327
mmu-miR-425-5p,0.878663895082137,Tmem,16.556456253614
mmu-miR-677-5p,0.875019885736129,Tex,11.2266642172317
mmu-miR-101c,0.871627469633814,Tn,16.5622784116757
mmu-miR-150-5p,0.859687119522384,Tn,448.564110410741
mmu-miR-3473a,0.852370894982269,Tn,23.5587918542398
mmu-miR-17-3p,0.851196623458824,Tex,11.8724662440581
mmu-miR-106a-5p,0.841912806648263,Tmem,24.849046419362
mmu-miR-31-5p,0.839754244978795,Tmem,26.4937874767415
mmu-miR-5114,0.834683292126116,Tmem,13.4761572807627
mmu-miR-29c-3p,0.82992146110638,Tex,82.9494265876546
mmu-miR-378b,0.823451142089285,Tn,29.9019864542812
mmu-miR-155-5p,0.821005955365001,Tex,3984.48639592757
mmu-let-7d-3p,0.820321853794058,Tn,70.5462666654732
mmu-miR-7238-3p,0.818479381370462,Tn,7.00028245032476
mmu-miR-19a-3p,0.802623770690271,Tmem,5.96870215859064
mmu-miR-130b-5p,0.792746626471104,Teff,2.77897479718462
mmu-miR-155-3p,0.790752546084722,Tex,8.5758116296035
mmu-miR-449c-5p,0.78968349442062,Tex,23.3922565426868
mmu-let-7c-5p,0.783822271324811,Tn,150.384993777461
mmu-miR-150-3p,0.775723191272547,Tn,63.9146915117922
mmu-miR-34a-3p,0.774359491130194,Teff,8.33686806233424
mmu-miR-706,0.770484869033843,Tn,56.1234433061772
mmu-miR-107-3p,0.767891184809217,Tmem,2.57602499572203
mmu-miR-301a-3p,0.759121336711942,Tex,13.8549686447524
mmu-miR-20a-3p,0.756570197958169,Tmem,6.65928583145488
mmu-miR-466i-5p,0.756368048757267,Tn,7054.19121844067
mmu-miR-20b-5p,0.726918319939439,Tmem,35.9697985693967
mmu-miR-320-3p,0.72636467483932,Tex,7.93000960277705
mmu-miR-671-5p,0.708796007005366,Tmem,31.5828032210444
mmu-miR-17-5p,0.69391199185208,Tmem,192.313544587467
mmu-let-7b-5p,0.692452017548391,Tn,215.276692933407
mmu-miR-30d-5p,0.687563741931347,Tn,49.6027394842623
mmu-miR-26a-5p,0.682831658358362,Tn,635.662949374329
mmu-miR-3963,0.67727578678893,Teff,8.33686806233424
mmu-miR-21a-3p,0.67303756108922,Teff,13.8948337507662
mmu-miR-3470b,0.667285812185123,Tn,15.4345371266496
mmu-miR-23a-3p,0.66157332698976,Tmem,138.898959672771
mmu-miR-147-3p,0.66091019749497,Teff,234.822453000524
mmu-miR-1198-5p,0.660353123559188,Teff,16.6737441716999
mmu-miR-6236,0.658290881219633,Tex,179.889110780706
mmu-miR-378c,0.654480201760522,Tn,4.49588910906199
mmu-miR-3473b,0.64711076074769,Tex,432.043875463177
mmu-miR-3535,0.645863245367826,Tex,109.412856143721
mmu-miR-34a-5p,0.639982280935574,Teff,309.854160950124
mmu-miR-26b-5p,0.635823474168949,Tn,484.341804913289
mmu-miR-3960,0.630278378668982,Tn,6.16845973445955
mmu-miR-30e-3p,0.628757607356095,Teff,6.2526611055399
mmu-miR-18a-5p,0.628671898841613,Tmem,42.6547508927129
mmu-miR-669p-5p,0.603124398469448,Tn,23.2666422928395
mmu-miR-20a-5p,0.602656744407824,Tmem,172.341537724812
mmu-miR-30e-5p,0.58419957419895,Tn,74.7613132364169
mmu-miR-423-3p,0.580519940939278,Tex,47.8280873778444
mmu-miR-324-5p,0.573824042550889,Teff,6.94739675780468
mmu-miR-744-5p,0.568782458045571,Teff,28.4843146364521
mmu-miR-342-5p,0.561717264929597,Tmem,3.90559481739574
mmu-miR-669l-5p,0.559917450945265,Tn,17.0803321710457
mmu-miR-19b-3p,0.553463614359866,Tmem,41.5831686913131
mmu-miR-106b-3p,0.537749262648457,Teff,8.33687610936562
mmu-miR-378a-3p,0.531703265871787,Tn,82.6751323237568
mmu-miR-130b-3p,0.523629113803443,Tmem,12.9230788252671
mmu-miR-219a-5p,0.521449838125397,Tn,43.2290002954589
mmu-miR-182-5p,0.516372936340819,Teff,66.6951456744583
mmu-miR-29a-3p,0.515028382384246,Tex,527.509834632954
mmu-miR-106b-5p,0.508082630889423,Tmem,46.5145988177631
mmu-miR-8104,0.507523013657852,Tn,7.84103035985711
mmu-miR-16-5p,0.501432366000481,Tn,540.827621750173
mmu-miR-142a-3p,0.492374691157743,Tn,2229.50900677025
mmu-miR-466h-3p,0.489521687202384,Tn,23.0369690871091
mmu-miR-23b-3p,0.484103173238141,Tex,75.4478320269193
mmu-miR-93-5p,0.48294494877052,Tmem,34.4940798529565
mmu-miR-690,0.470535659227669,Teff,72.2526204939764
mmu-miR-5121,0.466850819856531,Tex,180.249881342426
mmu-miR-140-3p,0.45775131168426,Tex,83.5807750706636
mmu-miR-15b-3p,0.452708565400471,Teff,9.72635546092656
mmu-miR-361-5p,0.444769761934236,Tn,15.2814216561626
mmu-miR-33-5p,0.44364659952334,Tmem,62.9477796227833
mmu-miR-27b-3p,0.441429343601892,Tex,70.8595733588118
mmu-let-7i-3p,0.437910075243497,Tmem,107.313363406038
mmu-miR-27a-3p,0.429874144271201,Tmem,125.190745803927
mmu-miR-15a-5p,0.427333509892191,Tmem,109.387907470319
mmu-let-7f-5p,0.427167267334957,Tn,235.897525964456
mmu-miR-1839-5p,0.426071222466533,Teff,9.72634741389518
mmu-miR-652-3p,0.423718265870738,Teff,27.0949077081736
mmu-miR-103-3p,0.403879257581136,Tmem,86.6362785614109
mmu-miR-142a-5p,0.380533760771607,Tn,353.178195135515
mmu-miR-191-5p,0.365648932936234,Teff,109.768868773314
mmu-miR-484,0.361811226102168,Tmem,69.5526748844949
mmu-let-7i-5p,0.355739268531077,Teff,211.200941907576
mmu-let-7d-5p,0.340342990474788,Tmem,324.263713684938
mmu-miR-423-5p,0.336208899717794,Teff,40.9897253648771
mmu-miR-703,0.333588733969216,Teff,15.9789682842782
mmu-miR-25-3p,0.323077590031784,Tex,980.554709806187
mmu-miR-185-5p,0.321280232557804,Tmem,12.5362296650223
mmu-miR-15b-5p,0.319730034577234,Tn,338.479685424007
mmu-miR-24-3p,0.305273935556731,Tmem,5168.59580459559
mmu-miR-30c-5p,0.303502588741823,Tmem,62.9048257761264
mmu-let-7g-5p,0.302779627848961,Teff,234.822090884112
mmu-miR-7a-5p,0.301690908227293,Tmem,22.3045385472106
mmu-miR-92a-3p,0.24545933651366,Tmem,1069.62606058598
mmu-miR-466f-3p,0.222206647914578,Tex,346.804366849614
mmu-let-7a-5p,0.192112287276751,Tn,413.209066893516
mmu-miR-342-3p,0.159553510504981,Teff,72.947629745308
mmu-miR-29b-3p,0.117585366313858,Tex,81.3502429087872
