miRNA,Tn,Teff,Tmem,Tex
mmu-let-7a-5p,8.68466514954723,8.35413652846541,8.37987767679898,8.40282859819011
mmu-let-7b-5p,7.74254527707388,6.06228451016418,6.39847884561398,5.63218508763804
mmu-let-7c-5p,7.24049542329943,4.47687501321399,5.26726879254824,5.19649157653111
mmu-let-7d-3p,5.62339616227858,4.44904562777853,3.83376814228152,1.47088199519087
mmu-let-7d-5p,7.32033601828622,7.67857610959377,8.33775699417805,8.08305555374282
mmu-let-7f-5p,7.87004740835098,7.08473488533967,7.16861493741954,6.96087673884404
mmu-let-7g-5p,7.84016892179622,7.87904594941087,7.16766650431937,6.90468399634568
mmu-let-7i-3p,2.36615457899224,6.23327162878076,6.75648615256631,6.54819814339452
mmu-let-7i-5p,3.0734702486773,7.72618723731766,7.64538085602531,7.4359935605931
mmu-miR-101c,3.98456180108622,0,1.89103910485363,0
mmu-miR-103-3p,5.37155558452987,6.10912176183221,6.4161658376313,5.47771734500945
mmu-miR-106a-5p,1.62371549695706,2.54148321308185,4.68593571848949,1.33301486057475
mmu-miR-106b-3p,0,3.22293994013207,2.2915988116119,1.98651649497998
mmu-miR-106b-5p,2.25872240115626,4.89058612975289,5.56158455257259,4.87917484359797
mmu-miR-107-3p,1.09885544037024,0,1.83715095909591,0
mmu-miR-1198-5p,3.32286129890946,4.13906405984778,2.2915988116119,1.33301486057475
mmu-miR-130b-3p,1.20879444733917,3.19756842575533,3.68643953030307,1.91093275469501
mmu-miR-130b-5p,0,1.35662240647444,1.4469001739595,0
mmu-miR-140-3p,5.27143538704175,6.05978515307567,5.05339093188694,6.39212748704285
mmu-miR-142a-3p,11.1124512922004,10.4109783080959,9.96123429346485,10.0201445743279
mmu-miR-142a-5p,8.46816488474567,7.9693898550065,7.39394595962445,7.7711737464169
mmu-miR-147-3p,0,7.80152042135866,7.07505071460949,6.66702126812042
mmu-miR-150-3p,5.49986288738165,4.64639575796784,3.02683098316668,2.15056718633383
mmu-miR-150-5p,8.80286032237993,7.20958988574702,4.77957981877299,2.36115942839843
mmu-miR-155-3p,0,1.61147370024692,0.889078231090364,3.07335261590261
mmu-miR-155-5p,6.66055313384209,9.18350170347796,10.4538297607452,11.7414921662882
mmu-miR-15a-5p,5.52876403091798,6.34843161849395,6.78643821746156,5.78344265955972
mmu-miR-15b-3p,2.72345880052,3.42308806363611,3.0836353743027,1.33301486057475
mmu-miR-15b-5p,8.39555311744237,8.38137552110598,7.73741618723896,7.05181933250024
mmu-miR-16-5p,9.07663965396754,8.42520937262999,8.18760979428182,7.38366761976062
mmu-miR-17-3p,0.607595044275043,0,2.47974789502618,3.47193773583449
mmu-miR-17-5p,5.17215756613937,6.27459468197639,7.59478109445631,5.71900084068403
mmu-miR-181a-5p,5.16322866264108,1.18486754524612,1.70514059187016,1.68626035170127
mmu-miR-182-5p,0,5.98732484866987,5.53966877902288,5.5610740925749
mmu-miR-1839-5p,2.57750739382824,3.4108808216988,2.81477311501554,1.77382380563277
mmu-miR-185-5p,1.54818573456202,3.53372852008917,3.37141163875372,3.24394761526976
mmu-miR-18a-3p,0,0,2.60554631330939,4.98740980684037
mmu-miR-18a-5p,0.663995971281913,4.31873174386609,5.30184166553341,4.62726765287871
mmu-miR-191-5p,5.40281288888072,6.79140866340276,6.52579100428194,6.24435259152137
