miRNA,state,mean_logN,mean_norm,rel_pct
mmu-let-7a-5p,Tn,8.68466514954723,413.209066893516,2.09301161346486
mmu-let-7a-5p,Teff,8.35413652846541,328.611637303767,1.69984706481113
mmu-let-7a-5p,Tmem,8.37987767679898,332.627981775225,1.99782167866722
mmu-let-7a-5p,Tex,8.40282859819011,340.23996470834,1.84609046782902
mmu-let-7b-5p,Tn,7.74254527707388,215.276692933407,1.09043255465167
mmu-let-7b-5p,Teff,6.06228451016418,66.0002410345347,0.341407008345455
mmu-let-7b-5p,Tmem,6.39847884561398,83.639094236185,0.502350989106072
mmu-let-7b-5p,Tex,5.63218508763804,48.9844024708525,0.265781941728271
mmu-let-7c-5p,Tn,7.24049542329943,150.384993777461,0.761739186493164
mmu-let-7c-5p,Teff,4.47687501321399,21.5369098316161,0.11140644093664
mmu-let-7c-5p,Tmem,5.26726879254824,38.3252037001247,0.230187858468223
mmu-let-7c-5p,Tex,5.19649157653111,37.667545613191,0.204378392064071
mmu-let-7d-3p,Tn,5.62339616227858,70.5462666654732,0.357335226275358
mmu-let-7d-3p,Teff,4.44904562777853,20.842190273414,0.107812785484977
mmu-let-7d-3p,Tmem,3.83376814228152,13.8429260405233,0.0831430284137455
mmu-let-7d-3p,Tex,1.47088199519087,3.34175093466955,0.0181318339591309
mmu-let-7d-5p,Tn,7.32033601828622,164.19912426257,0.831711357608913
mmu-let-7d-5p,Teff,7.67857610959377,207.032214159764,1.0709392535466
mmu-let-7d-5p,Tmem,8.33775699417805,324.263713684938,1.94758442554204
mmu-let-7d-5p,Tex,8.08305555374282,270.477156578504,1.46756804701971
mmu-let-7f-5p,Tn,7.87004740835098,235.897525964456,1.19488244811063
mmu-let-7f-5p,Teff,7.08473488533967,137.55861674516,0.711565216716868
mmu-let-7f-5p,Tmem,7.16861493741954,143.105495957097,0.859516570535279
mmu-let-7f-5p,Tex,6.96087673884404,124.725360579169,0.676740898028012
mmu-let-7g-5p,Tn,7.84016892179622,228.391883956189,1.15686441523465
mmu-let-7g-5p,Teff,7.87904594941087,234.822090884112,1.21469113272208
mmu-let-7g-5p,Tmem,7.16766650431937,143.39779374663,0.861272162044566
mmu-let-7g-5p,Tex,6.90468399634568,119.378559083698,0.647729963693402
mmu-let-7i-3p,Tn,2.36615457899224,5.88523536672639,0.0298102509297231
mmu-let-7i-3p,Teff,6.23327162878076,79.2004839796009,0.409689417358933
mmu-let-7i-3p,Tmem,6.75648615256631,107.313363406038,0.644542779230619
mmu-let-7i-3p,Tex,6.54819814339452,95.8735617404735,0.520195411487375
mmu-let-7i-5p,Tn,3.0734702486773,34.9310053537558,0.176934645759491
mmu-let-7i-5p,Teff,7.72618723731766,211.200941907576,1.09250330917244
mmu-let-7i-5p,Tmem,7.64538085602531,199.835229478414,1.20024524540211
mmu-let-7i-5p,Tex,7.4359935605931,173.439185128732,0.941054724975217
mmu-miR-101c,Tn,3.98456180108622,16.5622784116757,0.0838922565801508
mmu-miR-101c,Teff,0,0,0
mmu-miR-101c,Tmem,1.89103910485363,6.37842476500818,0.0383099317239411
mmu-miR-101c,Tex,0,0,0
mmu-miR-103-3p,Tn,5.37155558452987,43.0796538327326,0.21820967398857
mmu-miR-103-3p,Teff,6.10912176183221,68.0845043205486,0.352188515835859
mmu-miR-103-3p,Tmem,6.4161658376313,86.6362785614109,0.520352600960676
mmu-miR-103-3p,Tex,5.47771734500945,43.772889936026,0.237505064784195
mmu-miR-106a-5p,Tn,1.62371549695706,4.24836551599733,0.0215190785383165
mmu-miR-106a-5p,Teff,2.54148321308185,4.86318175397897,0.0251563374260618
mmu-miR-106a-5p,Tmem,4.68593571848949,24.849046419362,0.149247707200883
mmu-miR-106a-5p,Tex,1.33301486057475,2.67340074773564,0.0145054671673047
mmu-miR-106b-3p,Tn,0,0,0
mmu-miR-106b-3p,Teff,3.22293994013207,8.33687610936562,0.0431251141939906
mmu-miR-106b-3p,Tmem,2.2915988116119,4.20932933001517,0.0252819661871887
mmu-miR-106b-3p,Tex,1.98651649497998,7.351852056273,0.0398900347100879
mmu-miR-106b-5p,Tn,2.25872240115626,10.9513422190153,0.0554714024543269
mmu-miR-106b-5p,Teff,4.89058612975289,29.1790985709052,0.150938066182172
mmu-miR-106b-5p,Tmem,5.56158455257259,46.5145988177631,0.279374794016675
mmu-miR-106b-5p,Tex,4.87917484359797,28.5135764370835,0.154710343064304
mmu-miR-107-3p,Tn,1.09885544037024,1.79375432897665,0.00908583316062251
mmu-miR-107-3p,Teff,0,0,0
mmu-miR-107-3p,Tmem,1.83715095909591,2.57602499572203,0.0154720554590018
mmu-miR-107-3p,Tex,0,0,0
mmu-miR-1198-5p,Tn,3.32286129890946,10.1068253017223,0.0511937041720739
mmu-miR-1198-5p,Teff,4.13906405984778,16.6737441716999,0.0862501867621801
mmu-miR-1198-5p,Tmem,2.2915988116119,4.20932933001517,0.0252819661871887
mmu-miR-1198-5p,Tex,1.33301486057475,2.67340074773564,0.0145054671673047
mmu-miR-130b-3p,Tn,1.20879444733917,2.17138681928753,0.0109986401418062
mmu-miR-130b-3p,Teff,3.19756842575533,9.72638764905206,0.0503127997295269
mmu-miR-130b-3p,Tmem,3.68643953030307,12.9230788252671,0.0776182655904474
mmu-miR-130b-3p,Tex,1.91093275469501,6.57076106880177,0.0356519534261509
mmu-miR-130b-5p,Tn,0,0,0
mmu-miR-130b-5p,Teff,1.35662240647444,2.77897479718462,0.0143751213162658
mmu-miR-130b-5p,Tmem,1.4469001739595,1.72785570500488,0.0103778027532279
mmu-miR-130b-5p,Tex,0,0,0
mmu-miR-140-3p,Tn,5.27143538704175,37.7110850472305,0.191016473945269
mmu-miR-140-3p,Teff,6.05978515307567,66.0003054107857,0.341407341351864
mmu-miR-140-3p,Tmem,5.05339093188694,32.2533064934245,0.193718984726922
mmu-miR-140-3p,Tex,6.39212748704285,83.5807750706636,0.453496614614277
mmu-miR-142a-3p,Tn,11.1124512922004,2229.50900677025,11.2930441690844
mmu-miR-142a-3p,Teff,10.4109783080959,1360.99481160761,7.04017378908524
mmu-miR-142a-3p,Tmem,9.96123429346485,996.225239039853,5.98350255672174
mmu-miR-142a-3p,Tex,10.0201445743279,1038.04554373756,5.63227775170094
mmu-miR-142a-5p,Tn,8.46816488474567,353.178195135515,1.78893960289522
mmu-miR-142a-5p,Teff,7.9693898550065,259.833057187527,1.3440682235877
mmu-miR-142a-5p,Tmem,7.39394595962445,170.003419948879,1.02107019382076
mmu-miR-142a-5p,Tex,7.7711737464169,226.5094278178,1.22900581631055
mmu-miR-147-3p,Tn,0,0,0
mmu-miR-147-3p,Teff,7.80152042135866,234.822453000524,1.21469300588313
mmu-miR-147-3p,Tmem,7.07505071460949,135.291513276617,0.812584427567397
mmu-miR-147-3p,Tex,6.66702126812042,103.586184358466,0.562042932572218
mmu-miR-150-3p,Tn,5.49986288738165,63.9146915117922,0.323744569815256
mmu-miR-150-3p,Teff,4.64639575796784,26.4001720559088,0.136563194620713
mmu-miR-150-3p,Tmem,3.02683098316668,7.24667445620955,0.0435247908176369
mmu-miR-150-3p,Tex,2.15056718633383,9.35690261707473,0.0507691350855664
mmu-miR-150-5p,Tn,8.80286032237993,448.564110410741,2.27209412303422
mmu-miR-150-5p,Teff,7.20958988574702,148.674161864518,0.769063870446681
mmu-miR-150-5p,Tmem,4.77957981877299,27.4451518155683,0.164840369047807
mmu-miR-150-5p,Tex,2.36115942839843,12.6986535517443,0.0689009690446973
mmu-miR-155-3p,Tn,0,0,0
