miRNA,Tn,Teff,Tmem,Tex
mmu-miR-155-5p,6.66055313384209,9.18350170347796,10.4538297607452,11.7414921662882
mmu-miR-150-5p,8.80286032237993,7.20958988574702,4.77957981877299,2.36115942839843
mmu-miR-21a-5p,2.11436037061407,10.9768867125506,7.42064040697568,8.26044475359041
mmu-miR-29a-3p,8.08502184828154,8.13454256089146,7.67918895398962,8.74576733114601
mmu-miR-29b-3p,5.77583967263083,6.31028028826916,6.22444463585666,6.32624042725798
mmu-miR-29c-3p,3.14451420031079,4.30146540661795,3.55879546583322,5.75619522383731
mmu-miR-17-5p,5.17215756613937,6.27459468197639,7.59478109445631,5.71900084068403
mmu-miR-19b-3p,3.74290504718627,3.36197365886086,5.41190135243071,4.70995497369472
mmu-miR-92a-3p,9.2856814006953,9.752072857138,10.0642336293489,9.87139803425141
mmu-let-7a-5p,8.68466514954723,8.35413652846541,8.37987767679898,8.40282859819011
mmu-let-7b-5p,7.74254527707388,6.06228451016418,6.39847884561398,5.63218508763804
mmu-let-7c-5p,7.24049542329943,4.47687501321399,5.26726879254824,5.19649157653111
mmu-miR-31-5p,0,1.35661532531648,4.77902517949767,3.42757823138755
mmu-miR-210-3p,0,5.02232625450886,8.63262148345476,6.40690609062885
mmu-miR-142a-3p,11.1124512922004,10.4109783080959,9.96123429346485,10.0201445743279
mmu-miR-142a-5p,8.46816488474567,7.9693898550065,7.39394595962445,7.7711737464169
mmu-miR-23a-3p,4.48177153025081,4.9554483900573,7.12503044008069,6.12869001222324
mmu-miR-16-5p,9.07663965396754,8.42520937262999,8.18760979428182,7.38366761976062
