"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",2184
"EV-rep2","EV","rep2",3866
"miR29a-rep1","miR29a","rep1",4083
"miR29a-rep2","miR29a","rep2",5530
"Scr-rep1","Scr","rep1",2831
"Scr-rep2","Scr","rep2",4516
