"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",1747
"EV-rep2","EV","rep2",2382
"miR29a-rep1","miR29a","rep1",1656
"miR29a-rep2","miR29a","rep2",2307
"Scr-rep1","Scr","rep1",1331
"Scr-rep2","Scr","rep2",2205
