"clusters","condition","n","frac"
"0","EV",6060,0.261782366408916
"0","Scr",7316,0.316039569743833
"0","miR29a",9773,0.42217806384725
"1","EV",5451,0.310686805357652
"1","Scr",6254,0.356454830436022
"1","miR29a",5840,0.332858364206327
"10","EV",478,0.303877940241577
"10","Scr",529,0.336300063572791
"10","miR29a",566,0.359821996185633
"11","EV",367,0.27887537993921
"11","Scr",607,0.461246200607903
"11","miR29a",342,0.259878419452888
"12","EV",195,0.324459234608985
"12","Scr",128,0.212978369384359
"12","miR29a",278,0.462562396006656
"13","EV",73,0.143700787401575
"13","Scr",57,0.112204724409449
"13","miR29a",378,0.744094488188976
"14","EV",117,0.302325581395349
"14","Scr",144,0.372093023255814
"14","miR29a",126,0.325581395348837
"2","EV",3811,0.34231563819276
"2","Scr",3382,0.303781550345819
"2","miR29a",3940,0.353902811461421
"3","EV",3294,0.304774241302739
"3","Scr",4261,0.394245003700962
"3","miR29a",3253,0.300980754996299
"4","EV",2953,0.287872879703646
"4","Scr",2991,0.291577305517645
"4","miR29a",4314,0.420549814778709
"5","EV",2634,0.326030449313034
"5","Scr",3224,0.399059289516029
"5","miR29a",2221,0.274910261170937
"6","EV",1794,0.402061855670103
"6","Scr",1380,0.309278350515464
"6","miR29a",1288,0.288659793814433
"7","EV",1147,0.284756703078451
"7","Scr",1262,0.31330685203575
"7","miR29a",1619,0.401936444885799
"8","EV",1516,0.589424572317263
"8","Scr",830,0.322706065318818
"8","miR29a",226,0.0878693623639191
"9","EV",673,0.319411485524442
"9","Scr",923,0.438063597532036
"9","miR29a",511,0.242524916943522
