contrast,gained,lost
Teff_vs_Tn,19,8
Tmem_vs_Tn,54,31
Tex_vs_Tn,18,11
Tex_vs_Tmem,4,1
Tex_vs_Teff,1,1
Tmem_vs_Teff,3,3
