ip,state,rep,observed_chimeric_clusters,observed_miRNAs,median_coverage,report_chimeric_clusters,final_chimeric,pct_chimeras,ago2_peaks,diff_pct
IP1_Teff_1_RR2,Teff,1,1039,96,4.83695652173913,780,84193,0.63,11415,33.2051282051282
IP2_Tex_1_RR2,Tex,1,463,79,4.91805094130676,336,48667,0.44,5238,37.7976190476191
IP3_Teff_2_RR2,Teff,2,886,109,4.82230505523208,586,84079,0.79,16862,51.1945392491468
IP4_Tex_2_RR2,Tex,2,939,109,4.95161290322581,691,97851,0.78,10305,35.89001447178
IP5_Tmem_1_RR2,Tmem,1,1932,129,4.93426352128884,1399,129929,1.02,14844,38.0986418870622
IP6_Tmem_2_RR2,Tmem,2,1985,133,4.9064039408867,1351,148798,1.16,14519,46.9282013323464
IP7_Tn_1_2_RR2,Tn,1,8004,148,5.031964969896,6311,366713,2.18,7550,26.8261765171922
IP8_Tn_3_RR2,Tn,2,1869,83,4.72792658730159,1514,130457,0.66,7618,23.447820343461
