library,initial_reads,pct_pass_trim,pct_repetitive,pct_unique_aln,pct_pcr_dup,final_nonchimeric,ago2_clusters,ago2_peaks,final_chimeric,pct_chimeras,report_chimeric_clusters,kind,state
IP1_Teff_1_RR2,49784757,98.41,32.18,51.04,21.38,13332840,233909,11415,84193,0.63,780,IP,Teff
IP3_Teff_2_RR2,40993157,96.51,30.72,48.4,20.35,10566338,233892,16862,84079,0.79,586,IP,Teff
IP2_Tex_1_RR2,49994626,96.44,41.77,50.2,22.01,10989916,247494,5238,48667,0.44,336,IP,Tex
IP4_Tex_2_RR2,48785429,97.25,29.49,47.65,21.61,12495693,247463,10305,97851,0.78,691,IP,Tex
IP5_Tmem_1_RR2,53537812,98.4,33.68,46.49,22.33,12615273,228291,14844,129929,1.02,1399,IP,Tmem
IP6_Tmem_2_RR2,54870898,98.37,33.31,46.32,24.16,12644767,228285,14519,148798,1.16,1351,IP,Tmem
IP7_Tn_1_2_RR2,56577140,98.23,32.01,56.51,22.94,16454651,293343,7550,366713,2.18,6311,IP,Tn
IP8_Tn_3_RR2,50048798,97.22,17.78,64.56,23.39,19785998,293343,7618,130457,0.66,1514,IP,Tn
