library,initial_reads,pct_pass_trim,pct_repetitive,pct_unique_aln,pct_pcr_dup,final_nonchimeric
Input1_Teff_1_RR2,33956935,97.76,50.18,26.33,27.68,3149566
Input3_Teff_2_RR2,42604210,98.17,41.4,25.83,30.43,4403382
Input2_Tex_1_RR2,39168241,99.14,61.32,31.02,27.25,3389784
Input4_Tex_2_RR2,38247836,98.12,45.45,26.59,27.46,3949283
Input5_Tmem_1_RR2,39346233,97.18,43.83,31.18,29.76,4702997
Input6_Tmem_2_RR2,33784133,99.33,39.05,29.76,29.49,4293169
Input7_Tn_1_2_RR2,32145210,99.17,76.93,51.43,24.14,2869346
Input8_Tn_3_RR2,28618431,99.25,46.01,37.83,28.66,4138472
