state,miRNA,rep1,rep2
Tn,mmu-let-7a-5p,2440.17950664515,245.249828352071
Tn,mmu-let-7b-5p,1300.09838449205,124.139168797366
Tn,mmu-let-7c-5p,833.698892034871,96.1774414385231
Tn,mmu-let-7d-3p,98.6253129069201,81.9431818181818
Tn,mmu-let-7d-5p,1090.5227380833,81.7885549766119
Tn,mmu-let-7e-5p,8.37105376493205,0
Tn,mmu-let-7f-5p,1051.82405455027,182.530232481355
Tn,mmu-let-7g-5p,1264.72455239843,145.826602974832
Tn,mmu-let-7i-3p,6.9538585247501,7.09584257119047
Tn,mmu-let-7i-5p,369.950553930964,0
Tn,mmu-let-7k,198.71384721618,10.6821167333126
Tn,mmu-miR-101b-3p,14.7989577956471,0
Tn,mmu-miR-101c,127.782333610575,5.90959595959596
Tn,mmu-miR-103-3p,148.093029288802,38.6881771128608
Tn,mmu-miR-106a-5p,45.1993866553494,0
Tn,mmu-miR-106b-5p,115.931023568483,0
Tn,mmu-miR-107-3p,19.0069233284916,0
Tn,mmu-miR-1187,3,0
Tn,mmu-miR-1198-5p,27.5570190172166,10.3660085918498
Tn,mmu-miR-12191-3p,7.97101449275362,0
Tn,mmu-miR-128-3p,8.2513056736201,0
Tn,mmu-miR-130b-3p,23.2953383897689,0
Tn,mmu-miR-139-5p,87.5227639077188,0
Tn,mmu-miR-140-3p,185.883759438965,27.4891648521652
Tn,mmu-miR-140-5p,13.8346454311653,0
Tn,mmu-miR-142a-3p,10374.3403660241,1675.12816232076
Tn,mmu-miR-142a-5p,1898.54859024103,233.367294084993
Tn,mmu-miR-146a-5p,19.7942403627188,3
Tn,mmu-miR-150-3p,92.1285262780838,74.1055424894369
Tn,mmu-miR-150-5p,2102.65442487022,334.817068861156
Tn,mmu-miR-151-3p,16.0090263414207,7
Tn,mmu-miR-155-5p,480.509596733122,74.0729624470877
Tn,mmu-miR-15a-5p,267.675226111135,27.2413076188615
Tn,mmu-miR-15b-3p,21.9085205969406,5.19189085295263
Tn,mmu-miR-15b-5p,2019.80858883506,198.34415432639
Tn,mmu-miR-16-2-3p,3.93103448275862,0
Tn,mmu-miR-16-5p,3103.50453685357,331.738255860212
Tn,mmu-miR-17-3p,7.06321226164885,0
Tn,mmu-miR-17-5p,427.390586523915,10.4355682711851
Tn,mmu-miR-181a-5p,268.30205855328,16.0734571051331
Tn,mmu-miR-181b-5p,14.4746974868044,0
Tn,mmu-miR-181c-5p,19.7975192784561,0
Tn,mmu-miR-181d-5p,13,0
Tn,mmu-miR-1839-5p,16.9297798230861,4.54653788017072
Tn,mmu-miR-1843a-5p,35.3215533646897,0
Tn,mmu-miR-1843b-5p,73.7349631392911,0
Tn,mmu-miR-185-5p,40.3708085388182,0
Tn,mmu-miR-18a-5p,7.84057971014493,0
Tn,mmu-miR-191-5p,263.15777603794,23.4882138674095
Tn,mmu-miR-193a-3p,3.48367071524966,0
Tn,mmu-miR-194-5p,3.60671834625323,0
Tn,mmu-miR-1952,3.27884615384615,0
Tn,mmu-miR-195a-5p,3.34824711321224,0
Tn,mmu-miR-19a-3p,7.88026057782463,0
Tn,mmu-miR-19b-3p,167.530109428811,3.00807113543092
Tn,mmu-miR-20a-5p,684.901279999147,6.71468253968254
Tn,mmu-miR-20b-5p,135.421518897127,3.17159277504105
Tn,mmu-miR-219a-5p,31.4192191456342,53.984126984127
Tn,mmu-miR-21a-5p,93.8102867145514,0
Tn,mmu-miR-221-3p,16.9149859943978,0
Tn,mmu-miR-223-3p,4.41227560883877,0
Tn,mmu-miR-23a-3p,374.415456619129,3.70720136908765
Tn,mmu-miR-23b-3p,117.231386996632,0
Tn,mmu-miR-24-3p,1682.2697778787,3074.95371929699
Tn,mmu-miR-25-3p,1471.11557341248,491.405557607982
