"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",884
"EV-rep2","EV","rep2",632
"miR29a-rep1","miR29a","rep1",80
"miR29a-rep2","miR29a","rep2",146
"Scr-rep1","Scr","rep1",310
"Scr-rep2","Scr","rep2",520
