"orig.ident","singlet","doublet","pct_doublet"
"EV_rep1",15047,1960,11.5
"EV_rep2",15516,1851,10.7
"Scr_rep1",15112,2131,12.4
"Scr_rep2",18176,2294,11.2
"miR29a_rep1",16496,2539,13.3
"miR29a_rep2",18179,2613,12.6
