"sample_id","condition","replicate","n_cells"
"EV-rep1","EV","rep1",4510
"EV-rep2","EV","rep2",2118
"miR29a-rep1","miR29a","rep1",3618
"miR29a-rep2","miR29a","rep2",2376
"Scr-rep1","Scr","rep1",4632
"Scr-rep2","Scr","rep2",3799
