"method","level","group","contrast","n_tested_universe","n_in_target_top","n_in_target_full","n_sig_down","n_sig_up","spearman_rho","spearman_p","spearman_n","hyper_top_overlap","hyper_top_expected","hyper_top_odds","hyper_top_p","hyper_full_overlap","hyper_full_p","hyper_top_overlap_UP","hyper_top_p_UP","hyper_top_p_BH","hyper_full_p_BH","spearman_p_BH"
"DGE_pseudobulk","by_cluster","02_Proliferative_CD8_effector","miR29a_vs_Scr",13856,118,725,216,74,0.206323420498554,2.06732014433227e-08,725,17,1.83949191685912,9.94574567754024,3.51740181168248e-12,29,2.85810006169135e-06,0,1,1.26626465220569e-10,2.05783204441777e-05,1.76077248511727e-07
"DGE_pseudobulk","by_cluster","03_IFNg-associated_early_activated_CD4","EV_vs_Scr",12958,116,689,2,13,-0.016459683739443,0.666256186414748,689,0,0.0179039975304831,0,1,0,1,0,1,1,1,0.756290806200525
"DGE_pseudobulk","by_cluster","03_IFNg-associated_early_activated_CD4","miR29a_vs_EV",13052,117,694,228,94,0.17263206770245,4.78536845636015e-06,694,15,2.04382470119522,7.78560250391236,1.77144365974031e-09,32,4.52065648093118e-07,0,1,1.27543943501303e-08,7.51006862194304e-06,1.34890111496292e-05
"DGE_pseudobulk","by_cluster","03_IFNg-associated_early_activated_CD4","miR29a_vs_Scr",12867,116,687,131,62,0.173446810543332,4.81750398201041e-06,687,11,1.18100567342815,10.0762212643678,2.53283126178915e-08,19,6.51794046561892e-05,0,1,1.51969875707349e-07,0.00030845602893658,1.34890111496292e-05
"DGE_pseudobulk","by_cluster","04_Non-cycling_exhaustion-like_CD8","EV_vs_Scr",12071,106,665,1,4,-0.0368855386831208,0.342253020646135,665,0,0.00878137685361611,0,1,0,1,0,1,1,1,0.449207089598052
"DGE_pseudobulk","by_cluster","04_Non-cycling_exhaustion-like_CD8","miR29a_vs_EV",11597,101,651,98,38,0.211463605498492,5.12915434260549e-08,651,9,0.85349659394671,11.5100678607187,1.66533503705125e-07,18,7.27196095384596e-06,0,1,6.66134014820498e-07,4.36317657230758e-05,3.07749260556329e-07
"DGE_pseudobulk","by_cluster","04_Non-cycling_exhaustion-like_CD8","miR29a_vs_Scr",11704,103,651,116,64,0.18331143928339,2.50036893385882e-06,651,8,1.02084757347915,8.34304207119741,7.93377635795667e-06,18,6.85457842081289e-05,0,1,2.19704576066492e-05,0.00030845602893658,9.18021701981332e-06
"DGE_pseudobulk","by_cluster","05_CD4_TCF1hi_naive_stem-like_progenitor","EV_vs_Scr",11363,104,652,0,0,-0.0230862453675153,0.556238223459866,652,0,NA,NA,NA,0,NA,0,NA,NA,NA,0.667485868151839
"DGE_pseudobulk","by_cluster","05_CD4_TCF1hi_naive_stem-like_progenitor","miR29a_vs_EV",11450,105,656,101,16,0.186392153992911,1.53172201973493e-06,656,8,0.926200873362445,9.29441884280594,3.81769424560775e-06,11,0.0294873275245245,0,1,1.24942720765344e-05,0.0758245564916343,7.14803609209635e-06
"DGE_pseudobulk","by_cluster","05_CD4_TCF1hi_naive_stem-like_progenitor","miR29a_vs_Scr",11336,105,655,30,6,0.162911711167262,2.79632104426753e-05,655,4,0.27787579393084,16.4556776556777,0.000158238848382998,4,0.0921030793436381,0,1,0.000356037408861745,0.207231928523186,5.54084429076104e-05
"DGE_pseudobulk","by_cluster","06_Transitional_progenitor-like_CD4","EV_vs_Scr",11028,102,640,2,7,-0.00973163403445292,0.805900869187221,640,0,0.0184983677910773,0,1,0,1,0,1,1,1,0.890732539627981
"DGE_pseudobulk","by_cluster","06_Transitional_progenitor-like_CD4","miR29a_vs_EV",11085,105,648,82,16,0.209736604189687,7.0944359380144e-08,648,7,0.776725304465494,9.76,1.18747923599222e-05,9,0.0493127050412129,0,1,3.05351803540856e-05,0.118350492098911,3.72457886745756e-07
"DGE_pseudobulk","by_cluster","06_Transitional_progenitor-like_CD4","miR29a_vs_Scr",10798,102,637,73,19,0.223487111350976,1.18582257536496e-08,637,7,0.689572142989442,11.1218062982769,5.33280299349033e-06,9,0.0271657446135628,0,1,1.5998408980471e-05,0.075228215852943,1.66015160551095e-07
"DGE_pseudobulk","by_cluster","07_Early_activated_CD4","EV_vs_Scr",11491,108,647,1,4,-0.0030409085703372,0.938464640670548,647,0,0.00939865982072927,0,1,0,1,0,1,1,1,0.961354022150318
"DGE_pseudobulk","by_cluster","07_Early_activated_CD4","miR29a_vs_EV",11577,108,652,117,54,0.175439580478938,6.60225867004806e-06,652,10,1.09147447525266,9.92471443406023,1.27140957268054e-07,17,0.000284157209373867,0,1,5.72134307706241e-07,0.00102296595374592,1.54052702301121e-05
"DGE_pseudobulk","by_cluster","07_Early_activated_CD4","miR29a_vs_Scr",11703,110,658,62,28,0.149342822074079,0.000120469377060469,658,8,0.582756558147484,15.613468013468,1.0454520574559e-07,11,0.000599845879867578,0,1,5.37661058120178e-07,0.00196313197047571,0.000219987558110421
"DGE_pseudobulk","by_cluster","08_Cycling_non-T_review_","EV_vs_Scr",7898,71,469,2,0,-0.0668172846873362,0.148520836752806,469,0,0.0179792352494302,0,1,0,1,0,NA,1,1,0.215099142883375
"DGE_pseudobulk","by_cluster","08_Cycling_non-T_review_","miR29a_vs_EV",5236,32,288,2,0,0.245655679886114,2.49159839334956e-05,288,0,0.0122230710466005,0,1,0,1,0,NA,1,1,5.23235662603407e-05
"DGE_pseudobulk","by_cluster","08_Cycling_non-T_review_","miR29a_vs_Scr",5236,32,288,5,0,0.24370286492333,2.90234700944626e-05,288,0,0.0305576776165011,0,1,0,1,0,NA,1,1,5.54084429076104e-05
